# SYNTHETIC. Fertiliser goods issues against the agronomy programme. SAP MM holds these; the EC export carries only a rupiah cost line, which cannot answer an agronomic question. NOTE the deliberate confounding: weak blocks are PRESCRIBED more, so a naive reading of 'more fertiliser, lower yield' is backwards.
division_code,block_code,window,material,target_kg,issued_kg,target_date,issue_date,application_lag_days,palms,kg_per_palm
1,7,2025-03,Urea,1720.5,1926.9,2025-03-15,2025-03-21,6,2181,0.884
1,7,2025-03,Kieserite,1290.3,976.7,2025-03-15,2025-03-19,4,2181,0.448
1,7,2025-03,Borate,161.3,146.0,2025-03-15,2025-04-20,36,2181,0.067
1,8,2024-10,NPK 12-12-17-2,14073.1,14041.0,2024-10-15,2024-11-01,17,4399,3.192
1,8,2024-10,Urea,3464.1,3125.2,2024-10-15,2024-11-06,22,4399,0.71
1,8,2024-10,Kieserite,2598.1,2427.2,2024-10-15,2024-11-06,22,4399,0.552
1,8,2024-10,Borate,324.8,363.7,2024-10-15,2024-12-07,53,4399,0.083
1,8,2025-03,NPK 12-12-17-2,14073.1,15761.8,2025-03-15,2025-03-15,0,4399,3.583
1,8,2025-03,Urea,3464.1,2530.4,2025-03-15,2025-03-15,0,4399,0.575
1,8,2025-03,Kieserite,2598.1,2648.6,2025-03-15,2025-05-22,68,4399,0.602
1,8,2025-03,Borate,324.8,197.8,2025-03-15,2025-04-05,21,4399,0.045
1,9,2024-10,NPK 12-12-17-2,11494.3,8405.3,2024-10-15,2024-10-15,0,3614,2.326
1,9,2024-10,Urea,2829.4,2456.5,2024-10-15,2024-10-28,13,3614,0.68
1,9,2024-10,Kieserite,2122.0,2198.9,2024-10-15,2024-10-15,0,3614,0.608
1,9,2024-10,Borate,265.3,273.5,2024-10-15,2024-11-10,26,3614,0.076
1,9,2025-03,NPK 12-12-17-2,11494.3,9009.7,2025-03-15,2025-03-15,0,3614,2.493
1,9,2025-03,Urea,2829.4,2476.8,2025-03-15,2025-03-15,0,3614,0.685
1,9,2025-03,Kieserite,2122.0,1781.2,2025-03-15,2025-05-03,49,3614,0.493
1,9,2025-03,Borate,265.3,286.9,2025-03-15,2025-04-27,43,3614,0.079
1,10,2024-10,NPK 12-12-17-2,13076.9,13386.6,2024-10-15,2024-12-04,50,4061,3.296
1,10,2024-10,Urea,3218.9,3264.8,2024-10-15,2024-11-03,19,4061,0.804
1,10,2024-10,Kieserite,2414.2,1800.9,2024-10-15,2024-10-15,0,4061,0.443
1,10,2024-10,Borate,301.8,215.3,2024-10-15,2024-12-01,47,4061,0.053
1,10,2025-03,NPK 12-12-17-2,13076.9,14646.1,2025-03-15,2025-03-16,1,4061,3.607
1,10,2025-03,Urea,3218.9,3076.8,2025-03-15,2025-04-10,26,4061,0.758
1,10,2025-03,Kieserite,2414.2,2365.8,2025-03-15,2025-04-12,28,4061,0.583
1,10,2025-03,Borate,301.8,256.2,2025-03-15,2025-04-05,21,4061,0.063
1,11,2024-10,NPK 12-12-17-2,14572.0,12752.5,2024-10-15,2024-11-05,21,4589,2.779
1,11,2024-10,Urea,3586.9,2604.6,2024-10-15,2024-10-29,14,4589,0.568
1,11,2024-10,Kieserite,2690.2,2133.8,2024-10-15,2024-11-04,20,4589,0.465
1,11,2024-10,Borate,336.3,304.0,2024-10-15,2024-10-16,1,4589,0.066
1,11,2025-03,NPK 12-12-17-2,14572.0,10104.3,2025-03-15,2025-05-04,50,4589,2.202
1,11,2025-03,Urea,3586.9,3166.2,2025-03-15,2025-04-12,28,4589,0.69
1,11,2025-03,Kieserite,2690.2,1837.4,2025-03-15,2025-04-19,35,4589,0.4
1,11,2025-03,Borate,336.3,376.0,2025-03-15,2025-04-12,28,4589,0.082
1,12,2024-10,NPK 12-12-17-2,11177.6,5197.7,2024-10-15,2024-11-11,27,3660,1.42
1,12,2024-10,Urea,2751.4,1798.5,2024-10-15,2024-10-15,0,3660,0.491
1,12,2024-10,Kieserite,2063.5,1987.1,2024-10-15,2024-10-15,0,3660,0.543
1,12,2024-10,Borate,257.9,288.9,2024-10-15,2024-12-11,57,3660,0.079
1,12,2025-03,NPK 12-12-17-2,11177.6,6462.2,2025-03-15,2025-03-20,5,3660,1.766
1,12,2025-03,Urea,2751.4,2410.5,2025-03-15,2025-05-11,57,3660,0.659
1,12,2025-03,Kieserite,2063.5,2053.0,2025-03-15,2025-03-23,8,3660,0.561
1,12,2025-03,Borate,257.9,193.3,2025-03-15,2025-04-20,36,3660,0.053
1,13,2024-10,NPK 12-12-17-2,14543.8,14181.1,2024-10-15,2024-10-26,11,4481,3.165
1,13,2024-10,Urea,3580.0,3350.6,2024-10-15,2024-10-30,15,4481,0.748
1,13,2024-10,Kieserite,2685.0,1958.2,2024-10-15,2024-10-15,0,4481,0.437
1,13,2024-10,Borate,335.6,219.1,2024-10-15,2024-11-21,37,4481,0.049
1,13,2025-03,NPK 12-12-17-2,14543.8,12038.1,2025-03-15,2025-04-07,23,4481,2.686
1,13,2025-03,Urea,3580.0,4009.6,2025-03-15,2025-03-20,5,4481,0.895
1,13,2025-03,Kieserite,2685.0,2460.3,2025-03-15,2025-03-15,0,4481,0.549
1,13,2025-03,Borate,335.6,268.9,2025-03-15,2025-04-15,31,4481,0.06
1,14,2024-10,NPK 12-12-17-2,14746.2,12158.0,2024-10-15,2024-11-15,31,4760,2.554
1,14,2024-10,Urea,3629.8,3360.3,2024-10-15,2024-12-12,58,4760,0.706
1,14,2024-10,Kieserite,2722.4,1737.6,2024-10-15,2024-10-15,0,4760,0.365
1,14,2024-10,Borate,340.3,223.4,2024-10-15,2024-10-21,6,4760,0.047
1,14,2025-03,NPK 12-12-17-2,14746.2,13492.7,2025-03-15,2025-04-19,35,4760,2.835
1,14,2025-03,Urea,3629.8,3443.1,2025-03-15,2025-04-08,24,4760,0.723
1,14,2025-03,Kieserite,2722.4,2458.1,2025-03-15,2025-04-14,30,4760,0.516
1,14,2025-03,Borate,340.3,273.5,2025-03-15,2025-03-15,0,4760,0.057
1,15,2024-10,NPK 12-12-17-2,14844.0,16232.4,2024-10-15,2024-10-15,0,4700,3.454
1,15,2024-10,Urea,3653.9,3563.9,2024-10-15,2025-01-10,87,4700,0.758
1,15,2024-10,Kieserite,2740.4,2377.5,2024-10-15,2024-10-22,7,4700,0.506
1,15,2024-10,Borate,342.6,287.8,2024-10-15,2024-11-07,23,4700,0.061
1,15,2025-03,NPK 12-12-17-2,14844.0,12145.5,2025-03-15,2025-03-15,0,4700,2.584
1,15,2025-03,Urea,3653.9,2644.1,2025-03-15,2025-03-15,0,4700,0.563
1,15,2025-03,Kieserite,2740.4,2279.4,2025-03-15,2025-03-15,0,4700,0.485
1,15,2025-03,Borate,342.6,293.0,2025-03-15,2025-03-15,0,4700,0.062
1,16,2024-10,NPK 12-12-17-2,13052.5,10998.9,2024-10-15,2024-10-15,0,3871,2.841
1,16,2024-10,Urea,3212.9,2059.1,2024-10-15,2024-12-01,47,3871,0.532
1,16,2024-10,Kieserite,2409.7,2430.0,2024-10-15,2024-11-17,33,3871,0.628
1,16,2024-10,Borate,301.2,281.4,2024-10-15,2024-11-01,17,3871,0.073
1,16,2025-03,NPK 12-12-17-2,13052.5,10492.8,2025-03-15,2025-03-30,15,3871,2.711
1,16,2025-03,Urea,3212.9,2880.5,2025-03-15,2025-04-17,33,3871,0.744
1,16,2025-03,Kieserite,2409.7,2178.9,2025-03-15,2025-03-30,15,3871,0.563
1,16,2025-03,Borate,301.2,232.5,2025-03-15,2025-03-15,0,3871,0.06
1,17,2024-10,NPK 12-12-17-2,11761.6,13173.0,2024-10-15,2024-11-08,24,3449,3.819
1,17,2024-10,Urea,2895.2,2881.7,2024-10-15,2024-11-17,33,3449,0.836
1,17,2024-10,Kieserite,2171.4,2092.4,2024-10-15,2024-10-30,15,3449,0.607
1,17,2024-10,Borate,271.4,247.1,2024-10-15,2024-11-03,19,3449,0.072
1,17,2025-03,NPK 12-12-17-2,11761.6,10749.6,2025-03-15,2025-04-19,35,3449,3.117
1,17,2025-03,Urea,2895.2,2952.9,2025-03-15,2025-05-28,74,3449,0.856
1,17,2025-03,Kieserite,2171.4,1570.2,2025-03-15,2025-04-22,38,3449,0.455
1,17,2025-03,Borate,271.4,283.9,2025-03-15,2025-04-07,23,3449,0.082
1,18,2024-10,NPK 12-12-17-2,10278.9,9053.7,2024-10-15,2024-11-27,43,2944,3.075
1,18,2024-10,Urea,2530.2,2833.8,2024-10-15,2024-12-11,57,2944,0.963
1,18,2024-10,Kieserite,1897.6,1507.2,2024-10-15,2024-11-30,46,2944,0.512
1,18,2024-10,Borate,237.2,220.9,2024-10-15,2024-11-02,18,2944,0.075
1,18,2025-03,NPK 12-12-17-2,10278.9,8467.9,2025-03-15,2025-03-15,0,2944,2.876
1,18,2025-03,Urea,2530.2,1631.3,2025-03-15,2025-03-16,1,2944,0.554
1,18,2025-03,Kieserite,1897.6,1764.8,2025-03-15,2025-04-02,18,2944,0.599
1,18,2025-03,Borate,237.2,265.7,2025-03-15,2025-03-15,0,2944,0.09
1,19,2024-10,NPK 12-12-17-2,9443.0,8374.7,2024-10-15,2024-10-16,1,2769,3.024
1,19,2024-10,Urea,2324.4,1526.6,2024-10-15,2024-12-09,55,2769,0.551
1,19,2024-10,Kieserite,1743.3,1864.6,2024-10-15,2024-10-30,15,2769,0.673
1,19,2024-10,Borate,217.9,145.4,2024-10-15,2024-10-29,14,2769,0.052
1,19,2025-03,NPK 12-12-17-2,9443.0,10576.1,2025-03-15,2025-03-21,6,2769,3.819
1,19,2025-03,Urea,2324.4,2215.0,2025-03-15,2025-04-19,35,2769,0.8
1,19,2025-03,Kieserite,1743.3,1835.8,2025-03-15,2025-04-19,35,2769,0.663
1,19,2025-03,Borate,217.9,132.8,2025-03-15,2025-03-31,16,2769,0.048
1,20,2024-10,NPK 12-12-17-2,8886.6,9953.0,2024-10-15,2024-10-17,2,2704,3.681
1,20,2024-10,Urea,2187.5,1724.7,2024-10-15,2024-11-05,21,2704,0.638
1,20,2024-10,Kieserite,1640.6,1304.3,2024-10-15,2024-12-16,62,2704,0.482
1,20,2024-10,Borate,205.1,185.3,2024-10-15,2024-11-03,19,2704,0.069
1,20,2025-03,NPK 12-12-17-2,8886.6,8186.5,2025-03-15,2025-05-11,57,2704,3.028
1,20,2025-03,Urea,2187.5,2450.0,2025-03-15,2025-03-28,13,2704,0.906
1,20,2025-03,Kieserite,1640.6,1100.6,2025-03-15,2025-03-15,0,2704,0.407
1,20,2025-03,Borate,205.1,164.2,2025-03-15,2025-04-07,23,2704,0.061
1,21,2024-10,NPK 12-12-17-2,13835.4,14774.4,2024-10-15,2024-10-22,7,4138,3.57
1,21,2024-10,Urea,3405.6,2750.0,2024-10-15,2024-10-29,14,4138,0.665
1,21,2024-10,Kieserite,2554.2,2119.5,2024-10-15,2024-10-15,0,4138,0.512
1,21,2024-10,Borate,319.3,250.8,2024-10-15,2024-10-17,2,4138,0.061
1,21,2025-03,NPK 12-12-17-2,13835.4,7846.4,2025-03-15,2025-05-24,70,4138,1.896
1,21,2025-03,Urea,3405.6,3310.4,2025-03-15,2025-03-15,0,4138,0.8
1,21,2025-03,Kieserite,2554.2,1802.7,2025-03-15,2025-03-23,8,4138,0.436
1,21,2025-03,Borate,319.3,265.3,2025-03-15,2025-04-02,18,4138,0.064
1,22,2024-10,NPK 12-12-17-2,13484.7,11346.5,2024-10-15,2024-11-14,30,4043,2.806
1,22,2024-10,Urea,3319.3,3464.4,2024-10-15,2024-10-25,10,4043,0.857
1,22,2024-10,Kieserite,2489.5,2465.6,2024-10-15,2024-11-17,33,4043,0.61
1,22,2024-10,Borate,311.2,215.2,2024-10-15,2024-11-15,31,4043,0.053
1,22,2025-03,NPK 12-12-17-2,13484.7,15032.0,2025-03-15,2025-04-03,19,4043,3.718
1,22,2025-03,Urea,3319.3,2817.3,2025-03-15,2025-04-01,17,4043,0.697
1,22,2025-03,Kieserite,2489.5,1630.6,2025-03-15,2025-04-04,20,4043,0.403
1,22,2025-03,Borate,311.2,190.6,2025-03-15,2025-04-26,42,4043,0.047
1,23,2024-10,NPK 12-12-17-2,13427.9,13639.4,2024-10-15,2024-11-03,19,3932,3.469
1,23,2024-10,Urea,3305.3,2487.8,2024-10-15,2024-10-15,0,3932,0.633
1,23,2024-10,Kieserite,2479.0,2066.8,2024-10-15,2024-10-15,0,3932,0.526
1,23,2024-10,Borate,309.9,323.0,2024-10-15,2024-12-23,69,3932,0.082
1,23,2025-03,NPK 12-12-17-2,13427.9,8739.4,2025-03-15,2025-04-14,30,3932,2.223
1,23,2025-03,Urea,3305.3,2545.4,2025-03-15,2025-03-15,0,3932,0.647
1,23,2025-03,Kieserite,2479.0,1752.2,2025-03-15,2025-04-30,46,3932,0.446
1,23,2025-03,Borate,309.9,247.7,2025-03-15,2025-03-15,0,3932,0.063
1,24,2024-10,NPK 12-12-17-2,10865.9,9340.6,2024-10-15,2024-11-11,27,3370,2.772
1,24,2024-10,Urea,2674.7,2424.7,2024-10-15,2024-11-30,46,3370,0.719
1,24,2024-10,Kieserite,2006.0,1732.9,2024-10-15,2024-10-15,0,3370,0.514
1,24,2024-10,Borate,250.8,280.8,2024-10-15,2024-11-18,34,3370,0.083
1,24,2025-03,NPK 12-12-17-2,10865.9,8057.6,2025-03-15,2025-03-15,0,3370,2.391
1,24,2025-03,Urea,2674.7,2448.3,2025-03-15,2025-03-17,2,3370,0.727
1,24,2025-03,Kieserite,2006.0,2041.0,2025-03-15,2025-04-18,34,3370,0.606
1,24,2025-03,Borate,250.8,246.9,2025-03-15,2025-03-26,11,3370,0.073
1,25,2024-10,NPK 12-12-17-2,12266.5,7229.2,2024-10-15,2024-12-03,49,4032,1.793
1,25,2024-10,Urea,3019.4,2944.3,2024-10-15,2024-11-26,42,4032,0.73
1,25,2024-10,Kieserite,2264.6,2175.4,2024-10-15,2024-11-12,28,4032,0.54
1,25,2024-10,Borate,283.1,247.0,2024-10-15,2024-10-15,0,4032,0.061
1,25,2025-03,NPK 12-12-17-2,12266.5,13535.8,2025-03-15,2025-03-26,11,4032,3.357
1,25,2025-03,Urea,3019.4,3339.8,2025-03-15,2025-03-15,0,4032,0.828
1,25,2025-03,Kieserite,2264.6,2133.8,2025-03-15,2025-03-15,0,4032,0.529
1,25,2025-03,Borate,283.1,279.2,2025-03-15,2025-04-18,34,4032,0.069
1,26,2024-10,NPK 12-12-17-2,11657.7,10502.4,2024-10-15,2024-11-16,32,3816,2.752
1,26,2024-10,Urea,2869.6,2714.4,2024-10-15,2024-12-01,47,3816,0.711
1,26,2024-10,Kieserite,2152.2,1950.5,2024-10-15,2024-10-30,15,3816,0.511
1,26,2024-10,Borate,269.0,192.3,2024-10-15,2024-10-15,0,3816,0.05
1,26,2025-03,NPK 12-12-17-2,11657.7,13056.6,2025-03-15,2025-03-16,1,3816,3.422
1,26,2025-03,Urea,2869.6,2486.6,2025-03-15,2025-03-16,1,3816,0.652
1,26,2025-03,Kieserite,2152.2,2410.5,2025-03-15,2025-03-18,3,3816,0.632
1,26,2025-03,Borate,269.0,244.6,2025-03-15,2025-03-30,15,3816,0.064
1,27,2024-10,NPK 12-12-17-2,12919.9,10641.4,2024-10-15,2024-11-06,22,3886,2.738
1,27,2024-10,Urea,3180.3,2655.4,2024-10-15,2024-10-15,0,3886,0.683
1,27,2024-10,Kieserite,2385.2,1553.0,2024-10-15,2024-11-03,19,3886,0.4
1,27,2024-10,Borate,298.2,146.1,2024-10-15,2024-10-17,2,3886,0.038
1,27,2025-03,NPK 12-12-17-2,12919.9,9737.2,2025-03-15,2025-04-21,37,3886,2.506
1,27,2025-03,Urea,3180.3,2576.1,2025-03-15,2025-03-15,0,3886,0.663
1,27,2025-03,Kieserite,2385.2,2093.4,2025-03-15,2025-06-02,79,3886,0.539
1,27,2025-03,Borate,298.2,229.8,2025-03-15,2025-04-27,43,3886,0.059
1,28,2024-10,NPK 12-12-17-2,11695.8,12254.7,2024-10-15,2024-11-15,31,3698,3.314
1,28,2024-10,Urea,2879.0,3103.9,2024-10-15,2024-10-26,11,3698,0.839
1,28,2024-10,Kieserite,2159.2,2151.1,2024-10-15,2024-10-20,5,3698,0.582
1,28,2024-10,Borate,269.9,235.2,2024-10-15,2024-11-02,18,3698,0.064
1,28,2025-03,NPK 12-12-17-2,11695.8,12227.3,2025-03-15,2025-03-15,0,3698,3.306
1,28,2025-03,Urea,2879.0,2325.8,2025-03-15,2025-04-12,28,3698,0.629
1,28,2025-03,Kieserite,2159.2,1953.4,2025-03-15,2025-03-15,0,3698,0.528
1,28,2025-03,Borate,269.9,223.4,2025-03-15,2025-03-15,0,3698,0.06
1,29,2024-10,NPK 12-12-17-2,12797.5,13162.8,2024-10-15,2024-10-29,14,3981,3.306
1,29,2024-10,Urea,3150.2,2958.9,2024-10-15,2024-11-03,19,3981,0.743
1,29,2024-10,Kieserite,2362.6,1963.0,2024-10-15,2024-10-15,0,3981,0.493
1,29,2024-10,Borate,295.3,245.8,2024-10-15,2024-10-15,0,3981,0.062
1,29,2025-03,NPK 12-12-17-2,12797.5,7909.8,2025-03-15,2025-04-10,26,3981,1.987
1,29,2025-03,Urea,3150.2,3528.2,2025-03-15,2025-03-15,0,3981,0.886
1,29,2025-03,Kieserite,2362.6,1559.7,2025-03-15,2025-03-15,0,3981,0.392
1,29,2025-03,Borate,295.3,237.1,2025-03-15,2025-04-25,41,3981,0.06
1,30,2024-10,NPK 12-12-17-2,13115.9,11015.9,2024-10-15,2024-12-08,54,3792,2.905
1,30,2024-10,Urea,3228.5,2138.1,2024-10-15,2024-12-08,54,3792,0.564
1,30,2024-10,Kieserite,2421.4,1277.4,2024-10-15,2024-11-22,38,3792,0.337
1,30,2024-10,Borate,302.7,287.8,2024-10-15,2024-12-05,51,3792,0.076
1,30,2025-03,NPK 12-12-17-2,13115.9,14689.9,2025-03-15,2025-03-20,5,3792,3.874
1,30,2025-03,Urea,3228.5,3616.0,2025-03-15,2025-04-20,36,3792,0.954
1,30,2025-03,Kieserite,2421.4,1838.7,2025-03-15,2025-05-17,63,3792,0.485
1,30,2025-03,Borate,302.7,246.0,2025-03-15,2025-03-21,6,3792,0.065
1,31,2024-10,NPK 12-12-17-2,12899.7,9553.4,2024-10-15,2024-10-15,0,3897,2.451
1,31,2024-10,Urea,3175.3,3038.1,2024-10-15,2024-10-15,0,3897,0.78
1,31,2024-10,Kieserite,2381.5,1962.8,2024-10-15,2024-11-16,32,3897,0.504
1,31,2024-10,Borate,297.7,256.9,2024-10-15,2024-10-21,6,3897,0.066
1,31,2025-03,NPK 12-12-17-2,12899.7,9801.5,2025-03-15,2025-04-15,31,3897,2.515
1,31,2025-03,Urea,3175.3,2450.7,2025-03-15,2025-03-29,14,3897,0.629
1,31,2025-03,Kieserite,2381.5,2087.1,2025-03-15,2025-03-31,16,3897,0.536
1,31,2025-03,Borate,297.7,182.4,2025-03-15,2025-03-29,14,3897,0.047
1,32,2024-10,NPK 12-12-17-2,12860.4,11964.1,2024-10-15,2024-10-15,0,3819,3.133
1,32,2024-10,Urea,3165.6,1951.5,2024-10-15,2024-12-08,54,3819,0.511
1,32,2024-10,Kieserite,2374.2,2659.1,2024-10-15,2024-10-17,2,3819,0.696
1,32,2024-10,Borate,296.8,273.3,2024-10-15,2024-10-15,0,3819,0.072
1,32,2025-03,NPK 12-12-17-2,12860.4,11976.0,2025-03-15,2025-03-17,2,3819,3.136
1,32,2025-03,Urea,3165.6,3545.5,2025-03-15,2025-04-14,30,3819,0.928
1,32,2025-03,Kieserite,2374.2,2544.7,2025-03-15,2025-04-13,29,3819,0.666
1,32,2025-03,Borate,296.8,288.9,2025-03-15,2025-03-30,15,3819,0.076
1,33,2024-10,NPK 12-12-17-2,14542.5,11235.6,2024-10-15,2024-11-18,34,4201,2.675
1,33,2024-10,Urea,3579.7,2161.7,2024-10-15,2024-11-09,25,4201,0.515
1,33,2024-10,Kieserite,2684.8,2547.5,2024-10-15,2024-11-30,46,4201,0.606
1,33,2024-10,Borate,335.6,304.3,2024-10-15,2024-11-10,26,4201,0.072
1,33,2025-03,NPK 12-12-17-2,14542.5,13821.8,2025-03-15,2025-04-28,44,4201,3.29
1,33,2025-03,Urea,3579.7,3370.2,2025-03-15,2025-04-09,25,4201,0.802
1,33,2025-03,Kieserite,2684.8,2466.0,2025-03-15,2025-03-26,11,4201,0.587
1,33,2025-03,Borate,335.6,211.4,2025-03-15,2025-05-13,59,4201,0.05
1,34,2024-10,NPK 12-12-17-2,12141.4,7822.5,2024-10-15,2024-10-31,16,3881,2.016
1,34,2024-10,Urea,2988.6,3014.3,2024-10-15,2024-11-12,28,3881,0.777
1,34,2024-10,Kieserite,2241.5,1654.5,2024-10-15,2024-10-17,2,3881,0.426
1,34,2024-10,Borate,280.2,241.6,2024-10-15,2024-11-13,29,3881,0.062
1,34,2025-03,NPK 12-12-17-2,12141.4,7536.1,2025-03-15,2025-06-09,86,3881,1.942
1,34,2025-03,Urea,2988.6,3298.9,2025-03-15,2025-04-01,17,3881,0.85
1,34,2025-03,Kieserite,2241.5,2510.5,2025-03-15,2025-03-15,0,3881,0.647
1,34,2025-03,Borate,280.2,289.2,2025-03-15,2025-04-25,41,3881,0.075
1,35,2024-10,NPK 12-12-17-2,14287.4,16001.8,2024-10-15,2024-10-16,1,4389,3.646
1,35,2024-10,Urea,3516.9,3152.4,2024-10-15,2024-11-17,33,4389,0.718
1,35,2024-10,Kieserite,2637.7,2440.9,2024-10-15,2024-11-30,46,4389,0.556
1,35,2024-10,Borate,329.7,348.6,2024-10-15,2024-10-15,0,4389,0.079
1,35,2025-03,NPK 12-12-17-2,14287.4,13070.4,2025-03-15,2025-04-08,24,4389,2.978
1,35,2025-03,Urea,3516.9,3938.9,2025-03-15,2025-03-15,0,4389,0.897
1,35,2025-03,Kieserite,2637.7,2443.9,2025-03-15,2025-03-17,2,4389,0.557
1,35,2025-03,Borate,329.7,234.7,2025-03-15,2025-05-17,63,4389,0.053
1,36,2024-10,NPK 12-12-17-2,13773.1,13052.6,2024-10-15,2024-12-03,49,4013,3.253
1,36,2024-10,Urea,3390.3,2487.6,2024-10-15,2024-10-15,0,4013,0.62
1,36,2024-10,Kieserite,2542.7,2747.6,2024-10-15,2024-10-15,0,4013,0.685
1,36,2024-10,Borate,317.8,237.2,2024-10-15,2024-11-11,27,4013,0.059
1,36,2025-03,NPK 12-12-17-2,13773.1,9318.6,2025-03-15,2025-05-08,54,4013,2.322
