# SYNTHETIC. Rotation state as at 2025-05-23. last_harvest_date is the block's last placed cutting day, consistent with the trip ledger and the work orders; the target round is the interval the block held over January-February, clamped to 5-14 days. Gang assignment is invented.
division_code,block_code,gang_code,rotation_target_days,last_harvest_date,days_since_harvest
4,154,G4-03,14,2025-05-13,10
4,155,G4-04,10,2025-05-18,5
4,156,G4-04,7,2025-05-22,1
4,157,G4-04,5,2025-05-18,5
4,158,G4-04,5,2025-05-20,3
4,159,G4-04,5,2025-05-19,4
4,160,G4-04,7,2025-05-21,2
4,163,G4-04,12,2025-05-01,22
4,164,G4-04,7,2025-05-19,4
4,165,G4-04,8,2025-05-22,1
4,166,G4-04,7,2025-05-14,9
5,168,G5-01,5,2025-05-19,4
5,169,G5-01,5,2025-05-23,0
5,170,G5-01,7,2025-05-22,1
5,171,G5-01,7,2025-05-18,5
5,172,G5-01,5,2025-05-21,2
5,173,G5-01,8,2025-05-18,5
5,174,G5-01,10,2025-05-20,3
5,176,G5-01,6,2025-05-15,8
5,177,G5-01,5,2025-05-16,7
5,178,G5-01,5,2025-05-20,3
5,179,G5-01,6,2025-05-22,1
5,180,G5-02,5,2025-05-16,7
5,181,G5-02,6,2025-05-18,5
5,182,G5-02,6,2025-05-18,5
5,184,G5-02,8,2025-05-21,2
5,185,G5-02,7,2025-05-22,1
5,186,G5-02,5,2025-05-19,4
5,187,G5-02,5,2025-05-16,7
5,188,G5-02,5,2025-05-18,5
5,189,G5-02,5,2025-05-17,6
5,190,G5-02,5,2025-05-23,0
5,192,G5-02,8,2025-05-13,10
5,193,G5-03,6,2025-05-19,4
5,194,G5-03,6,2025-05-12,11
5,195,G5-03,5,2025-05-13,10
5,196,G5-03,5,2025-05-19,4
5,197,G5-03,6,2025-05-21,2
5,198,G5-03,8,2025-05-19,4
5,199,G5-03,7,2025-05-20,3
5,200,G5-03,5,2025-05-19,4
5,201,G5-03,5,2025-05-14,9
5,202,G5-03,5,2025-05-16,7
5,373,G5-03,10,2025-05-15,8
6,203,G6-01,5,2025-05-22,1
6,204,G6-01,5,2025-05-20,3
6,205,G6-01,5,2025-05-16,7
6,206,G6-01,5,2025-05-21,2
6,207,G6-01,5,2025-05-21,2
6,208,G6-01,5,2025-05-23,0
6,209,G6-01,7,2025-05-23,0
6,210,G6-01,5,2025-05-20,3
6,211,G6-01,6,2025-05-20,3
6,212,G6-01,6,2025-05-22,1
6,213,G6-02,6,2025-05-18,5
6,214,G6-02,7,2025-05-20,3
6,215,G6-02,8,2025-05-19,4
6,216,G6-02,12,2025-05-20,3
6,222,G6-02,7,2025-05-17,6
6,223,G6-02,5,2025-05-17,6
6,230,G6-02,7,2025-05-20,3
6,245,G6-02,7,2025-05-17,6
6,246,G6-02,6,2025-05-18,5
6,247,G6-02,8,2025-05-22,1
6,248,G6-03,5,2025-05-20,3
6,249,G6-03,5,2025-05-19,4
6,250,G6-03,6,2025-05-18,5
6,251,G6-03,6,2025-05-20,3
6,252,G6-03,12,2025-05-17,6
6,253,G6-03,5,2025-05-20,3
6,254,G6-03,6,2025-05-08,15
6,255,G6-03,7,2025-05-04,19
6,256,G6-03,7,2025-05-18,5
6,257,G6-03,6,2025-05-16,7
6,258,G6-04,8,2025-05-20,3
6,259,G6-04,5,2025-05-17,6
6,260,G6-04,7,2025-05-19,4
6,261,G6-04,12,2025-05-19,4
6,262,G6-04,7,2025-05-13,10
6,263,G6-04,6,2025-05-20,3
6,264,G6-04,8,2025-05-01,22
6,265,G6-04,6,2025-05-22,1
6,266,G6-04,8,2025-05-19,4
6,267,G6-04,10,2025-05-20,3
6,268,G6-05,12,2025-05-21,2
6,269,G6-05,7,2025-05-20,3
6,270,G6-05,12,2025-05-21,2
6,271,G6-05,8,2025-05-23,0
6,272,G6-05,7,2025-05-20,3
6,379,G6-05,5,2025-05-18,5
6,380,G6-05,5,2025-05-17,6
7,287,G7-01,12,2025-05-13,10
7,288,G7-01,14,2025-05-15,8
7,289,G7-01,7,2025-05-22,1
7,290,G7-01,7,2025-05-23,0
7,291,G7-01,8,2025-05-21,2
7,292,G7-01,7,2025-05-20,3
7,293,G7-01,7,2025-05-20,3
7,294,G7-01,7,2025-05-05,18
7,295,G7-01,6,2025-05-18,5
7,296,G7-01,5,2025-05-21,2
7,297,G7-01,5,2025-05-18,5
7,298,G7-01,7,2025-05-22,1
7,299,G7-02,5,2025-05-20,3
7,300,G7-02,8,2025-05-19,4
7,301,G7-02,8,2025-05-21,2
7,302,G7-02,7,2025-05-19,4
7,303,G7-02,5,2025-05-21,2
7,304,G7-02,5,2025-05-22,1
7,305,G7-02,5,2025-05-17,6
7,306,G7-02,8,2025-05-14,9
7,307,G7-02,14,2025-05-13,10
7,308,G7-02,10,2025-05-08,15
7,309,G7-02,5,2025-05-23,0
7,310,G7-02,7,2025-05-17,6
7,311,G7-03,7,2025-05-21,2
7,328,G7-03,6,2025-05-17,6
7,329,G7-03,5,2025-05-20,3
7,330,G7-03,7,2025-05-21,2
7,331,G7-03,8,2025-05-18,5
7,332,G7-03,7,2025-05-18,5
7,333,G7-03,6,2025-05-21,2
7,334,G7-03,7,2025-05-18,5
7,335,G7-03,7,2025-05-22,1
7,336,G7-03,7,2025-05-21,2
7,337,G7-03,5,2025-05-15,8
7,338,G7-03,5,2025-05-13,10
7,339,G7-04,5,2025-05-15,8
7,340,G7-04,5,2025-05-20,3
7,341,G7-04,5,2025-05-19,4
7,342,G7-04,5,2025-05-22,1
7,343,G7-04,8,2025-05-22,1
7,344,G7-04,5,2025-05-19,4
7,345,G7-04,5,2025-05-21,2
7,346,G7-04,6,2025-05-23,0
7,347,G7-04,7,2025-05-19,4
7,348,G7-04,7,2025-05-23,0
