# SYNTHETIC. Trip-level ledger joining the EPMS field count to the mill weighbridge ticket. Bunch counts per block-month and the number of harvest days are the client's REAL figures; the split into trips, the weights, vehicles, drivers and times are generated. is_planted_anomaly marks the injected cohort and exists only to score the detector - a real extract has no such column.
trip_id,date,month,division_code,block_code,route_code,vehicle_id,vehicle_class,driver_id,km_to_mill,bunches_epms,loose_fruit_kg,gross_kg,tare_kg,net_kg,depart_time,turnaround_h,queue_h,mill_dockage_pct,ffa_pct,diesel_l,is_planted_anomaly
T000023,2025-05-19,2025-05,1,1,R-01,TR-03,tractor-trailer,D-19,6.26,289,12.0,5355,2990,2365,09:41,1.23,0.56,0.9,1.86,4.06,0
T000024,2025-01-01,2025-01,1,2,R-01,MI-03,mini-truck,D-16,6.19,256,14.1,3597,1530,2067,14:25,3.08,2.26,1.23,2.19,2.81,0
T000025,2025-01-01,2025-01,1,2,R-01,MI-03,mini-truck,D-04,6.19,256,31.7,3744,1679,2064,09:03,1.09,0.0,1.24,2.08,2.74,0
T000026,2025-01-08,2025-01,1,2,R-01,TR-06,tractor-trailer,D-05,6.19,512,43.9,7094,3059,4035,12:55,3.39,2.48,1.11,2.07,4.37,0
T000027,2025-01-11,2025-01,1,2,R-01,DU-02,dump-truck,D-02,6.19,512,56.3,8454,4373,4081,13:47,3.44,2.31,1.61,2.25,5.8,0
T000028,2025-01-18,2025-01,1,2,R-01,MI-01,mini-truck,D-16,6.19,256,40.7,3521,1454,2067,14:23,2.41,1.64,0.53,1.99,3.04,0
T000029,2025-01-18,2025-01,1,2,R-01,MI-01,mini-truck,D-12,6.19,256,35.1,3520,1475,2045,13:50,1.85,0.65,0.65,2.13,2.98,0
T000030,2025-01-22,2025-01,1,2,R-01,TR-08,tractor-trailer,D-15,6.19,512,76.5,6735,2677,4058,13:51,1.52,0.58,1.25,2.03,3.98,0
T000031,2025-01-29,2025-01,1,2,R-01,MI-04,mini-truck,D-01,6.19,259,26.6,3600,1520,2079,10:52,2.84,1.67,2.39,2.21,3.45,0
T000032,2025-01-29,2025-01,1,2,R-01,MI-04,mini-truck,D-13,6.19,258,22.6,3480,1444,2035,08:08,0.91,0.2,1.68,1.9,3.24,0
T000033,2025-02-01,2025-02,1,2,R-01,TR-03,tractor-trailer,D-16,6.19,460,70.1,6619,2933,3686,12:47,0.66,0.0,0.0,1.82,4.22,0
T000034,2025-02-04,2025-02,1,2,R-01,MI-02,mini-truck,D-12,6.19,230,24.2,3623,1760,1863,09:14,1.63,0.53,2.26,2.14,3.03,0
T000035,2025-02-04,2025-02,1,2,R-01,MI-02,mini-truck,D-13,6.19,230,35.8,3645,1784,1860,11:29,1.67,0.97,0.02,2.1,3.02,0
T000036,2025-02-08,2025-02,1,2,R-01,TR-02,tractor-trailer,D-11,6.19,460,64.4,6718,3001,3717,09:01,1.44,0.44,0.4,2.1,3.93,0
T000037,2025-02-11,2025-02,1,2,R-01,TR-07,tractor-trailer,D-17,6.19,460,49.6,6385,2698,3687,12:27,1.58,0.4,1.7,2.11,3.59,0
T000038,2025-02-14,2025-02,1,2,R-01,DU-04,dump-truck,D-14,6.19,460,56.8,7590,3869,3721,12:51,2.31,1.6,1.63,2.05,5.43,0
T000039,2025-02-20,2025-02,1,2,R-01,TR-03,tractor-trailer,D-20,6.19,460,61.1,6534,2824,3711,14:01,3.07,2.28,2.7,2.15,4.03,0
T000040,2025-02-21,2025-02,1,2,R-01,TR-08,tractor-trailer,D-06,6.19,460,26.2,6247,2532,3715,09:16,0.99,0.32,1.94,1.9,4.66,0
T000041,2025-02-26,2025-02,1,2,R-01,DU-02,dump-truck,D-01,6.19,467,23.4,8682,4926,3757,14:20,3.32,2.59,1.46,2.14,5.09,0
T000042,2025-03-03,2025-03,1,2,R-01,TR-04,tractor-trailer,D-17,6.19,297,24.3,5202,2841,2361,12:48,2.37,1.43,1.87,2.07,3.94,0
T000043,2025-03-03,2025-03,1,2,R-01,TR-04,tractor-trailer,D-10,6.19,296,24.4,5301,2951,2350,10:05,2.13,1.04,1.21,2.05,3.34,0
T000044,2025-03-09,2025-03,1,2,R-01,TR-01,tractor-trailer,D-02,6.19,297,19.1,5323,2989,2335,11:13,2.24,1.11,0.95,2.16,4.1,0
T000045,2025-03-09,2025-03,1,2,R-01,TR-01,tractor-trailer,D-13,6.19,296,47.4,5473,3060,2413,07:57,1.84,0.87,0.66,2.02,3.89,0
T000046,2025-03-15,2025-03,1,2,R-01,MI-03,mini-truck,D-08,6.19,297,34.6,3916,1522,2394,08:35,1.81,0.74,2.16,1.96,3.0,0
T000047,2025-03-15,2025-03,1,2,R-01,MI-03,mini-truck,D-02,6.19,296,17.3,3862,1509,2352,07:12,3.07,1.91,0.55,2.27,2.68,0
T000048,2025-03-21,2025-03,1,2,R-01,TR-04,tractor-trailer,D-03,6.19,297,46.7,5474,3073,2401,07:24,1.85,0.89,1.31,1.91,3.39,0
T000049,2025-03-21,2025-03,1,2,R-01,TR-04,tractor-trailer,D-17,6.19,296,37.6,5561,3196,2365,08:55,0.87,0.0,0.91,1.79,3.96,0
T000050,2025-03-28,2025-03,1,2,R-01,DU-04,dump-truck,D-01,6.19,593,25.4,9291,4494,4797,10:45,3.35,2.62,0.56,2.11,5.74,0
T000051,2025-04-01,2025-04,1,2,R-01,TR-05,tractor-trailer,D-10,6.19,516,55.1,6986,2812,4174,14:06,1.4,0.52,0.79,1.92,3.97,0
T000052,2025-04-08,2025-04,1,2,R-01,TR-03,tractor-trailer,D-18,6.19,516,56.6,7056,2953,4103,07:06,1.44,0.77,1.39,1.83,4.05,0
T000053,2025-04-15,2025-04,1,2,R-01,MI-02,mini-truck,D-04,6.19,258,19.5,3788,1726,2062,09:37,1.72,0.8,1.86,1.95,2.56,0
T000054,2025-04-15,2025-04,1,2,R-01,MI-02,mini-truck,D-06,6.19,258,23.9,3746,1668,2078,09:21,1.13,0.46,0.18,1.94,2.91,0
T000055,2025-04-20,2025-04,1,2,R-01,TR-05,tractor-trailer,D-13,6.19,516,77.9,7003,2811,4193,07:42,1.34,0.3,0.12,1.98,4.54,0
T000056,2025-04-26,2025-04,1,2,R-01,TR-06,tractor-trailer,D-09,6.19,517,62.5,6671,2482,4189,08:35,1.89,0.72,2.03,2.1,3.74,0
T000057,2025-05-04,2025-05,1,2,R-01,TR-01,tractor-trailer,D-19,6.19,366,38.9,5535,2627,2909,09:44,1.81,1.09,0.91,2.12,3.86,0
T000058,2025-05-04,2025-05,1,2,R-01,TR-01,tractor-trailer,D-02,6.19,366,26.8,5506,2543,2962,08:23,1.89,1.29,1.36,2.17,3.53,0
T000059,2025-05-11,2025-05,1,2,R-01,DU-05,dump-truck,D-10,6.19,732,45.3,10068,4157,5910,12:18,0.87,0.02,1.97,1.91,5.97,0
T000060,2025-05-19,2025-05,1,2,R-01,TR-03,tractor-trailer,D-12,6.19,367,23.5,5655,2695,2960,07:51,1.93,1.12,1.77,1.91,4.36,0
T000061,2025-05-19,2025-05,1,2,R-01,TR-03,tractor-trailer,D-04,6.19,367,14.0,5766,2826,2940,13:26,2.86,1.68,0.23,2.13,4.49,0
T000062,2025-01-01,2025-01,1,3,R-01,MI-03,mini-truck,D-06,6.02,201,34.8,3068,1401,1667,07:20,1.44,0.68,0.65,1.93,2.56,0
T000063,2025-01-01,2025-01,1,3,R-01,MI-03,mini-truck,D-17,6.02,201,7.3,3112,1460,1651,10:37,1.36,0.8,1.99,2.03,2.81,0
T000064,2025-01-05,2025-01,1,3,R-01,TR-08,tractor-trailer,D-07,6.02,402,42.8,6174,2825,3349,10:22,1.93,1.2,1.08,1.97,4.17,0
T000065,2025-01-11,2025-01,1,3,R-01,TR-08,tractor-trailer,D-08,6.02,402,35.3,5884,2565,3318,08:52,1.5,0.64,0.53,2.08,3.83,0
T000066,2025-01-16,2025-01,1,3,R-01,DU-01,dump-truck,D-03,6.02,402,33.0,8141,4781,3360,08:50,1.98,1.34,1.46,1.93,5.31,0
T000067,2025-01-20,2025-01,1,3,R-01,MI-02,mini-truck,D-02,6.02,201,23.3,3096,1429,1667,14:56,1.74,0.77,0.85,2.05,2.54,0
T000068,2025-01-20,2025-01,1,3,R-01,MI-02,mini-truck,D-08,6.02,201,22.9,3152,1491,1662,13:12,1.95,0.93,0.89,2.17,2.59,0
T000069,2025-01-24,2025-01,1,3,R-01,TR-06,tractor-trailer,D-19,6.02,402,61.2,6394,3136,3258,12:24,1.95,0.78,0.96,2.1,4.15,0
T000070,2025-01-28,2025-01,1,3,R-01,MI-04,mini-truck,D-01,6.02,203,12.8,3378,1705,1673,09:29,1.91,1.02,1.36,2.18,3.15,0
T000071,2025-01-28,2025-01,1,3,R-01,MI-04,mini-truck,D-12,6.02,203,8.2,3094,1414,1680,14:36,2.09,1.13,0.96,2.17,2.68,0
T000072,2025-02-02,2025-02,1,3,R-01,TR-05,tractor-trailer,D-13,6.02,418,31.5,6192,2741,3451,07:44,1.72,1.01,1.02,1.91,3.94,0
T000073,2025-02-06,2025-02,1,3,R-01,MI-02,mini-truck,D-12,6.02,209,31.6,3252,1524,1728,14:32,0.79,0.0,0.99,1.87,2.91,0
T000074,2025-02-06,2025-02,1,3,R-01,MI-02,mini-truck,D-15,6.02,209,7.8,3308,1602,1706,07:54,0.72,0.0,1.42,1.97,2.87,0
T000075,2025-02-09,2025-02,1,3,R-01,TR-02,tractor-trailer,D-20,6.02,418,73.4,6606,3191,3415,11:11,1.88,1.06,0.38,2.06,4.24,0
T000076,2025-02-14,2025-02,1,3,R-01,MI-01,mini-truck,D-06,6.02,209,23.1,3406,1678,1728,08:49,1.8,1.17,1.47,2.13,2.56,0
T000077,2025-02-14,2025-02,1,3,R-01,MI-01,mini-truck,D-18,6.02,209,11.9,3499,1760,1739,12:59,1.43,0.86,1.19,1.87,3.09,0
T000078,2025-02-18,2025-02,1,3,R-01,DU-01,dump-truck,D-16,6.02,418,51.0,8148,4694,3455,10:00,2.04,1.04,1.05,1.94,4.98,0
T000079,2025-02-22,2025-02,1,3,R-01,TR-03,tractor-trailer,D-20,6.02,418,61.1,6048,2577,3472,12:53,2.17,1.46,0.9,2.06,4.95,0
T000080,2025-02-26,2025-02,1,3,R-01,DU-01,dump-truck,D-07,6.02,421,18.9,7822,4370,3452,07:59,2.36,1.35,0.8,2.05,5.1,0
T000081,2025-03-03,2025-03,1,3,R-01,TR-07,tractor-trailer,D-17,6.02,536,78.1,7384,2945,4439,13:32,1.97,0.9,1.01,1.96,3.46,0
T000082,2025-03-07,2025-03,1,3,R-01,DU-01,dump-truck,D-19,6.02,536,61.6,8815,4501,4314,11:44,1.18,0.31,1.32,1.9,4.75,0
T000083,2025-03-13,2025-03,1,3,R-01,TR-01,tractor-trailer,D-16,6.02,536,63.2,7595,3169,4426,10:00,1.33,0.45,2.0,2.06,4.13,0
T000084,2025-03-20,2025-03,1,3,R-01,DU-03,dump-truck,D-04,6.02,536,70.3,8369,3949,4420,08:57,2.17,1.48,1.15,1.98,4.42,0
T000085,2025-03-28,2025-03,1,3,R-01,MI-03,mini-truck,D-07,6.02,269,43.4,3639,1427,2212,08:31,1.93,1.06,1.4,2.01,2.54,0
T000086,2025-03-28,2025-03,1,3,R-01,MI-03,mini-truck,D-02,6.02,269,37.9,3922,1665,2257,14:31,1.82,0.72,1.1,2.11,3.01,0
T000087,2025-04-01,2025-04,1,3,R-01,TR-04,tractor-trailer,D-09,6.02,302,41.2,5231,2705,2526,07:47,1.58,0.9,0.68,1.9,3.58,0
T000088,2025-04-01,2025-04,1,3,R-01,TR-04,tractor-trailer,D-12,6.02,302,34.2,5522,3047,2475,12:44,1.69,0.44,1.55,1.94,3.66,0
T000089,2025-04-11,2025-04,1,3,R-01,MI-01,mini-truck,D-17,6.02,202,35.1,3044,1394,1650,09:10,2.66,1.53,2.15,2.25,2.63,0
T000090,2025-04-11,2025-04,1,3,R-01,MI-01,mini-truck,D-18,6.02,201,31.6,3067,1386,1681,11:57,1.6,0.95,0.75,1.94,2.91,0
T000091,2025-04-11,2025-04,1,3,R-01,MI-01,mini-truck,D-14,6.02,201,7.9,3085,1432,1653,10:54,2.37,1.65,0.56,1.97,2.56,0
T000092,2025-04-16,2025-04,1,3,R-01,TR-06,tractor-trailer,D-16,6.02,302,26.9,5218,2713,2506,08:32,1.2,0.27,1.28,1.82,4.11,0
T000093,2025-04-16,2025-04,1,3,R-01,TR-06,tractor-trailer,D-16,6.02,302,30.7,5215,2716,2499,13:27,2.95,2.02,1.02,2.24,3.93,0
T000094,2025-04-26,2025-04,1,3,R-01,TR-06,tractor-trailer,D-17,6.02,303,18.0,4977,2485,2492,07:59,1.8,0.79,1.09,1.89,3.52,0
T000095,2025-04-26,2025-04,1,3,R-01,TR-06,tractor-trailer,D-06,6.02,302,13.6,5295,2800,2495,13:01,1.33,0.71,0.27,2.05,3.71,0
T000096,2025-05-02,2025-05,1,3,R-01,TR-01,tractor-trailer,D-07,6.02,422,33.4,6149,2626,3523,11:20,1.75,0.68,0.74,1.87,3.82,0
T000097,2025-05-02,2025-05,1,3,R-01,TR-01,tractor-trailer,D-10,6.02,422,57.4,6143,2634,3509,10:04,1.19,0.43,1.46,2.03,3.96,0
T000098,2025-05-10,2025-05,1,3,R-01,DU-05,dump-truck,D-18,6.02,422,47.3,8444,4928,3517,09:57,2.75,1.69,1.0,2.2,6.0,0
T000099,2025-05-10,2025-05,1,3,R-01,DU-05,dump-truck,D-03,6.02,422,42.2,7933,4502,3431,12:32,2.69,1.98,2.0,2.19,5.97,0
T000100,2025-05-17,2025-05,1,3,R-01,DU-04,dump-truck,D-14,6.02,423,65.5,8030,4527,3503,07:47,2.21,1.32,0.65,1.99,5.28,0
T000101,2025-05-17,2025-05,1,3,R-01,DU-04,dump-truck,D-14,6.02,423,33.2,7431,3901,3530,09:34,2.05,1.17,1.0,2.04,5.97,0
T000102,2025-01-02,2025-01,1,4,R-01,DU-03,dump-truck,D-05,5.83,412,56.9,8106,4620,3486,12:53,2.59,1.97,0.68,2.24,5.27,0
T000103,2025-01-05,2025-01,1,4,R-01,TR-02,tractor-trailer,D-09,5.83,412,61.8,6279,2842,3437,12:34,1.3,0.18,0.9,1.86,3.98,0
T000104,2025-01-11,2025-01,1,4,R-01,DU-01,dump-truck,D-13,5.83,412,32.3,8391,4979,3413,07:23,2.86,1.9,2.21,2.28,4.79,0
T000105,2025-01-13,2025-01,1,4,R-01,TR-07,tractor-trailer,D-14,5.83,412,15.4,6000,2546,3454,07:16,2.01,0.98,1.2,1.94,3.78,0
T000106,2025-01-20,2025-01,1,4,R-01,MI-03,mini-truck,D-02,5.83,206,22.8,3490,1736,1754,12:51,1.82,0.98,1.08,2.16,2.87,0
T000107,2025-01-20,2025-01,1,4,R-01,MI-03,mini-truck,D-04,5.83,206,29.5,3200,1476,1723,08:32,2.3,1.25,1.55,2.06,2.92,0
T000108,2025-01-23,2025-01,1,4,R-01,DU-05,dump-truck,D-18,5.83,412,18.2,8112,4690,3422,09:52,1.79,0.75,0.01,2.1,4.81,0
T000109,2025-01-29,2025-01,1,4,R-01,DU-04,dump-truck,D-03,5.83,418,17.7,7770,4238,3532,07:43,1.6,0.76,0.86,2.02,5.32,0
T000110,2025-02-02,2025-02,1,4,R-01,TR-08,tractor-trailer,D-18,5.83,354,38.9,6064,3080,2984,13:37,1.17,0.43,0.51,2.03,4.35,0
T000111,2025-02-06,2025-02,1,4,R-01,MI-01,mini-truck,D-14,5.83,177,16.7,3178,1694,1485,10:27,1.28,0.34,0.56,2.03,2.67,0
T000112,2025-02-06,2025-02,1,4,R-01,MI-01,mini-truck,D-05,5.83,177,20.9,3087,1576,1511,14:55,2.96,2.03,1.24,2.16,2.95,0
T000113,2025-02-08,2025-02,1,4,R-01,TR-06,tractor-trailer,D-13,5.83,354,44.2,6083,3127,2956,12:45,2.63,1.64,1.78,2.17,3.77,0
T000114,2025-02-12,2025-02,1,4,R-01,TR-06,tractor-trailer,D-17,5.83,354,33.5,5700,2728,2972,08:48,2.2,1.5,0.83,2.06,3.64,0
T000115,2025-02-17,2025-02,1,4,R-01,TR-08,tractor-trailer,D-02,5.83,354,63.1,6040,3091,2949,12:56,2.92,1.84,0.48,2.04,3.95,0
T000116,2025-02-21,2025-02,1,4,R-01,TR-01,tractor-trailer,D-10,5.83,354,14.8,5681,2699,2982,07:28,0.6,0.05,0.94,1.8,3.53,0
T000117,2025-02-25,2025-02,1,4,R-01,TR-07,tractor-trailer,D-03,5.83,357,23.1,5898,2894,3004,12:49,2.65,1.64,0.95,2.0,3.8,0
T000118,2025-03-02,2025-03,1,4,R-01,DU-03,dump-truck,D-05,5.83,635,74.2,9759,4407,5352,14:15,1.73,0.88,0.47,1.92,4.25,0
T000119,2025-03-08,2025-03,1,4,R-01,TR-04,tractor-trailer,D-19,5.83,318,21.7,5548,2913,2635,14:37,2.77,1.86,1.94,2.06,3.58,0
T000120,2025-03-08,2025-03,1,4,R-01,TR-04,tractor-trailer,D-06,5.83,317,17.8,5739,3080,2659,14:16,1.96,1.07,0.79,2.13,3.25,0
T000121,2025-03-15,2025-03,1,4,R-01,MI-02,mini-truck,D-03,5.83,213,36.4,3569,1752,1817,09:36,2.02,1.18,1.74,2.09,2.73,0
T000122,2025-03-15,2025-03,1,4,R-01,MI-02,mini-truck,D-16,5.83,211,28.0,3557,1782,1776,11:44,1.68,0.58,0.81,2.14,2.81,0
T000123,2025-03-15,2025-03,1,4,R-01,MI-02,mini-truck,D-04,5.83,211,20.7,3192,1433,1759,14:45,0.92,0.24,0.35,2.02,2.78,0
T000124,2025-03-21,2025-03,1,4,R-01,DU-02,dump-truck,D-20,5.83,635,57.8,10429,4999,5429,13:52,1.58,0.46,1.03,1.97,4.64,0
T000125,2025-03-26,2025-03,1,4,R-01,TR-08,tractor-trailer,D-19,5.83,318,14.6,5298,2632,2666,14:55,1.09,0.12,0.61,1.82,4.23,0
T000126,2025-03-26,2025-03,1,4,R-01,TR-08,tractor-trailer,D-08,5.83,318,41.7,5386,2713,2673,14:21,2.1,1.03,1.39,2.09,4.27,0
T000127,2025-04-02,2025-04,1,4,R-01,TR-01,tractor-trailer,D-07,5.83,428,45.1,6525,2970,3555,14:11,2.11,1.48,2.31,1.94,4.0,0
T000128,2025-04-10,2025-04,1,4,R-01,TR-05,tractor-trailer,D-03,5.83,428,48.5,6716,3161,3555,09:42,1.31,0.63,1.43,1.89,4.3,0
T000129,2025-04-16,2025-04,1,4,R-01,DU-03,dump-truck,D-14,5.83,428,23.4,8549,4978,3571,09:29,2.51,1.89,1.49,1.99,4.58,0
T000130,2025-04-23,2025-04,1,4,R-01,TR-04,tractor-trailer,D-15,5.83,431,75.1,6325,2728,3597,14:57,1.97,0.89,0.98,1.93,3.23,0
T000131,2025-05-02,2025-05,1,4,R-01,DU-02,dump-truck,D-04,5.83,646,37.3,10195,4851,5343,14:20,2.3,1.32,1.0,2.06,5.11,0
T000132,2025-05-09,2025-05,1,4,R-01,TR-02,tractor-trailer,D-12,5.83,323,40.0,5854,3110,2744,14:11,3.12,2.54,1.42,2.19,3.8,0
T000133,2025-05-09,2025-05,1,4,R-01,TR-02,tractor-trailer,D-03,5.83,323,26.6,5893,3183,2710,07:40,3.4,2.27,1.43,2.11,3.91,0
T000134,2025-05-16,2025-05,1,4,R-01,DU-02,dump-truck,D-04,5.83,646,104.7,9278,3949,5329,07:56,1.74,1.06,1.17,1.93,5.34,0
T000135,2025-01-06,2025-01,1,5,R-01,TR-04,tractor-trailer,D-20,5.65,255,21.0,4825,2707,2118,12:56,1.89,0.72,0.72,2.07,3.66,0
T000136,2025-01-13,2025-01,1,5,R-01,DU-05,dump-truck,D-20,5.65,255,22.7,6145,4040,2105,11:30,1.01,0.36,1.22,2.02,5.09,0
T000137,2025-01-22,2025-01,1,5,R-01,TR-05,tractor-trailer,D-10,5.65,255,9.8,5129,2977,2152,14:16,2.28,1.29,1.36,2.12,4.33,0
T000138,2025-01-28,2025-01,1,5,R-01,TR-08,tractor-trailer,D-13,5.65,257,33.4,4776,2610,2166,08:58,1.74,0.84,1.47,1.92,4.29,0
T000139,2025-02-03,2025-02,1,5,R-01,DU-03,dump-truck,D-07,5.65,249,43.1,6240,4155,2086,12:59,2.42,1.67,0.24,2.14,5.12,0
T000140,2025-02-07,2025-02,1,5,R-01,TR-02,tractor-trailer,D-15,5.65,249,19.3,4793,2733,2059,08:34,1.71,0.77,0.95,2.0,3.51,0
T000141,2025-02-12,2025-02,1,5,R-01,DU-01,dump-truck,D-02,5.65,249,33.9,6293,4196,2096,14:54,1.32,0.71,1.42,2.03,4.24,0
T000142,2025-02-17,2025-02,1,5,R-01,MI-03,mini-truck,D-12,5.65,249,14.9,3578,1501,2078,13:37,2.57,1.7,1.63,1.97,2.95,0
T000143,2025-02-23,2025-02,1,5,R-01,TR-04,tractor-trailer,D-15,5.65,249,32.8,4921,2836,2085,08:50,2.25,1.32,1.27,2.08,3.73,0
T000144,2025-02-25,2025-02,1,5,R-01,MI-03,mini-truck,D-05,5.65,249,11.7,3440,1401,2039,13:26,1.13,0.54,1.29,1.82,2.38,0
T000145,2025-03-05,2025-03,1,5,R-01,MI-01,mini-truck,D-17,5.65,159,13.0,3000,1683,1317,11:03,2.38,1.4,0.87,1.94,2.58,0
T000146,2025-03-05,2025-03,1,5,R-01,MI-01,mini-truck,D-04,5.65,159,9.8,2748,1433,1315,10:08,2.04,1.43,0.41,1.99,2.64,0
T000147,2025-03-13,2025-03,1,5,R-01,TR-05,tractor-trailer,D-11,5.65,318,55.0,5672,3040,2632,13:03,2.06,1.38,1.19,1.96,4.31,0
T000148,2025-03-22,2025-03,1,5,R-01,MI-03,mini-truck,D-11,5.65,159,25.8,2839,1490,1348,13:57,3.33,2.68,1.56,2.09,2.63,0
T000149,2025-03-22,2025-03,1,5,R-01,MI-03,mini-truck,D-12,5.65,159,24.2,2985,1666,1318,07:16,2.06,1.23,0.81,2.05,2.86,0
T000150,2025-03-28,2025-03,1,5,R-01,MI-04,mini-truck,D-02,5.65,159,10.8,2888,1547,1341,10:01,2.06,0.96,0.04,2.16,2.54,0
T000151,2025-03-28,2025-03,1,5,R-01,MI-04,mini-truck,D-05,5.65,159,13.1,2982,1648,1334,10:27,1.0,0.46,1.4,1.81,2.96,0
T000152,2025-04-02,2025-04,1,5,R-01,MI-01,mini-truck,D-16,5.65,171,15.7,2906,1457,1449,14:46,1.07,0.18,0.0,2.05,2.64,0
T000153,2025-04-02,2025-04,1,5,R-01,MI-01,mini-truck,D-15,5.65,170,8.8,3034,1622,1412,10:16,1.62,1.04,0.81,1.93,2.69,0
T000154,2025-04-09,2025-04,1,5,R-01,MI-04,mini-truck,D-14,5.65,171,19.2,2911,1479,1432,12:07,2.31,1.56,0.74,2.0,3.02,0
T000155,2025-04-09,2025-04,1,5,R-01,MI-04,mini-truck,D-05,5.65,170,30.3,3145,1703,1442,11:49,1.69,0.79,0.65,1.96,2.81,0
T000156,2025-04-13,2025-04,1,5,R-01,DU-04,dump-truck,D-04,5.65,341,28.7,7195,4316,2880,12:28,0.95,0.0,1.84,2.01,5.07,0
T000157,2025-04-17,2025-04,1,5,R-01,TR-06,tractor-trailer,D-09,5.65,341,56.3,6060,3235,2825,09:37,1.63,0.97,1.14,2.06,3.28,0
T000158,2025-04-22,2025-04,1,5,R-01,TR-02,tractor-trailer,D-01,5.65,341,23.5,5859,3023,2836,10:53,2.28,1.66,1.99,2.14,3.48,0
