# SYNTHETIC. Fertiliser reservations: RESB, one per block, material and round. kzear X is a final issue. The 2025-03 round's issues dated after 2025-05-23 in ec_fertiliser.csv are open here, which is what they were on that day; 2025-10 is the programme on the books.
rsnum,matnr,werks,bdter,bdmng,enmng,meins,kzear,kostl,block_code,window
0000000025,FE-001,EC,2023-10-15,6989.4,7149.8,KG,X,EC-D1,7,2023-10
0000000026,FE-002,EC,2023-10-15,1720.5,1586.7,KG,X,EC-D1,7,2023-10
0000000027,FE-003,EC,2023-10-15,1290.3,818.9,KG,X,EC-D1,7,2023-10
0000000028,FE-004,EC,2023-10-15,161.3,175.8,KG,X,EC-D1,7,2023-10
0000000029,FE-001,EC,2023-10-15,14073.1,15761.9,KG,X,EC-D1,8,2023-10
0000000030,FE-002,EC,2023-10-15,3464.1,3183.6,KG,X,EC-D1,8,2023-10
0000000031,FE-003,EC,2023-10-15,2598.1,1900.3,KG,X,EC-D1,8,2023-10
0000000032,FE-004,EC,2023-10-15,324.8,240.9,KG,X,EC-D1,8,2023-10
0000000033,FE-001,EC,2023-10-15,11494.3,11765.6,KG,X,EC-D1,9,2023-10
0000000034,FE-002,EC,2023-10-15,2829.4,1333.7,KG,X,EC-D1,9,2023-10
0000000035,FE-003,EC,2023-10-15,2122.0,1935.7,KG,X,EC-D1,9,2023-10
0000000036,FE-004,EC,2023-10-15,265.3,224.6,KG,X,EC-D1,9,2023-10
0000000037,FE-001,EC,2023-10-15,13076.9,12493.5,KG,X,EC-D1,10,2023-10
0000000038,FE-002,EC,2023-10-15,3218.9,2968.3,KG,X,EC-D1,10,2023-10
0000000039,FE-003,EC,2023-10-15,2414.2,1744.6,KG,X,EC-D1,10,2023-10
0000000040,FE-004,EC,2023-10-15,301.8,297.2,KG,X,EC-D1,10,2023-10
0000000041,FE-001,EC,2023-10-15,14572.0,15522.9,KG,X,EC-D1,11,2023-10
0000000042,FE-002,EC,2023-10-15,3586.9,3538.4,KG,X,EC-D1,11,2023-10
0000000043,FE-003,EC,2023-10-15,2690.2,2434.9,KG,X,EC-D1,11,2023-10
0000000044,FE-004,EC,2023-10-15,336.3,341.4,KG,X,EC-D1,11,2023-10
0000000045,FE-001,EC,2023-10-15,11177.6,10990.8,KG,X,EC-D1,12,2023-10
0000000046,FE-002,EC,2023-10-15,2751.4,3053.9,KG,X,EC-D1,12,2023-10
0000000047,FE-003,EC,2023-10-15,2063.5,2311.1,KG,X,EC-D1,12,2023-10
0000000048,FE-004,EC,2023-10-15,257.9,209.1,KG,X,EC-D1,12,2023-10
0000000049,FE-001,EC,2023-10-15,14543.8,15939.5,KG,X,EC-D1,13,2023-10
0000000050,FE-002,EC,2023-10-15,3580.0,3124.5,KG,X,EC-D1,13,2023-10
0000000051,FE-003,EC,2023-10-15,2685.0,1760.9,KG,X,EC-D1,13,2023-10
0000000052,FE-004,EC,2023-10-15,335.6,272.3,KG,X,EC-D1,13,2023-10
0000000053,FE-001,EC,2023-10-15,14746.2,9116.2,KG,X,EC-D1,14,2023-10
0000000054,FE-002,EC,2023-10-15,3629.8,2503.9,KG,X,EC-D1,14,2023-10
0000000055,FE-003,EC,2023-10-15,2722.4,1905.5,KG,X,EC-D1,14,2023-10
0000000056,FE-004,EC,2023-10-15,340.3,280.9,KG,X,EC-D1,14,2023-10
0000000057,FE-001,EC,2023-10-15,14844.0,14601.2,KG,X,EC-D1,15,2023-10
0000000058,FE-002,EC,2023-10-15,3653.9,3845.0,KG,X,EC-D1,15,2023-10
0000000059,FE-003,EC,2023-10-15,2740.4,3069.2,KG,X,EC-D1,15,2023-10
0000000060,FE-004,EC,2023-10-15,342.6,357.4,KG,X,EC-D1,15,2023-10
0000000061,FE-001,EC,2023-10-15,13052.5,10006.5,KG,X,EC-D1,16,2023-10
0000000062,FE-002,EC,2023-10-15,3212.9,2011.9,KG,X,EC-D1,16,2023-10
0000000063,FE-003,EC,2023-10-15,2409.7,2402.5,KG,X,EC-D1,16,2023-10
0000000064,FE-004,EC,2023-10-15,301.2,264.2,KG,X,EC-D1,16,2023-10
0000000065,FE-001,EC,2023-10-15,11761.6,9782.4,KG,X,EC-D1,17,2023-10
0000000066,FE-002,EC,2023-10-15,2895.2,2891.5,KG,X,EC-D1,17,2023-10
0000000067,FE-003,EC,2023-10-15,2171.4,1120.0,KG,X,EC-D1,17,2023-10
0000000068,FE-004,EC,2023-10-15,271.4,202.5,KG,X,EC-D1,17,2023-10
0000000069,FE-001,EC,2023-10-15,10278.9,9250.4,KG,X,EC-D1,18,2023-10
0000000070,FE-002,EC,2023-10-15,2530.2,2694.2,KG,X,EC-D1,18,2023-10
0000000071,FE-003,EC,2023-10-15,1897.6,1705.1,KG,X,EC-D1,18,2023-10
0000000072,FE-004,EC,2023-10-15,237.2,213.5,KG,X,EC-D1,18,2023-10
0000000073,FE-001,EC,2023-10-15,9443.0,7532.8,KG,X,EC-D1,19,2023-10
0000000074,FE-002,EC,2023-10-15,2324.4,1592.1,KG,X,EC-D1,19,2023-10
0000000075,FE-003,EC,2023-10-15,1743.3,1636.2,KG,X,EC-D1,19,2023-10
0000000076,FE-004,EC,2023-10-15,217.9,240.0,KG,X,EC-D1,19,2023-10
0000000077,FE-001,EC,2023-10-15,8886.6,5046.1,KG,X,EC-D1,20,2023-10
0000000078,FE-002,EC,2023-10-15,2187.5,1623.5,KG,X,EC-D1,20,2023-10
0000000079,FE-003,EC,2023-10-15,1640.6,1383.7,KG,X,EC-D1,20,2023-10
0000000080,FE-004,EC,2023-10-15,205.1,162.6,KG,X,EC-D1,20,2023-10
0000000081,FE-001,EC,2023-10-15,13835.4,13125.0,KG,X,EC-D1,21,2023-10
0000000082,FE-002,EC,2023-10-15,3405.6,2653.0,KG,X,EC-D1,21,2023-10
0000000083,FE-003,EC,2023-10-15,2554.2,2309.5,KG,X,EC-D1,21,2023-10
0000000084,FE-004,EC,2023-10-15,319.3,272.4,KG,X,EC-D1,21,2023-10
0000000085,FE-001,EC,2023-10-15,13484.7,12530.2,KG,X,EC-D1,22,2023-10
0000000086,FE-002,EC,2023-10-15,3319.3,3583.4,KG,X,EC-D1,22,2023-10
0000000087,FE-003,EC,2023-10-15,2489.5,1443.0,KG,X,EC-D1,22,2023-10
0000000088,FE-004,EC,2023-10-15,311.2,343.7,KG,X,EC-D1,22,2023-10
0000000089,FE-001,EC,2023-10-15,13427.9,13141.9,KG,X,EC-D1,23,2023-10
0000000090,FE-002,EC,2023-10-15,3305.3,2683.4,KG,X,EC-D1,23,2023-10
0000000091,FE-003,EC,2023-10-15,2479.0,2160.7,KG,X,EC-D1,23,2023-10
0000000092,FE-004,EC,2023-10-15,309.9,341.5,KG,X,EC-D1,23,2023-10
0000000093,FE-001,EC,2023-10-15,10865.9,10117.3,KG,X,EC-D1,24,2023-10
0000000094,FE-002,EC,2023-10-15,2674.7,2269.7,KG,X,EC-D1,24,2023-10
0000000095,FE-003,EC,2023-10-15,2006.0,803.8,KG,X,EC-D1,24,2023-10
0000000096,FE-004,EC,2023-10-15,250.8,178.7,KG,X,EC-D1,24,2023-10
0000000097,FE-001,EC,2023-10-15,12266.5,11696.0,KG,X,EC-D1,25,2023-10
0000000098,FE-002,EC,2023-10-15,3019.4,2994.9,KG,X,EC-D1,25,2023-10
0000000099,FE-003,EC,2023-10-15,2264.6,2128.6,KG,X,EC-D1,25,2023-10
0000000100,FE-004,EC,2023-10-15,283.1,220.1,KG,X,EC-D1,25,2023-10
0000000101,FE-001,EC,2023-10-15,11657.7,11338.5,KG,X,EC-D1,26,2023-10
0000000102,FE-002,EC,2023-10-15,2869.6,3214.0,KG,X,EC-D1,26,2023-10
0000000103,FE-003,EC,2023-10-15,2152.2,2410.5,KG,X,EC-D1,26,2023-10
0000000104,FE-004,EC,2023-10-15,269.0,295.5,KG,X,EC-D1,26,2023-10
0000000105,FE-001,EC,2023-10-15,12919.9,11780.4,KG,X,EC-D1,27,2023-10
0000000106,FE-002,EC,2023-10-15,3180.3,3205.4,KG,X,EC-D1,27,2023-10
0000000107,FE-003,EC,2023-10-15,2385.2,2083.4,KG,X,EC-D1,27,2023-10
0000000108,FE-004,EC,2023-10-15,298.2,312.5,KG,X,EC-D1,27,2023-10
0000000109,FE-001,EC,2023-10-15,11695.8,11899.1,KG,X,EC-D1,28,2023-10
0000000110,FE-002,EC,2023-10-15,2879.0,2580.5,KG,X,EC-D1,28,2023-10
0000000111,FE-003,EC,2023-10-15,2159.2,1684.1,KG,X,EC-D1,28,2023-10
0000000112,FE-004,EC,2023-10-15,269.9,215.1,KG,X,EC-D1,28,2023-10
0000000113,FE-001,EC,2023-10-15,12797.5,11880.1,KG,X,EC-D1,29,2023-10
0000000114,FE-002,EC,2023-10-15,3150.2,3058.6,KG,X,EC-D1,29,2023-10
0000000115,FE-003,EC,2023-10-15,2362.6,2525.4,KG,X,EC-D1,29,2023-10
0000000116,FE-004,EC,2023-10-15,295.3,283.4,KG,X,EC-D1,29,2023-10
0000000117,FE-001,EC,2023-10-15,13115.9,13180.3,KG,X,EC-D1,30,2023-10
0000000118,FE-002,EC,2023-10-15,3228.5,2889.4,KG,X,EC-D1,30,2023-10
0000000119,FE-003,EC,2023-10-15,2421.4,2060.6,KG,X,EC-D1,30,2023-10
0000000120,FE-004,EC,2023-10-15,302.7,332.7,KG,X,EC-D1,30,2023-10
0000000121,FE-001,EC,2023-10-15,12899.7,12226.2,KG,X,EC-D1,31,2023-10
0000000122,FE-002,EC,2023-10-15,3175.3,2397.5,KG,X,EC-D1,31,2023-10
0000000123,FE-003,EC,2023-10-15,2381.5,2667.3,KG,X,EC-D1,31,2023-10
0000000124,FE-004,EC,2023-10-15,297.7,197.9,KG,X,EC-D1,31,2023-10
0000000125,FE-001,EC,2023-10-15,12860.4,14403.6,KG,X,EC-D1,32,2023-10
0000000126,FE-002,EC,2023-10-15,3165.6,2132.3,KG,X,EC-D1,32,2023-10
0000000127,FE-003,EC,2023-10-15,2374.2,1798.1,KG,X,EC-D1,32,2023-10
0000000128,FE-004,EC,2023-10-15,296.8,280.2,KG,X,EC-D1,32,2023-10
0000000129,FE-001,EC,2023-10-15,14542.5,10720.1,KG,X,EC-D1,33,2023-10
0000000130,FE-002,EC,2023-10-15,3579.7,3316.1,KG,X,EC-D1,33,2023-10
0000000131,FE-003,EC,2023-10-15,2684.8,1254.8,KG,X,EC-D1,33,2023-10
0000000132,FE-004,EC,2023-10-15,335.6,296.5,KG,X,EC-D1,33,2023-10
0000000133,FE-001,EC,2023-10-15,12141.4,10180.2,KG,X,EC-D1,34,2023-10
0000000134,FE-002,EC,2023-10-15,2988.6,2362.9,KG,X,EC-D1,34,2023-10
0000000135,FE-003,EC,2023-10-15,2241.5,2510.5,KG,X,EC-D1,34,2023-10
0000000136,FE-004,EC,2023-10-15,280.2,209.4,KG,X,EC-D1,34,2023-10
0000000137,FE-001,EC,2023-10-15,14287.4,13172.2,KG,X,EC-D1,35,2023-10
0000000138,FE-002,EC,2023-10-15,3516.9,3152.5,KG,X,EC-D1,35,2023-10
0000000139,FE-003,EC,2023-10-15,2637.7,2080.7,KG,X,EC-D1,35,2023-10
0000000140,FE-004,EC,2023-10-15,329.7,170.2,KG,X,EC-D1,35,2023-10
0000000141,FE-001,EC,2023-10-15,13773.1,11616.4,KG,X,EC-D1,36,2023-10
0000000142,FE-002,EC,2023-10-15,3390.3,3102.0,KG,X,EC-D1,36,2023-10
0000000143,FE-003,EC,2023-10-15,2542.7,1838.9,KG,X,EC-D1,36,2023-10
0000000144,FE-004,EC,2023-10-15,317.8,258.1,KG,X,EC-D1,36,2023-10
0000000145,FE-001,EC,2023-10-15,13795.9,12551.0,KG,X,EC-D1,37,2023-10
0000000146,FE-002,EC,2023-10-15,3395.9,3803.4,KG,X,EC-D1,37,2023-10
0000000147,FE-003,EC,2023-10-15,2546.9,2650.6,KG,X,EC-D1,37,2023-10
0000000148,FE-004,EC,2023-10-15,318.4,304.6,KG,X,EC-D1,37,2023-10
0000000149,FE-001,EC,2023-10-15,13062.6,10364.5,KG,X,EC-D1,38,2023-10
0000000150,FE-002,EC,2023-10-15,3215.4,2832.3,KG,X,EC-D1,38,2023-10
0000000151,FE-003,EC,2023-10-15,2411.6,2223.7,KG,X,EC-D1,38,2023-10
0000000152,FE-004,EC,2023-10-15,301.4,307.9,KG,X,EC-D1,38,2023-10
0000000153,FE-001,EC,2023-10-15,13722.7,12389.4,KG,X,EC-D1,39,2023-10
0000000154,FE-002,EC,2023-10-15,3377.9,3696.9,KG,X,EC-D1,39,2023-10
0000000155,FE-003,EC,2023-10-15,2533.4,2238.8,KG,X,EC-D1,39,2023-10
0000000156,FE-004,EC,2023-10-15,316.7,184.0,KG,X,EC-D1,39,2023-10
0000000157,FE-001,EC,2023-10-15,8008.3,6361.8,KG,X,EC-D2,40,2023-10
0000000158,FE-002,EC,2023-10-15,1971.3,1309.2,KG,X,EC-D2,40,2023-10
0000000159,FE-003,EC,2023-10-15,1478.5,1186.2,KG,X,EC-D2,40,2023-10
0000000160,FE-004,EC,2023-10-15,184.8,164.8,KG,X,EC-D2,40,2023-10
0000000161,FE-001,EC,2023-10-15,12028.4,8938.0,KG,X,EC-D2,41,2023-10
0000000162,FE-002,EC,2023-10-15,2960.8,2852.5,KG,X,EC-D2,41,2023-10
0000000163,FE-003,EC,2023-10-15,2220.6,2059.4,KG,X,EC-D2,41,2023-10
0000000164,FE-004,EC,2023-10-15,277.6,176.9,KG,X,EC-D2,41,2023-10
0000000165,FE-001,EC,2023-10-15,12460.5,7786.0,KG,X,EC-D2,42,2023-10
0000000166,FE-002,EC,2023-10-15,3067.2,2840.8,KG,X,EC-D2,42,2023-10
0000000167,FE-003,EC,2023-10-15,2300.4,1879.2,KG,X,EC-D2,42,2023-10
0000000168,FE-004,EC,2023-10-15,287.6,209.3,KG,X,EC-D2,42,2023-10
0000000169,FE-001,EC,2023-10-15,13053.2,10039.5,KG,X,EC-D2,43,2023-10
0000000170,FE-002,EC,2023-10-15,3213.1,2635.6,KG,X,EC-D2,43,2023-10
0000000171,FE-003,EC,2023-10-15,2409.8,2292.0,KG,X,EC-D2,43,2023-10
0000000172,FE-004,EC,2023-10-15,301.2,337.3,KG,X,EC-D2,43,2023-10
0000000173,FE-001,EC,2023-10-15,11972.6,12129.1,KG,X,EC-D2,44,2023-10
0000000174,FE-002,EC,2023-10-15,2947.1,3108.2,KG,X,EC-D2,44,2023-10
0000000175,FE-003,EC,2023-10-15,2210.3,2190.9,KG,X,EC-D2,44,2023-10
0000000176,FE-004,EC,2023-10-15,276.3,210.3,KG,X,EC-D2,44,2023-10
0000000177,FE-001,EC,2023-10-15,12795.6,7929.8,KG,X,EC-D2,45,2023-10
0000000178,FE-002,EC,2023-10-15,3149.7,2605.8,KG,X,EC-D2,45,2023-10
0000000179,FE-003,EC,2023-10-15,2362.3,2458.8,KG,X,EC-D2,45,2023-10
0000000180,FE-004,EC,2023-10-15,295.3,185.9,KG,X,EC-D2,45,2023-10
0000000181,FE-001,EC,2023-10-15,12970.7,12723.0,KG,X,EC-D2,46,2023-10
0000000182,FE-002,EC,2023-10-15,3192.8,2986.0,KG,X,EC-D2,46,2023-10
0000000183,FE-003,EC,2023-10-15,2394.6,2417.6,KG,X,EC-D2,46,2023-10
0000000184,FE-004,EC,2023-10-15,299.3,280.7,KG,X,EC-D2,46,2023-10
0000000185,FE-001,EC,2023-10-15,12543.1,13770.0,KG,X,EC-D2,47,2023-10
0000000186,FE-002,EC,2023-10-15,3087.5,2399.9,KG,X,EC-D2,47,2023-10
0000000187,FE-003,EC,2023-10-15,2315.7,1555.6,KG,X,EC-D2,47,2023-10
0000000188,FE-004,EC,2023-10-15,289.5,284.9,KG,X,EC-D2,47,2023-10
0000000189,FE-001,EC,2023-10-15,11099.9,9925.8,KG,X,EC-D2,49,2023-10
0000000190,FE-002,EC,2023-10-15,2732.3,2504.0,KG,X,EC-D2,49,2023-10
0000000191,FE-003,EC,2023-10-15,2049.2,1559.8,KG,X,EC-D2,49,2023-10
0000000192,FE-004,EC,2023-10-15,256.2,192.9,KG,X,EC-D2,49,2023-10
0000000193,FE-001,EC,2023-10-15,11776.1,7949.3,KG,X,EC-D2,50,2023-10
0000000194,FE-002,EC,2023-10-15,2898.7,1978.5,KG,X,EC-D2,50,2023-10
0000000195,FE-003,EC,2023-10-15,2174.1,1043.0,KG,X,EC-D2,50,2023-10
0000000196,FE-004,EC,2023-10-15,271.8,282.1,KG,X,EC-D2,50,2023-10
0000000197,FE-001,EC,2023-10-15,13318.9,12952.5,KG,X,EC-D2,51,2023-10
0000000198,FE-002,EC,2023-10-15,3278.5,3104.3,KG,X,EC-D2,51,2023-10
0000000199,FE-003,EC,2023-10-15,2458.9,2387.9,KG,X,EC-D2,51,2023-10
0000000200,FE-004,EC,2023-10-15,307.4,273.0,KG,X,EC-D2,51,2023-10
0000000201,FE-001,EC,2023-10-15,11931.5,11392.8,KG,X,EC-D2,52,2023-10
0000000202,FE-002,EC,2023-10-15,2937.0,2526.7,KG,X,EC-D2,52,2023-10
0000000203,FE-003,EC,2023-10-15,2202.7,2178.6,KG,X,EC-D2,52,2023-10
0000000204,FE-004,EC,2023-10-15,275.3,294.4,KG,X,EC-D2,52,2023-10
0000000205,FE-001,EC,2023-10-15,12861.0,10855.5,KG,X,EC-D2,53,2023-10
0000000206,FE-002,EC,2023-10-15,3165.8,2710.0,KG,X,EC-D2,53,2023-10
0000000207,FE-003,EC,2023-10-15,2374.3,1394.2,KG,X,EC-D2,53,2023-10
0000000208,FE-004,EC,2023-10-15,296.8,300.8,KG,X,EC-D2,53,2023-10
0000000209,FE-001,EC,2023-10-15,14015.2,15686.4,KG,X,EC-D2,54,2023-10
0000000210,FE-002,EC,2023-10-15,3449.9,2276.3,KG,X,EC-D2,54,2023-10
0000000211,FE-003,EC,2023-10-15,2587.4,2375.2,KG,X,EC-D2,54,2023-10
0000000212,FE-004,EC,2023-10-15,323.4,314.5,KG,X,EC-D2,54,2023-10
0000000213,FE-001,EC,2023-10-15,13385.4,14991.6,KG,X,EC-D2,55,2023-10
0000000214,FE-002,EC,2023-10-15,3294.9,2815.3,KG,X,EC-D2,55,2023-10
0000000215,FE-003,EC,2023-10-15,2471.2,2593.1,KG,X,EC-D2,55,2023-10
0000000216,FE-004,EC,2023-10-15,308.9,308.1,KG,X,EC-D2,55,2023-10
0000000217,FE-001,EC,2023-10-15,13836.0,12583.3,KG,X,EC-D2,56,2023-10
0000000218,FE-002,EC,2023-10-15,3405.8,2504.0,KG,X,EC-D2,56,2023-10
0000000219,FE-003,EC,2023-10-15,2554.3,2860.8,KG,X,EC-D2,56,2023-10
0000000220,FE-004,EC,2023-10-15,319.3,226.8,KG,X,EC-D2,56,2023-10
0000000221,FE-001,EC,2023-10-15,14239.6,10050.5,KG,X,EC-D2,57,2023-10
0000000222,FE-002,EC,2023-10-15,3505.1,3298.4,KG,X,EC-D2,57,2023-10
0000000223,FE-003,EC,2023-10-15,2628.9,2403.3,KG,X,EC-D2,57,2023-10
0000000224,FE-004,EC,2023-10-15,328.6,349.9,KG,X,EC-D2,57,2023-10
0000000225,FE-001,EC,2023-10-15,13400.0,12977.8,KG,X,EC-D2,58,2023-10
0000000226,FE-002,EC,2023-10-15,3298.5,3190.8,KG,X,EC-D2,58,2023-10
0000000227,FE-003,EC,2023-10-15,2473.8,2699.3,KG,X,EC-D2,58,2023-10
0000000228,FE-004,EC,2023-10-15,309.2,270.5,KG,X,EC-D2,58,2023-10
0000000229,FE-001,EC,2023-10-15,14431.4,9969.2,KG,X,EC-D2,59,2023-10
0000000230,FE-002,EC,2023-10-15,3552.3,3608.8,KG,X,EC-D2,59,2023-10
0000000231,FE-003,EC,2023-10-15,2664.3,2326.3,KG,X,EC-D2,59,2023-10
0000000232,FE-004,EC,2023-10-15,333.0,290.7,KG,X,EC-D2,59,2023-10
0000000233,FE-001,EC,2023-10-15,13524.0,10994.7,KG,X,EC-D2,60,2023-10
0000000234,FE-002,EC,2023-10-15,3329.0,3192.4,KG,X,EC-D2,60,2023-10
0000000235,FE-003,EC,2023-10-15,2496.7,1740.4,KG,X,EC-D2,60,2023-10
0000000236,FE-004,EC,2023-10-15,312.1,244.4,KG,X,EC-D2,60,2023-10
0000000237,FE-001,EC,2023-10-15,8842.2,9017.4,KG,X,EC-D2,62,2023-10
0000000238,FE-002,EC,2023-10-15,2176.5,1767.3,KG,X,EC-D2,62,2023-10
0000000239,FE-003,EC,2023-10-15,1632.4,1026.7,KG,X,EC-D2,62,2023-10
0000000240,FE-004,EC,2023-10-15,204.0,178.7,KG,X,EC-D2,62,2023-10
0000000241,FE-001,EC,2023-10-15,13960.2,14050.0,KG,X,EC-D2,63,2023-10
0000000242,FE-002,EC,2023-10-15,3436.4,3238.9,KG,X,EC-D2,63,2023-10
0000000243,FE-003,EC,2023-10-15,2577.3,2036.8,KG,X,EC-D2,63,2023-10
0000000244,FE-004,EC,2023-10-15,322.2,285.1,KG,X,EC-D2,63,2023-10
0000000245,FE-001,EC,2023-10-15,10845.7,10521.6,KG,X,EC-D2,64,2023-10
0000000246,FE-002,EC,2023-10-15,2669.7,2083.6,KG,X,EC-D2,64,2023-10
0000000247,FE-003,EC,2023-10-15,2002.3,1396.7,KG,X,EC-D2,64,2023-10
0000000248,FE-004,EC,2023-10-15,250.3,188.0,KG,X,EC-D2,64,2023-10
0000000249,FE-001,EC,2023-10-15,6695.6,6545.4,KG,X,EC-D2,65,2023-10
0000000250,FE-002,EC,2023-10-15,1648.1,1838.2,KG,X,EC-D2,65,2023-10
0000000251,FE-003,EC,2023-10-15,1236.1,1205.9,KG,X,EC-D2,65,2023-10
0000000252,FE-004,EC,2023-10-15,154.5,91.2,KG,X,EC-D2,65,2023-10
0000000253,FE-001,EC,2023-10-15,12619.8,7988.6,KG,X,EC-D2,66,2023-10
0000000254,FE-002,EC,2023-10-15,3106.4,2847.3,KG,X,EC-D2,66,2023-10
0000000255,FE-003,EC,2023-10-15,2329.8,1533.4,KG,X,EC-D2,66,2023-10
0000000256,FE-004,EC,2023-10-15,291.2,267.7,KG,X,EC-D2,66,2023-10
0000000257,FE-001,EC,2023-10-15,12194.2,12178.4,KG,X,EC-D2,67,2023-10
0000000258,FE-002,EC,2023-10-15,3001.6,3361.8,KG,X,EC-D2,67,2023-10
0000000259,FE-003,EC,2023-10-15,2251.2,2000.5,KG,X,EC-D2,67,2023-10
0000000260,FE-004,EC,2023-10-15,281.4,234.6,KG,X,EC-D2,67,2023-10
0000000261,FE-001,EC,2023-10-15,8788.8,7533.1,KG,X,EC-D2,68,2023-10
0000000262,FE-002,EC,2023-10-15,2163.4,1785.6,KG,X,EC-D2,68,2023-10
0000000263,FE-003,EC,2023-10-15,1622.6,1019.8,KG,X,EC-D2,68,2023-10
0000000264,FE-004,EC,2023-10-15,202.8,170.7,KG,X,EC-D2,68,2023-10
0000000265,FE-001,EC,2023-10-15,12837.2,9935.9,KG,X,EC-D2,69,2023-10
0000000266,FE-002,EC,2023-10-15,3159.9,2817.9,KG,X,EC-D2,69,2023-10
0000000267,FE-003,EC,2023-10-15,2369.9,1682.8,KG,X,EC-D2,69,2023-10
0000000268,FE-004,EC,2023-10-15,296.2,187.5,KG,X,EC-D2,69,2023-10
0000000269,FE-001,EC,2023-10-15,12741.5,13456.4,KG,X,EC-D2,70,2023-10
0000000270,FE-002,EC,2023-10-15,3136.4,3131.2,KG,X,EC-D2,70,2023-10
0000000271,FE-003,EC,2023-10-15,2352.3,2006.4,KG,X,EC-D2,70,2023-10
0000000272,FE-004,EC,2023-10-15,294.0,271.9,KG,X,EC-D2,70,2023-10
0000000273,FE-001,EC,2023-10-15,12381.5,5101.8,KG,X,EC-D2,71,2023-10
0000000274,FE-002,EC,2023-10-15,3047.8,2526.6,KG,X,EC-D2,71,2023-10
0000000275,FE-003,EC,2023-10-15,2285.8,1859.4,KG,X,EC-D2,71,2023-10
0000000276,FE-004,EC,2023-10-15,285.7,219.6,KG,X,EC-D2,71,2023-10
0000000277,FE-001,EC,2023-10-15,12751.4,11002.8,KG,X,EC-D2,72,2023-10
0000000278,FE-002,EC,2023-10-15,3138.8,2863.7,KG,X,EC-D2,72,2023-10
0000000279,FE-003,EC,2023-10-15,2354.1,2025.3,KG,X,EC-D2,72,2023-10
0000000280,FE-004,EC,2023-10-15,294.3,329.5,KG,X,EC-D2,72,2023-10
0000000281,FE-001,EC,2023-10-15,13292.3,13738.7,KG,X,EC-D2,73,2023-10
0000000282,FE-002,EC,2023-10-15,3272.0,3408.2,KG,X,EC-D2,73,2023-10
0000000283,FE-003,EC,2023-10-15,2454.0,1942.9,KG,X,EC-D2,73,2023-10
0000000284,FE-004,EC,2023-10-15,306.7,157.7,KG,X,EC-D2,73,2023-10
0000000285,FE-001,EC,2023-10-15,12595.3,11325.5,KG,X,EC-D2,74,2023-10
0000000286,FE-002,EC,2023-10-15,3100.4,3472.4,KG,X,EC-D2,74,2023-10
0000000287,FE-003,EC,2023-10-15,2325.3,1847.8,KG,X,EC-D2,74,2023-10
0000000288,FE-004,EC,2023-10-15,290.7,257.8,KG,X,EC-D2,74,2023-10
