# SYNTHETIC. 36 months of block-level harvest, 2022-06 to 2025-05. The 5 months flagged observed=1 are the client's REAL recorded figures. The rest are back-cast from them using REAL rainfall at the agronomic lags (sex determination 20-24 months, abortion 8-10 months), a seasonal term and an age trend. EPMS holds the real history; the export was cut to five months.
division_code,block_code,month,bunches,planted_ha,palm_age_years,observed
1,5,2024-06,1244,8.77,10.08,0
1,5,2024-07,1334,8.77,10.17,0
1,5,2024-08,1372,8.77,10.25,0
1,5,2024-09,1357,8.77,10.33,0
1,5,2024-10,1295,8.77,10.42,0
1,5,2024-11,1192,8.77,10.5,0
1,5,2024-12,1176,8.77,10.58,0
1,5,2025-01,1022,8.77,10.67,1
1,5,2025-02,1494,8.77,10.75,1
1,5,2025-03,1272,8.77,10.83,1
1,5,2025-04,2049,8.77,10.92,1
1,5,2025-05,1772,8.77,11.0,1
1,6,2022-06,1035,7.03,8.08,0
1,6,2022-07,940,7.03,8.17,0
1,6,2022-08,973,7.03,8.25,0
1,6,2022-09,993,7.03,8.33,0
1,6,2022-10,936,7.03,8.42,0
1,6,2022-11,1008,7.03,8.5,0
1,6,2022-12,881,7.03,8.58,0
1,6,2023-01,879,7.03,8.67,0
1,6,2023-02,852,7.03,8.75,0
1,6,2023-03,1072,7.03,8.83,0
1,6,2023-04,1111,7.03,8.92,0
1,6,2023-05,1039,7.03,9.0,0
1,6,2023-06,1095,7.03,9.08,0
1,6,2023-07,1180,7.03,9.17,0
1,6,2023-08,1138,7.03,9.25,0
1,6,2023-09,1023,7.03,9.33,0
1,6,2023-10,997,7.03,9.42,0
1,6,2023-11,924,7.03,9.5,0
1,6,2023-12,990,7.03,9.58,0
1,6,2024-01,900,7.03,9.67,0
1,6,2024-02,943,7.03,9.75,0
1,6,2024-03,954,7.03,9.83,0
1,6,2024-04,955,7.03,9.92,0
1,6,2024-05,1062,7.03,10.0,0
1,6,2024-06,1055,7.03,10.08,0
1,6,2024-07,1067,7.03,10.17,0
1,6,2024-08,1094,7.03,10.25,0
1,6,2024-09,1142,7.03,10.33,0
1,6,2024-10,955,7.03,10.42,0
1,6,2024-11,1077,7.03,10.5,0
1,6,2024-12,999,7.03,10.58,0
1,6,2025-01,1203,7.03,10.67,1
1,6,2025-02,1578,7.03,10.75,1
1,6,2025-03,677,7.03,10.83,1
1,6,2025-04,1515,7.03,10.92,1
1,6,2025-05,1029,7.03,11.0,1
1,7,2022-06,2803,16.14,8.08,0
1,7,2022-07,3118,16.14,8.17,0
1,7,2022-08,2905,16.14,8.25,0
1,7,2022-09,3007,16.14,8.33,0
1,7,2022-10,2745,16.14,8.42,0
1,7,2022-11,2675,16.14,8.5,0
1,7,2022-12,2402,16.14,8.58,0
1,7,2023-01,2375,16.14,8.67,0
1,7,2023-02,2545,16.14,8.75,0
1,7,2023-03,2971,16.14,8.83,0
1,7,2023-04,2994,16.14,8.92,0
1,7,2023-05,2919,16.14,9.0,0
1,7,2023-06,2981,16.14,9.08,0
1,7,2023-07,2874,16.14,9.17,0
1,7,2023-08,3344,16.14,9.25,0
1,7,2023-09,3269,16.14,9.33,0
1,7,2023-10,3047,16.14,9.42,0
1,7,2023-11,2589,16.14,9.5,0
1,7,2023-12,2536,16.14,9.58,0
1,7,2024-01,3005,16.14,9.67,0
1,7,2024-02,2834,16.14,9.75,0
1,7,2024-03,2922,16.14,9.83,0
1,7,2024-04,2936,16.14,9.92,0
1,7,2024-05,2905,16.14,10.0,0
1,7,2024-06,2854,16.14,10.08,0
1,7,2024-07,3063,16.14,10.17,0
1,7,2024-08,3363,16.14,10.25,0
1,7,2024-09,3119,16.14,10.33,0
1,7,2024-10,2723,16.14,10.42,0
1,7,2024-11,2793,16.14,10.5,0
1,7,2024-12,3132,16.14,10.58,0
1,7,2025-01,3415,16.14,10.67,1
1,7,2025-02,2960,16.14,10.75,1
1,7,2025-03,2207,16.14,10.83,1
1,7,2025-04,4263,16.14,10.92,1
1,7,2025-05,4007,16.14,11.0,1
1,8,2022-06,5251,31.62,8.08,0
1,8,2022-07,6125,31.62,8.17,0
1,8,2022-08,6161,31.62,8.25,0
1,8,2022-09,5584,31.62,8.33,0
1,8,2022-10,5032,31.62,8.42,0
1,8,2022-11,4773,31.62,8.5,0
1,8,2022-12,5593,31.62,8.58,0
1,8,2023-01,5340,31.62,8.67,0
1,8,2023-02,5101,31.62,8.75,0
1,8,2023-03,6014,31.62,8.83,0
1,8,2023-04,5385,31.62,8.92,0
1,8,2023-05,6397,31.62,9.0,0
1,8,2023-06,5483,31.62,9.08,0
1,8,2023-07,5629,31.62,9.17,0
1,8,2023-08,6198,31.62,9.25,0
1,8,2023-09,5422,31.62,9.33,0
1,8,2023-10,5372,31.62,9.42,0
1,8,2023-11,5312,31.62,9.5,0
1,8,2023-12,5076,31.62,9.58,0
1,8,2024-01,5860,31.62,9.67,0
1,8,2024-02,5497,31.62,9.75,0
1,8,2024-03,5947,31.62,9.83,0
1,8,2024-04,5570,31.62,9.92,0
1,8,2024-05,6026,31.62,10.0,0
1,8,2024-06,6297,31.62,10.08,0
1,8,2024-07,6121,31.62,10.17,0
1,8,2024-08,6100,31.62,10.25,0
1,8,2024-09,6018,31.62,10.33,0
1,8,2024-10,5697,31.62,10.42,0
1,8,2024-11,6068,31.62,10.5,0
1,8,2024-12,6023,31.62,10.58,0
1,8,2025-01,7268,31.62,10.67,1
1,8,2025-02,7467,31.62,10.75,1
1,8,2025-03,5528,31.62,10.83,1
1,8,2025-04,5508,31.62,10.92,1
1,8,2025-05,7272,31.62,11.0,1
1,9,2022-06,4817,25.87,8.08,0
1,9,2022-07,4417,25.87,8.17,0
1,9,2022-08,4470,25.87,8.25,0
1,9,2022-09,4987,25.87,8.33,0
1,9,2022-10,4508,25.87,8.42,0
1,9,2022-11,4794,25.87,8.5,0
1,9,2022-12,4715,25.87,8.58,0
1,9,2023-01,3988,25.87,8.67,0
1,9,2023-02,4529,25.87,8.75,0
1,9,2023-03,4441,25.87,8.83,0
1,9,2023-04,4379,25.87,8.92,0
1,9,2023-05,4514,25.87,9.0,0
1,9,2023-06,4726,25.87,9.08,0
1,9,2023-07,5074,25.87,9.17,0
1,9,2023-08,4597,25.87,9.25,0
1,9,2023-09,5304,25.87,9.33,0
1,9,2023-10,4573,25.87,9.42,0
1,9,2023-11,4821,25.87,9.5,0
1,9,2023-12,4117,25.87,9.58,0
1,9,2024-01,5015,25.87,9.67,0
1,9,2024-02,4975,25.87,9.75,0
1,9,2024-03,4829,25.87,9.83,0
1,9,2024-04,4397,25.87,9.92,0
1,9,2024-05,5243,25.87,10.0,0
1,9,2024-06,4633,25.87,10.08,0
1,9,2024-07,5229,25.87,10.17,0
1,9,2024-08,5203,25.87,10.25,0
1,9,2024-09,4607,25.87,10.33,0
1,9,2024-10,4467,25.87,10.42,0
1,9,2024-11,4282,25.87,10.5,0
1,9,2024-12,4739,25.87,10.58,0
1,9,2025-01,6969,25.87,10.67,1
1,9,2025-02,4586,25.87,10.75,1
1,9,2025-03,5565,25.87,10.83,1
1,9,2025-04,4551,25.87,10.92,1
1,9,2025-05,5730,25.87,11.0,1
1,10,2022-06,4878,29.71,8.08,0
1,10,2022-07,5217,29.71,8.17,0
1,10,2022-08,5546,29.71,8.25,0
1,10,2022-09,5503,29.71,8.33,0
1,10,2022-10,4946,29.71,8.42,0
1,10,2022-11,5147,29.71,8.5,0
1,10,2022-12,5148,29.71,8.58,0
1,10,2023-01,4545,29.71,8.67,0
1,10,2023-02,4384,29.71,8.75,0
1,10,2023-03,5145,29.71,8.83,0
1,10,2023-04,4776,29.71,8.92,0
1,10,2023-05,5607,29.71,9.0,0
1,10,2023-06,5462,29.71,9.08,0
1,10,2023-07,5997,29.71,9.17,0
1,10,2023-08,5113,29.71,9.25,0
1,10,2023-09,5757,29.71,9.33,0
1,10,2023-10,5300,29.71,9.42,0
1,10,2023-11,4922,29.71,9.5,0
1,10,2023-12,5087,29.71,9.58,0
1,10,2024-01,5405,29.71,9.67,0
1,10,2024-02,4713,29.71,9.75,0
1,10,2024-03,5093,29.71,9.83,0
1,10,2024-04,5321,29.71,9.92,0
1,10,2024-05,4791,29.71,10.0,0
1,10,2024-06,5984,29.71,10.08,0
1,10,2024-07,6045,29.71,10.17,0
1,10,2024-08,5379,29.71,10.25,0
1,10,2024-09,4891,29.71,10.33,0
1,10,2024-10,4703,29.71,10.42,0
1,10,2024-11,5365,29.71,10.5,0
1,10,2024-12,4715,29.71,10.58,0
1,10,2025-01,6125,29.71,10.67,1
1,10,2025-02,6420,29.71,10.75,1
1,10,2025-03,6123,29.71,10.83,1
1,10,2025-04,5752,29.71,10.92,1
1,10,2025-05,5816,29.71,11.0,1
1,11,2022-06,5179,33.14,8.08,0
1,11,2022-07,5691,33.14,8.17,0
1,11,2022-08,5727,33.14,8.25,0
1,11,2022-09,6227,33.14,8.33,0
1,11,2022-10,5451,33.14,8.42,0
1,11,2022-11,5771,33.14,8.5,0
1,11,2022-12,5120,33.14,8.58,0
1,11,2023-01,5782,33.14,8.67,0
1,11,2023-02,5748,33.14,8.75,0
1,11,2023-03,6178,33.14,8.83,0
1,11,2023-04,6396,33.14,8.92,0
1,11,2023-05,6478,33.14,9.0,0
1,11,2023-06,6946,33.14,9.08,0
1,11,2023-07,7010,33.14,9.17,0
1,11,2023-08,6926,33.14,9.25,0
1,11,2023-09,6390,33.14,9.33,0
1,11,2023-10,6501,33.14,9.42,0
1,11,2023-11,6272,33.14,9.5,0
1,11,2023-12,5302,33.14,9.58,0
1,11,2024-01,5894,33.14,9.67,0
1,11,2024-02,5813,33.14,9.75,0
1,11,2024-03,6393,33.14,9.83,0
1,11,2024-04,5673,33.14,9.92,0
1,11,2024-05,6707,33.14,10.0,0
1,11,2024-06,6509,33.14,10.08,0
1,11,2024-07,6511,33.14,10.17,0
1,11,2024-08,6658,33.14,10.25,0
1,11,2024-09,5760,33.14,10.33,0
1,11,2024-10,6522,33.14,10.42,0
1,11,2024-11,5959,33.14,10.5,0
1,11,2024-12,6094,33.14,10.58,0
1,11,2025-01,5856,33.14,10.67,1
1,11,2025-02,7358,33.14,10.75,1
1,11,2025-03,7126,33.14,10.83,1
1,11,2025-04,6487,33.14,10.92,1
1,11,2025-05,8017,33.14,11.0,1
1,12,2022-06,4648,26.2,8.08,0
1,12,2022-07,4848,26.2,8.17,0
1,12,2022-08,5271,26.2,8.25,0
1,12,2022-09,5341,26.2,8.33,0
1,12,2022-10,4615,26.2,8.42,0
1,12,2022-11,5073,26.2,8.5,0
1,12,2022-12,4715,26.2,8.58,0
1,12,2023-01,4332,26.2,8.67,0
1,12,2023-02,4808,26.2,8.75,0
1,12,2023-03,5293,26.2,8.83,0
1,12,2023-04,5726,26.2,8.92,0
1,12,2023-05,5468,26.2,9.0,0
1,12,2023-06,5283,26.2,9.08,0
1,12,2023-07,6182,26.2,9.17,0
1,12,2023-08,5996,26.2,9.25,0
1,12,2023-09,5226,26.2,9.33,0
1,12,2023-10,5454,26.2,9.42,0
1,12,2023-11,4725,26.2,9.5,0
1,12,2023-12,5577,26.2,9.58,0
1,12,2024-01,5344,26.2,9.67,0
1,12,2024-02,4758,26.2,9.75,0
1,12,2024-03,5459,26.2,9.83,0
1,12,2024-04,5229,26.2,9.92,0
1,12,2024-05,5035,26.2,10.0,0
1,12,2024-06,5196,26.2,10.08,0
1,12,2024-07,5612,26.2,10.17,0
1,12,2024-08,6037,26.2,10.25,0
1,12,2024-09,5033,26.2,10.33,0
1,12,2024-10,4967,26.2,10.42,0
1,12,2024-11,5507,26.2,10.5,0
1,12,2024-12,5108,26.2,10.58,0
1,12,2025-01,7540,26.2,10.67,1
1,12,2025-02,6149,26.2,10.75,1
1,12,2025-03,4626,26.2,10.83,1
1,12,2025-04,6272,26.2,10.92,1
1,12,2025-05,5728,26.2,11.0,1
1,13,2022-06,4623,32.1,8.08,0
1,13,2022-07,4950,32.1,8.17,0
1,13,2022-08,5293,32.1,8.25,0
1,13,2022-09,5693,32.1,8.33,0
1,13,2022-10,4820,32.1,8.42,0
1,13,2022-11,5004,32.1,8.5,0
1,13,2022-12,5265,32.1,8.58,0
1,13,2023-01,4720,32.1,8.67,0
1,13,2023-02,4418,32.1,8.75,0
1,13,2023-03,4922,32.1,8.83,0
1,13,2023-04,5547,32.1,8.92,0
1,13,2023-05,5526,32.1,9.0,0
1,13,2023-06,5590,32.1,9.08,0
1,13,2023-07,5602,32.1,9.17,0
1,13,2023-08,5523,32.1,9.25,0
1,13,2023-09,6039,32.1,9.33,0
1,13,2023-10,5669,32.1,9.42,0
1,13,2023-11,5044,32.1,9.5,0
1,13,2023-12,5410,32.1,9.58,0
1,13,2024-01,5270,32.1,9.67,0
1,13,2024-02,5127,32.1,9.75,0
1,13,2024-03,4871,32.1,9.83,0
1,13,2024-04,5046,32.1,9.92,0
1,13,2024-05,5882,32.1,10.0,0
1,13,2024-06,5407,32.1,10.08,0
1,13,2024-07,5695,32.1,10.17,0
1,13,2024-08,5930,32.1,10.25,0
1,13,2024-09,6008,32.1,10.33,0
1,13,2024-10,5349,32.1,10.42,0
1,13,2024-11,5616,32.1,10.5,0
1,13,2024-12,5748,32.1,10.58,0
1,13,2025-01,6608,32.1,10.67,1
1,13,2025-02,8095,32.1,10.75,1
1,13,2025-03,4722,32.1,10.83,1
1,13,2025-04,10081,32.1,10.92,1
1,13,2025-05,1920,32.1,11.0,1
1,14,2022-06,6399,34.23,8.08,0
1,14,2022-07,6921,34.23,8.17,0
1,14,2022-08,6060,34.23,8.25,0
1,14,2022-09,6698,34.23,8.33,0
1,14,2022-10,6686,34.23,8.42,0
1,14,2022-11,6109,34.23,8.5,0
1,14,2022-12,6091,34.23,8.58,0
1,14,2023-01,5909,34.23,8.67,0
1,14,2023-02,5628,34.23,8.75,0
1,14,2023-03,5707,34.23,8.83,0
1,14,2023-04,7058,34.23,8.92,0
1,14,2023-05,7162,34.23,9.0,0
1,14,2023-06,6754,34.23,9.08,0
1,14,2023-07,7098,34.23,9.17,0
1,14,2023-08,7359,34.23,9.25,0
1,14,2023-09,6218,34.23,9.33,0
1,14,2023-10,6735,34.23,9.42,0
1,14,2023-11,6438,34.23,9.5,0
1,14,2023-12,6305,34.23,9.58,0
1,14,2024-01,6542,34.23,9.67,0
1,14,2024-02,6659,34.23,9.75,0
1,14,2024-03,5795,34.23,9.83,0
1,14,2024-04,6065,34.23,9.92,0
1,14,2024-05,7329,34.23,10.0,0
1,14,2024-06,6608,34.23,10.08,0
1,14,2024-07,6989,34.23,10.17,0
1,14,2024-08,7452,34.23,10.25,0
1,14,2024-09,7365,34.23,10.33,0
1,14,2024-10,6297,34.23,10.42,0
1,14,2024-11,6737,34.23,10.5,0
1,14,2024-12,6795,34.23,10.58,0
1,14,2025-01,6375,34.23,10.67,1
1,14,2025-02,6429,34.23,10.75,1
1,14,2025-03,5975,34.23,10.83,1
1,14,2025-04,11782,34.23,10.92,1
1,14,2025-05,7243,34.23,11.0,1
1,15,2022-06,6264,34.0,8.08,0
1,15,2022-07,6473,34.0,8.17,0
1,15,2022-08,5718,34.0,8.25,0
1,15,2022-09,6039,34.0,8.33,0
1,15,2022-10,5976,34.0,8.42,0
1,15,2022-11,5298,34.0,8.5,0
1,15,2022-12,5995,34.0,8.58,0
1,15,2023-01,5322,34.0,8.67,0
1,15,2023-02,5321,34.0,8.75,0
1,15,2023-03,5429,34.0,8.83,0
1,15,2023-04,6035,34.0,8.92,0
1,15,2023-05,6651,34.0,9.0,0
1,15,2023-06,6757,34.0,9.08,0
1,15,2023-07,6366,34.0,9.17,0
1,15,2023-08,6666,34.0,9.25,0
1,15,2023-09,6127,34.0,9.33,0
1,15,2023-10,6498,34.0,9.42,0
1,15,2023-11,5930,34.0,9.5,0
1,15,2023-12,6195,34.0,9.58,0
1,15,2024-01,5649,34.0,9.67,0
1,15,2024-02,6109,34.0,9.75,0
1,15,2024-03,6567,34.0,9.83,0
1,15,2024-04,6083,34.0,9.92,0
1,15,2024-05,6723,34.0,10.0,0
1,15,2024-06,6856,34.0,10.08,0
1,15,2024-07,6705,34.0,10.17,0
1,15,2024-08,6481,34.0,10.25,0
1,15,2024-09,6407,34.0,10.33,0
1,15,2024-10,5586,34.0,10.42,0
1,15,2024-11,6218,34.0,10.5,0
1,15,2024-12,5728,34.0,10.58,0
1,15,2025-01,6775,34.0,10.67,1
1,15,2025-02,5575,34.0,10.75,1
1,15,2025-03,6283,34.0,10.83,1
1,15,2025-04,10847,34.0,10.92,1
1,15,2025-05,6266,34.0,11.0,1
1,16,2022-06,3461,28.34,8.08,0
1,16,2022-07,3913,28.34,8.17,0
1,16,2022-08,3784,28.34,8.25,0
1,16,2022-09,3720,28.34,8.33,0
1,16,2022-10,3646,28.34,8.42,0
1,16,2022-11,4010,28.34,8.5,0
1,16,2022-12,4123,28.34,8.58,0
1,16,2023-01,3342,28.34,8.67,0
1,16,2023-02,3766,28.34,8.75,0
1,16,2023-03,4089,28.34,8.83,0
1,16,2023-04,3768,28.34,8.92,0
1,16,2023-05,3925,28.34,9.0,0
1,16,2023-06,4599,28.34,9.08,0
1,16,2023-07,4851,28.34,9.17,0
1,16,2023-08,4335,28.34,9.25,0
1,16,2023-09,4653,28.34,9.33,0
1,16,2023-10,4195,28.34,9.42,0
1,16,2023-11,3982,28.34,9.5,0
1,16,2023-12,3867,28.34,9.58,0
1,16,2024-01,4116,28.34,9.67,0
1,16,2024-02,3663,28.34,9.75,0
1,16,2024-03,4212,28.34,9.83,0
1,16,2024-04,4334,28.34,9.92,0
1,16,2024-05,4163,28.34,10.0,0
1,16,2024-06,3940,28.34,10.08,0
1,16,2024-07,4804,28.34,10.17,0
1,16,2024-08,4769,28.34,10.25,0
1,16,2024-09,4230,28.34,10.33,0
1,16,2024-10,4338,28.34,10.42,0
1,16,2024-11,3801,28.34,10.5,0
1,16,2024-12,4336,28.34,10.58,0
1,16,2025-01,4463,28.34,10.67,1
1,16,2025-02,3060,28.34,10.75,1
1,16,2025-03,4597,28.34,10.83,1
1,16,2025-04,8933,28.34,10.92,1
1,16,2025-05,3184,28.34,11.0,1
1,17,2022-06,3550,25.17,8.08,0
1,17,2022-07,3581,25.17,8.17,0
1,17,2022-08,3702,25.17,8.25,0
1,17,2022-09,3576,25.17,8.33,0
1,17,2022-10,3506,25.17,8.42,0
1,17,2022-11,3216,25.17,8.5,0
1,17,2022-12,3360,25.17,8.58,0
1,17,2023-01,3030,25.17,8.67,0
1,17,2023-02,3421,25.17,8.75,0
1,17,2023-03,3082,25.17,8.83,0
1,17,2023-04,3381,25.17,8.92,0
1,17,2023-05,3256,25.17,9.0,0
1,17,2023-06,3576,25.17,9.08,0
1,17,2023-07,3451,25.17,9.17,0
1,17,2023-08,3839,25.17,9.25,0
1,17,2023-09,3797,25.17,9.33,0
1,17,2023-10,3739,25.17,9.42,0
1,17,2023-11,3639,25.17,9.5,0
1,17,2023-12,3634,25.17,9.58,0
1,17,2024-01,3085,25.17,9.67,0
1,17,2024-02,3671,25.17,9.75,0
1,17,2024-03,3546,25.17,9.83,0
1,17,2024-04,3556,25.17,9.92,0
1,17,2024-05,3791,25.17,10.0,0
1,17,2024-06,3789,25.17,10.08,0
1,17,2024-07,3446,25.17,10.17,0
1,17,2024-08,3705,25.17,10.25,0
1,17,2024-09,3581,25.17,10.33,0
1,17,2024-10,3332,25.17,10.42,0
1,17,2024-11,3713,25.17,10.5,0
1,17,2024-12,3682,25.17,10.58,0
1,17,2025-01,4588,25.17,10.67,1
1,17,2025-02,3188,25.17,10.75,1
1,17,2025-03,4749,25.17,10.83,1
1,17,2025-04,5521,25.17,10.92,1
1,17,2025-05,2569,25.17,11.0,1
1,18,2022-06,2544,21.28,8.08,0
1,18,2022-07,2874,21.28,8.17,0
1,18,2022-08,2711,21.28,8.25,0
1,18,2022-09,2799,21.28,8.33,0
1,18,2022-10,2642,21.28,8.42,0
1,18,2022-11,2707,21.28,8.5,0
1,18,2022-12,2670,21.28,8.58,0
1,18,2023-01,2367,21.28,8.67,0
1,18,2023-02,2626,21.28,8.75,0
1,18,2023-03,2585,21.28,8.83,0
1,18,2023-04,2515,21.28,8.92,0
