# SYNTHETIC. Dispatch orders: the plan side of the trip ledger. Planned tonnes are the harvest plan's bunches at the block's bunch weight, split across the vehicles that went; actual is what the weighbridge weighed (ec_weighbridge.csv), so the gap is harvest shortfall and shrinkage together. Stands in for the SAP PM vehicle trip plan.
order_id,date,operation,activity,division_code,block_code,crew_code,headcount_plan,headcount_actual,planned_qty,actual_qty,unit,man_days_plan,man_days_actual,status,started,finished,carried_to,driver_id,route_code
WO-2025-0101-D-015,2025-01-01,dispatch,evacuation,2,65,TR-05,2,1,4.78,4.14,tonnes,0.39,0.2,completed,08:08,09:42,,D-18,R-02
WO-2025-0101-D-016,2025-01-01,dispatch,evacuation,2,67,TR-03,2,2,6.36,6.91,tonnes,0.56,0.56,completed,10:53,14:12,,D-08/D-19,R-02
WO-2025-0101-D-017,2025-01-01,dispatch,evacuation,2,69,MI-02,4,4,9.36,7.59,tonnes,0.83,0.83,partial,09:00,15:54,,D-01/D-06/D-14/D-15,R-02
WO-2025-0101-D-018,2025-01-01,dispatch,evacuation,3,107,MI-03,4,4,9.77,9.59,tonnes,1.27,1.27,completed,07:54,16:44,,D-01/D-04/D-11,R-03
WO-2025-0101-D-019,2025-01-01,dispatch,evacuation,3,108,TR-02,3,3,10.23,9.08,tonnes,0.63,0.63,completed,07:57,12:09,,D-01/D-07/D-10,R-03
WO-2025-0101-D-020,2025-01-01,dispatch,evacuation,3,109,TR-01,2,2,6.98,5.37,tonnes,0.46,0.46,partial,08:49,13:03,,D-08/D-20,R-03
WO-2025-0101-D-021,2025-01-01,dispatch,evacuation,3,111,MI-01,4,4,7.56,7.93,tonnes,0.91,0.91,completed,07:32,12:14,,D-10/D-12/D-20,R-03
WO-2025-0101-D-022,2025-01-01,dispatch,evacuation,3,115,DU-03,2,2,7.72,7.04,tonnes,0.54,0.54,completed,07:07,14:05,,D-02/D-20,R-03
WO-2025-0101-D-023,2025-01-01,dispatch,evacuation,3,370,MI-04,1,1,1.67,1.36,tonnes,0.26,0.26,partial,12:57,15:03,,D-14,R-03
WO-2025-0101-D-024,2025-01-01,dispatch,evacuation,3,79,MI-02,3,3,5.31,5.64,tonnes,0.7,0.7,completed,11:34,15:34,,D-03/D-06/D-11,R-03
WO-2025-0101-D-025,2025-01-01,dispatch,evacuation,3,82,DU-02,1,1,1.0,0.91,tonnes,0.28,0.28,completed,10:42,12:55,,D-19,R-03
WO-2025-0101-D-026,2025-01-01,dispatch,evacuation,3,90,TR-07,3,2,9.48,8.63,tonnes,0.89,0.6,completed,11:47,14:24,,D-16/D-20,R-03
WO-2025-0101-D-027,2025-01-01,dispatch,evacuation,3,93,DU-01,1,1,6.04,6.63,tonnes,0.36,0.36,completed,13:13,16:08,,D-09,R-03
WO-2025-0101-D-028,2025-01-01,dispatch,evacuation,3,94,DU-05,1,1,6.5,6.57,tonnes,0.21,0.21,completed,13:37,15:17,,D-20,R-03
WO-2025-0101-D-029,2025-01-01,dispatch,evacuation,4,132,DU-01,3,2,14.33,11.46,tonnes,0.65,0.43,partial,10:57,14:59,,D-03/D-18,R-04
WO-2025-0101-D-030,2025-01-01,dispatch,evacuation,4,140,TR-02,3,3,11.56,10.48,tonnes,0.84,0.84,completed,07:33,16:17,,D-08/D-10/D-17,R-04
WO-2025-0101-D-031,2025-01-01,dispatch,evacuation,4,148,TR-07,3,2,9.84,8.47,tonnes,0.89,0.59,completed,08:03,12:17,,D-07/D-10,R-04
WO-2025-0101-D-032,2025-01-01,dispatch,evacuation,4,157,TR-05,4,3,16.31,11.62,tonnes,0.91,0.69,partial,09:04,14:13,,D-08/D-09/D-11,R-04
WO-2025-0101-D-033,2025-01-01,dispatch,evacuation,4,158,TR-06,3,2,10.66,7.92,tonnes,0.65,0.44,partial,09:51,15:20,,D-02/D-17,R-04
WO-2025-0101-D-034,2025-01-01,dispatch,evacuation,5,168,DU-02,2,2,9.76,9.96,tonnes,0.71,0.71,completed,12:16,16:47,,D-12/D-18,R-05
WO-2025-0101-D-035,2025-01-01,dispatch,evacuation,5,171,MI-02,5,4,11.19,9.65,tonnes,1.35,1.08,completed,07:14,14:53,,D-03/D-16/D-18/D-20,R-05
WO-2025-0101-D-036,2025-01-01,dispatch,evacuation,5,177,DU-03,2,2,11.82,11.78,tonnes,0.44,0.44,completed,07:00,14:11,,D-04/D-12,R-05
WO-2025-0101-D-037,2025-01-01,dispatch,evacuation,5,186,DU-05,2,2,12.0,11.66,tonnes,0.49,0.49,completed,10:54,16:23,,D-01/D-10,R-05
WO-2025-0101-D-038,2025-01-01,dispatch,evacuation,5,192,MI-02,2,2,3.31,3.41,tonnes,0.49,0.49,completed,09:06,16:56,,D-05/D-14,R-05
WO-2025-0101-D-039,2025-01-01,dispatch,evacuation,5,194,TR-05,2,2,6.2,6.99,tonnes,0.54,0.54,completed,08:15,17:02,,D-06/D-12,R-05
WO-2025-0101-D-040,2025-01-01,dispatch,evacuation,5,195,DU-01,2,2,9.58,8.48,tonnes,0.55,0.55,completed,10:26,12:58,,D-16/D-18,R-05
WO-2025-0101-D-041,2025-01-01,dispatch,evacuation,5,200,DU-05,1,1,6.66,6.26,tonnes,0.25,0.25,completed,10:21,12:22,,D-20,R-05
WO-2025-0101-D-042,2025-01-01,dispatch,evacuation,5,201,DU-04,2,2,9.48,8.56,tonnes,0.79,0.79,completed,12:26,16:17,,D-01/D-07,R-05
WO-2025-0101-D-043,2025-01-01,dispatch,evacuation,5,202,DU-05,2,2,11.12,9.16,tonnes,0.49,0.49,partial,10:14,16:52,,D-16/D-19,R-05
WO-2025-0101-D-044,2025-01-01,dispatch,evacuation,6,206,TR-08,2,2,8.09,7.27,tonnes,0.43,0.43,completed,09:46,12:53,,D-05/D-13,R-06
WO-2025-0101-D-045,2025-01-01,dispatch,evacuation,6,207,DU-02,2,2,11.44,9.62,tonnes,0.58,0.58,partial,08:01,13:38,,D-09/D-15,R-06
WO-2025-0101-D-046,2025-01-01,dispatch,evacuation,6,213,TR-03,4,4,15.47,13.8,tonnes,1.44,1.44,completed,09:42,16:48,,D-04/D-07/D-12/D-18,R-06
WO-2025-0101-D-047,2025-01-01,dispatch,evacuation,6,214,DU-01,2,2,7.24,8.14,tonnes,0.48,0.48,completed,07:51,15:23,,D-04/D-07,R-06
WO-2025-0101-D-048,2025-01-01,dispatch,evacuation,6,222,MI-02,6,5,12.65,10.47,tonnes,1.4,1.16,partial,08:13,16:43,,D-09/D-14/D-18/D-20,R-06
WO-2025-0101-D-049,2025-01-01,dispatch,evacuation,6,223,DU-02,2,2,9.17,8.61,tonnes,0.6,0.6,completed,08:19,11:15,,D-15/D-17,R-06
WO-2025-0101-D-050,2025-01-01,dispatch,evacuation,6,249,DU-04,2,2,11.75,9.01,tonnes,0.46,0.46,partial,10:07,14:25,,D-05/D-18,R-06
WO-2025-0101-D-051,2025-01-01,dispatch,evacuation,6,250,TR-08,2,2,6.43,6.85,tonnes,0.65,0.65,completed,12:53,16:33,,D-18/D-20,R-06
WO-2025-0101-D-052,2025-01-01,dispatch,evacuation,6,255,DU-02,2,2,7.99,8.21,tonnes,0.61,0.61,completed,07:12,13:21,,D-05/D-11,R-06
WO-2025-0101-D-053,2025-01-01,dispatch,evacuation,6,259,TR-05,3,3,12.05,10.62,tonnes,0.88,0.88,completed,07:49,16:18,,D-04/D-09/D-20,R-06
WO-2025-0101-D-054,2025-01-01,dispatch,evacuation,6,262,TR-01,4,3,14.78,11.6,tonnes,0.88,0.66,partial,11:09,13:26,,D-02/D-07/D-19,R-06
WO-2025-0101-D-055,2025-01-01,dispatch,evacuation,6,264,DU-02,1,1,6.26,5.27,tonnes,0.29,0.29,partial,10:59,13:19,,D-14,R-06
WO-2025-0101-D-056,2025-01-01,dispatch,evacuation,7,294,TR-05,2,2,5.68,5.2,tonnes,0.6,0.6,completed,12:05,16:07,,D-02/D-12,R-07
WO-2025-0101-D-057,2025-01-01,dispatch,evacuation,7,297,MI-01,4,3,8.04,7.32,tonnes,1.46,1.09,completed,09:32,15:14,,D-14/D-16/D-20,R-07
WO-2025-0101-D-058,2025-01-01,dispatch,evacuation,7,298,TR-04,2,2,8.82,7.93,tonnes,0.55,0.55,completed,07:26,16:08,,D-12/D-18,R-07
WO-2025-0101-D-059,2025-01-01,dispatch,evacuation,7,299,TR-08,2,2,7.36,6.98,tonnes,0.46,0.46,completed,13:09,16:01,,D-09/D-15,R-07
WO-2025-0101-D-060,2025-01-01,dispatch,evacuation,7,306,DU-01,3,3,16.47,17.09,tonnes,0.72,0.72,completed,08:07,12:22,,D-09/D-10/D-11,R-07
WO-2025-0101-D-061,2025-01-01,dispatch,evacuation,7,307,MI-03,4,4,7.72,8.18,tonnes,1.31,1.31,completed,09:41,17:30,,D-01/D-03/D-07/D-10,R-07
WO-2025-0101-D-062,2025-01-01,dispatch,evacuation,7,310,TR-08,3,3,12.59,12.44,tonnes,0.77,0.77,completed,07:22,14:06,,D-01/D-07/D-20,R-07
WO-2025-0101-D-063,2025-01-01,dispatch,evacuation,7,329,DU-03,1,1,5.54,6.05,tonnes,0.29,0.29,completed,11:47,14:07,,D-06,R-07
WO-2025-0101-D-064,2025-01-01,dispatch,evacuation,7,334,TR-04,2,2,7.4,7.96,tonnes,0.36,0.36,completed,13:37,15:16,,D-08/D-19,R-07
WO-2025-0101-D-065,2025-01-01,dispatch,evacuation,7,337,DU-03,2,2,8.15,7.1,tonnes,0.63,0.63,completed,10:48,16:45,,D-04/D-09,R-07
WO-2025-0101-D-066,2025-01-01,dispatch,evacuation,7,338,TR-05,3,2,9.71,6.92,tonnes,0.56,0.37,partial,07:38,15:33,,D-04/D-06,R-07
WO-2025-0101-D-067,2025-01-01,dispatch,evacuation,7,341,TR-05,2,2,7.13,5.57,tonnes,0.59,0.59,partial,08:14,15:08,,D-16/D-20,R-07
WO-2025-0101-D-068,2025-01-01,dispatch,evacuation,7,347,DU-02,3,3,14.27,15.17,tonnes,0.89,0.89,completed,09:47,16:21,,D-04/D-15/D-18,R-07
WO-2025-0102-D-001,2025-01-02,dispatch,evacuation,1,15,DU-03,2,2,9.34,8.36,tonnes,0.42,0.42,completed,11:13,13:06,,D-05/D-09,R-01
WO-2025-0102-D-002,2025-01-02,dispatch,evacuation,1,19,TR-01,2,2,5.53,5.01,tonnes,0.45,0.45,completed,08:35,16:14,,D-07/D-09,R-01
WO-2025-0102-D-003,2025-01-02,dispatch,evacuation,1,22,DU-02,2,1,7.53,6.09,tonnes,0.64,0.32,partial,13:50,16:24,,D-05,R-01
WO-2025-0102-D-004,2025-01-02,dispatch,evacuation,1,23,TR-05,2,2,7.93,6.85,tonnes,0.35,0.35,completed,10:22,13:28,,D-05/D-14,R-01
WO-2025-0102-D-005,2025-01-02,dispatch,evacuation,1,26,TR-07,2,2,6.18,6.72,tonnes,0.39,0.39,completed,07:24,11:34,,D-04/D-07,R-01
WO-2025-0102-D-006,2025-01-02,dispatch,evacuation,1,28,TR-01,2,2,7.45,6.65,tonnes,0.67,0.67,completed,10:09,15:38,,D-03,R-01
WO-2025-0102-D-007,2025-01-02,dispatch,evacuation,1,30,TR-01,1,1,4.35,4.29,tonnes,0.34,0.34,completed,10:52,13:34,,D-20,R-01
WO-2025-0102-D-008,2025-01-02,dispatch,evacuation,1,38,TR-06,2,1,5.1,4.2,tonnes,0.24,0.12,partial,14:10,15:07,,D-03,R-01
WO-2025-0102-D-009,2025-01-02,dispatch,evacuation,1,4,DU-03,1,1,3.06,3.49,tonnes,0.32,0.32,completed,12:53,15:28,,D-05,R-01
WO-2025-0102-D-010,2025-01-02,dispatch,evacuation,2,42,DU-05,2,1,7.02,6.67,tonnes,0.19,0.09,completed,11:37,12:22,,D-06,R-02
WO-2025-0102-D-011,2025-01-02,dispatch,evacuation,2,55,MI-02,4,3,7.53,6.28,tonnes,0.93,0.7,partial,09:35,14:52,,D-06/D-16/D-20,R-02
WO-2025-0102-D-012,2025-01-02,dispatch,evacuation,2,56,TR-04,3,2,9.94,8.81,tonnes,1.14,0.76,completed,09:53,17:55,,D-05/D-20,R-02
WO-2025-0102-D-013,2025-01-02,dispatch,evacuation,2,66,TR-05,3,3,11.12,9.05,tonnes,1.0,1.0,partial,07:09,16:03,,D-03/D-06/D-08,R-02
WO-2025-0102-D-014,2025-01-02,dispatch,evacuation,2,70,MI-02,4,4,8.69,7.74,tonnes,0.95,0.95,completed,07:26,14:15,,D-11/D-12/D-16/D-19,R-02
WO-2025-0102-D-015,2025-01-02,dispatch,evacuation,2,73,TR-07,2,2,5.01,5.35,tonnes,0.56,0.56,completed,12:10,15:15,,D-09/D-12,R-02
WO-2025-0102-D-016,2025-01-02,dispatch,evacuation,2,74,DU-02,2,2,9.71,9.3,tonnes,0.46,0.46,completed,09:08,13:05,,D-19/D-20,R-02
WO-2025-0102-D-017,2025-01-02,dispatch,evacuation,3,103,TR-02,2,2,5.55,5.9,tonnes,0.35,0.35,completed,14:31,16:01,,D-18/D-19,R-03
WO-2025-0102-D-018,2025-01-02,dispatch,evacuation,3,108,TR-08,3,3,9.8,8.98,tonnes,0.75,0.75,completed,07:24,14:50,,D-03/D-10/D-20,R-03
WO-2025-0102-D-019,2025-01-02,dispatch,evacuation,3,110,MI-01,6,4,13.1,9.56,tonnes,1.28,0.85,partial,07:18,14:56,,D-06/D-09/D-11/D-20,R-03
WO-2025-0102-D-020,2025-01-02,dispatch,evacuation,3,116,TR-05,2,1,4.59,4.19,tonnes,0.38,0.19,completed,08:48,10:18,,D-17,R-03
WO-2025-0102-D-021,2025-01-02,dispatch,evacuation,3,117,MI-04,2,2,3.2,2.78,tonnes,0.69,0.69,completed,09:07,15:22,,D-19/D-20,R-03
WO-2025-0102-D-022,2025-01-02,dispatch,evacuation,3,77,TR-01,4,3,14.85,11.88,tonnes,1.03,0.77,partial,10:07,14:24,,D-08/D-19/D-20,R-03
WO-2025-0102-D-023,2025-01-02,dispatch,evacuation,3,85,TR-05,2,2,7.81,7.31,tonnes,0.45,0.45,completed,10:48,14:23,,D-04/D-17,R-03
WO-2025-0102-D-024,2025-01-02,dispatch,evacuation,3,92,TR-04,2,2,7.93,7.23,tonnes,0.57,0.57,completed,11:43,14:57,,D-04/D-06,R-03
WO-2025-0102-D-025,2025-01-02,dispatch,evacuation,3,96,TR-05,3,3,12.59,11.06,tonnes,1.11,1.11,completed,13:36,17:55,,D-08/D-14/D-15,R-03
WO-2025-0102-D-026,2025-01-02,dispatch,evacuation,3,97,DU-05,2,2,9.31,8.46,tonnes,0.51,0.51,completed,12:21,16:38,,D-06/D-10,R-03
WO-2025-0102-D-027,2025-01-02,dispatch,evacuation,4,127,MI-01,1,1,1.37,1.41,tonnes,0.39,0.39,completed,13:36,16:45,,D-20,R-04
WO-2025-0102-D-028,2025-01-02,dispatch,evacuation,4,134,TR-08,3,3,12.93,13.08,tonnes,0.91,0.91,completed,12:15,15:53,,D-03/D-04/D-07,R-04
WO-2025-0102-D-029,2025-01-02,dispatch,evacuation,4,135,TR-07,3,3,12.69,12.13,tonnes,0.69,0.69,completed,09:35,12:54,,D-02/D-03/D-13,R-04
WO-2025-0102-D-030,2025-01-02,dispatch,evacuation,4,141,TR-04,4,3,14.1,12.22,tonnes,1.08,0.81,completed,08:23,17:09,,D-02/D-05/D-20,R-04
WO-2025-0102-D-031,2025-01-02,dispatch,evacuation,4,145,TR-03,3,3,10.85,11.61,tonnes,0.73,0.73,completed,09:08,13:28,,D-01/D-02/D-12,R-04
WO-2025-0102-D-032,2025-01-02,dispatch,evacuation,4,149,TR-06,3,3,12.37,10.61,tonnes,0.84,0.84,completed,10:06,17:01,,D-01/D-07/D-16,R-04
WO-2025-0102-D-033,2025-01-02,dispatch,evacuation,4,150,DU-03,3,2,15.24,12.95,tonnes,1.19,0.79,partial,12:24,17:34,,D-04/D-11,R-04
WO-2025-0102-D-034,2025-01-02,dispatch,evacuation,4,154,DU-01,1,1,4.3,2.97,tonnes,0.23,0.23,partial,08:14,10:06,,D-15,R-04
WO-2025-0102-D-035,2025-01-02,dispatch,evacuation,4,163,TR-08,3,3,11.2,9.43,tonnes,0.98,0.98,partial,10:13,17:04,,D-05/D-11/D-17,R-04
WO-2025-0102-D-036,2025-01-02,dispatch,evacuation,4,164,DU-02,1,1,6.72,6.61,tonnes,0.23,0.23,completed,08:47,10:37,,D-01,R-04
WO-2025-0102-D-037,2025-01-02,dispatch,evacuation,4,166,TR-08,2,2,7.25,6.75,tonnes,0.55,0.55,completed,10:30,15:54,,D-19,R-04
WO-2025-0102-D-038,2025-01-02,dispatch,evacuation,5,178,TR-05,4,4,15.04,13.9,tonnes,0.89,0.89,completed,07:18,16:31,,D-08/D-15/D-19/D-20,R-05
WO-2025-0102-D-039,2025-01-02,dispatch,evacuation,5,180,MI-01,5,5,10.52,10.11,tonnes,1.52,1.52,completed,09:25,16:06,,D-02/D-13/D-16/D-18,R-05
WO-2025-0102-D-040,2025-01-02,dispatch,evacuation,5,182,TR-08,3,3,10.26,11.49,tonnes,0.9,0.9,completed,08:04,11:36,,D-02/D-18/D-19,R-05
WO-2025-0102-D-041,2025-01-02,dispatch,evacuation,5,187,TR-01,4,3,14.39,12.52,tonnes,1.06,0.79,completed,07:01,16:42,,D-08/D-18/D-20,R-05
WO-2025-0102-D-042,2025-01-02,dispatch,evacuation,5,188,TR-04,3,2,9.33,7.97,tonnes,1.13,0.75,completed,07:44,15:56,,D-01/D-17,R-05
WO-2025-0102-D-043,2025-01-02,dispatch,evacuation,5,199,DU-02,2,1,8.7,6.81,tonnes,0.61,0.3,partial,14:00,16:26,,D-15,R-05
WO-2025-0102-D-044,2025-01-02,dispatch,evacuation,6,205,TR-07,2,2,6.74,6.25,tonnes,0.62,0.62,completed,10:05,15:07,,D-12/D-15,R-06
WO-2025-0102-D-045,2025-01-02,dispatch,evacuation,6,211,TR-07,3,3,9.71,9.37,tonnes,0.87,0.87,completed,07:17,11:40,,D-09/D-11/D-14,R-06
WO-2025-0102-D-046,2025-01-02,dispatch,evacuation,6,212,TR-04,2,3,8.98,9.4,tonnes,0.66,0.99,completed,11:58,16:20,,D-03/D-13/D-17,R-06
WO-2025-0102-D-047,2025-01-02,dispatch,evacuation,6,215,TR-04,3,3,12.41,12.54,tonnes,0.93,0.93,completed,07:35,14:34,,D-07/D-08/D-13,R-06
WO-2025-0102-D-048,2025-01-02,dispatch,evacuation,6,245,TR-08,2,2,8.18,7.06,tonnes,0.75,0.75,completed,11:24,14:53,,D-06/D-16,R-06
WO-2025-0102-D-049,2025-01-02,dispatch,evacuation,6,248,DU-01,1,1,6.81,5.37,tonnes,0.28,0.28,partial,14:28,16:41,,D-17,R-06
WO-2025-0102-D-050,2025-01-02,dispatch,evacuation,6,256,TR-02,2,2,6.61,4.89,tonnes,0.7,0.7,partial,10:11,13:10,,D-04/D-17,R-06
WO-2025-0102-D-051,2025-01-02,dispatch,evacuation,6,379,DU-03,2,2,7.72,8.05,tonnes,0.67,0.67,completed,12:21,17:06,,D-12,R-06
WO-2025-0102-D-052,2025-01-02,dispatch,evacuation,6,380,TR-04,3,3,11.04,10.61,tonnes,1.22,1.22,completed,09:11,18:11,,D-10/D-13/D-19,R-06
WO-2025-0102-D-053,2025-01-02,dispatch,evacuation,7,291,TR-02,3,3,10.3,8.92,tonnes,0.93,0.93,completed,10:37,17:03,,D-12/D-19/D-20,R-07
WO-2025-0102-D-054,2025-01-02,dispatch,evacuation,7,292,MI-03,6,5,13.18,9.96,tonnes,1.69,1.41,partial,07:02,13:08,,D-07/D-09/D-13/D-16,R-07
WO-2025-0102-D-055,2025-01-02,dispatch,evacuation,7,293,MI-02,4,4,9.41,9.02,tonnes,1.09,1.09,completed,07:26,16:12,,D-01/D-13/D-18,R-07
WO-2025-0102-D-056,2025-01-02,dispatch,evacuation,7,305,TR-01,3,3,12.59,10.54,tonnes,0.56,0.56,partial,08:43,15:40,,D-14/D-15/D-17,R-07
WO-2025-0102-D-057,2025-01-02,dispatch,evacuation,7,308,MI-03,4,3,8.71,6.74,tonnes,1.14,0.85,partial,07:51,15:23,,D-06/D-07/D-17,R-07
WO-2025-0102-D-058,2025-01-02,dispatch,evacuation,7,332,TR-02,5,3,18.92,12.89,tonnes,1.38,0.83,partial,07:18,15:26,,D-09/D-15/D-17,R-07
WO-2025-0102-D-059,2025-01-02,dispatch,evacuation,7,333,MI-04,4,4,9.45,8.6,tonnes,0.91,0.91,completed,09:10,16:14,,D-06/D-13/D-15,R-07
WO-2025-0102-D-060,2025-01-02,dispatch,evacuation,7,336,TR-03,3,3,12.88,12.96,tonnes,0.8,0.8,completed,13:31,16:44,,D-06/D-14/D-17,R-07
WO-2025-0102-D-061,2025-01-02,dispatch,evacuation,7,339,TR-01,2,3,8.93,9.22,tonnes,0.63,0.95,completed,08:11,14:01,,D-07/D-12/D-17,R-07
WO-2025-0102-D-062,2025-01-02,dispatch,evacuation,7,340,TR-05,3,3,13.18,11.9,tonnes,0.77,0.77,completed,08:18,15:12,,D-13/D-16/D-19,R-07
WO-2025-0102-D-063,2025-01-02,dispatch,evacuation,7,344,DU-05,2,2,13.14,10.35,tonnes,0.45,0.45,partial,07:21,09:56,,D-19/D-20,R-07
WO-2025-0103-D-001,2025-01-03,dispatch,evacuation,1,1,DU-02,1,1,1.43,1.49,tonnes,0.19,0.19,completed,07:08,08:39,,D-12,R-01
WO-2025-0103-D-002,2025-01-03,dispatch,evacuation,1,10,DU-01,2,2,9.81,7.26,tonnes,0.46,0.46,partial,10:02,13:41,,D-02/D-15,R-01
WO-2025-0103-D-003,2025-01-03,dispatch,evacuation,1,17,MI-01,2,2,4.54,4.53,tonnes,0.47,0.47,completed,10:02,12:52,,D-15/D-20,R-01
WO-2025-0103-D-004,2025-01-03,dispatch,evacuation,1,18,DU-01,1,1,3.5,3.24,tonnes,0.11,0.11,completed,09:31,10:23,,D-20,R-01
WO-2025-0103-D-005,2025-01-03,dispatch,evacuation,1,20,TR-07,1,1,4.28,4.03,tonnes,0.46,0.46,completed,12:12,15:53,,D-05,R-01
WO-2025-0103-D-006,2025-01-03,dispatch,evacuation,1,21,TR-03,2,2,7.28,6.78,tonnes,0.4,0.4,completed,10:28,14:32,,D-02/D-18,R-01
WO-2025-0103-D-007,2025-01-03,dispatch,evacuation,1,29,TR-02,2,2,8.52,7.67,tonnes,0.49,0.49,completed,07:37,10:32,,D-17/D-18,R-01
WO-2025-0103-D-008,2025-01-03,dispatch,evacuation,1,32,DU-04,1,1,4.16,4.46,tonnes,0.16,0.16,completed,10:46,12:04,,D-14,R-01
WO-2025-0103-D-009,2025-01-03,dispatch,evacuation,1,34,TR-01,2,2,7.25,6.42,tonnes,0.34,0.34,completed,09:54,14:17,,D-07/D-08,R-01
WO-2025-0103-D-010,2025-01-03,dispatch,evacuation,1,35,TR-01,3,2,9.0,6.78,tonnes,0.84,0.56,partial,07:10,15:25,,D-08/D-15,R-01
WO-2025-0103-D-011,2025-01-03,dispatch,evacuation,1,37,DU-02,1,1,5.07,4.71,tonnes,0.27,0.27,completed,11:59,14:09,,D-11,R-01
WO-2025-0103-D-012,2025-01-03,dispatch,evacuation,1,7,TR-01,1,1,4.28,3.72,tonnes,0.27,0.27,completed,09:12,11:20,,D-07,R-01
WO-2025-0103-D-013,2025-01-03,dispatch,evacuation,1,8,DU-02,2,2,10.06,8.56,tonnes,0.56,0.56,completed,09:40,16:06,,D-04/D-14,R-01
WO-2025-0103-D-014,2025-01-03,dispatch,evacuation,1,9,MI-03,3,3,6.52,5.84,tonnes,0.65,0.65,completed,08:31,14:04,,D-04/D-06/D-16,R-01
WO-2025-0103-D-015,2025-01-03,dispatch,evacuation,2,382,DU-03,1,1,6.03,6.49,tonnes,0.43,0.43,completed,12:55,16:20,,D-09,R-02
WO-2025-0103-D-016,2025-01-03,dispatch,evacuation,2,40,DU-03,2,2,12.66,11.43,tonnes,0.4,0.4,completed,10:38,12:45,,D-01/D-04,R-02
WO-2025-0103-D-017,2025-01-03,dispatch,evacuation,2,43,TR-05,2,2,6.09,5.27,tonnes,0.32,0.32,completed,11:12,13:14,,D-06/D-13,R-02
WO-2025-0103-D-018,2025-01-03,dispatch,evacuation,2,44,DU-04,1,1,5.1,5.79,tonnes,0.13,0.13,completed,09:32,10:36,,D-06,R-02
WO-2025-0103-D-019,2025-01-03,dispatch,evacuation,2,46,TR-07,2,2,7.49,8.53,tonnes,0.38,0.38,completed,07:07,09:40,,D-07/D-14,R-02
WO-2025-0103-D-020,2025-01-03,dispatch,evacuation,2,47,DU-01,2,2,7.94,7.46,tonnes,0.47,0.47,completed,08:01,13:17,,D-01/D-08,R-02
WO-2025-0103-D-021,2025-01-03,dispatch,evacuation,2,64,DU-05,1,1,6.7,6.01,tonnes,0.19,0.19,completed,13:06,14:37,,D-08,R-02
