# SYNTHETIC. Average bunch weight. Back-solved so the estate lands at 23.0 t/ha/yr (mean ~8.01 kg). The real counts imply 34-46 t/ha/yr at a normal 12-16 kg ABW, which is impossible - the OPH export likely double-counts. Ask the client.
division_code,block_code,abw_kg,palm_age_years,abw_note
2,52,8.32,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,53,8.87,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,54,8.21,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,55,8.78,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,56,8.21,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,57,8.12,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,58,8.45,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,59,8.44,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,60,8.53,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,62,7.48,7,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,63,8.55,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,64,8.21,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,65,8.51,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,66,8.62,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,67,8.41,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,68,8.64,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,69,8.3,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,70,8.63,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,71,8.7,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,72,8.65,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,73,8.41,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,74,8.8,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,382,7.53,8,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,75,7.96,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,76,8.3,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,77,8.35,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,78,8.17,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,79,8.14,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,80,8.22,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,81,8.0,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,82,7.95,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,83,8.12,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,84,8.64,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,85,8.04,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,86,7.93,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,87,8.36,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,88,8.16,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,89,8.16,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,90,8.39,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,91,8.42,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,92,7.66,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,93,8.27,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,94,8.36,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,95,8.39,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,96,8.54,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,97,8.04,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,98,8.34,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,99,7.88,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,100,8.23,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,101,8.2,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,102,8.27,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,103,7.84,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,104,8.05,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,105,8.19,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,106,8.03,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,107,8.24,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,108,8.0,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,109,8.07,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,110,8.32,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,111,8.11,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,112,8.37,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,113,7.97,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,114,7.84,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,115,8.13,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,116,7.81,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,117,7.65,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,118,7.47,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,119,7.78,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,120,7.56,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,121,7.84,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,369,8.48,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
3,370,8.15,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,122,8.01,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,123,8.31,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,124,7.87,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,125,8.61,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,126,8.18,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,127,8.67,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,128,8.61,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,129,8.55,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,130,8.58,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,131,8.29,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,132,8.3,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,133,9.13,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,134,8.55,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,135,8.46,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,136,8.16,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,137,8.18,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,138,8.36,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,139,9.05,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,140,8.81,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,141,8.54,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,142,8.46,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,143,8.76,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,144,7.84,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,145,8.12,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,146,8.5,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,147,8.14,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,148,8.39,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,149,8.2,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,150,8.58,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,151,8.18,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,152,8.57,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,153,8.55,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,154,8.19,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,155,8.78,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,156,8.34,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,157,8.11,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,158,7.7,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,159,8.95,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,160,8.29,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,163,8.21,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,164,8.15,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,165,7.84,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
4,166,8.28,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,168,8.44,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,169,7.89,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,170,7.95,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,171,8.43,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,172,8.72,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,173,7.97,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,174,8.0,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,176,8.11,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,177,8.16,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,178,8.78,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,179,8.23,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,180,8.58,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,181,7.99,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,182,9.01,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,184,8.2,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,185,7.71,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,186,7.93,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,187,7.87,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,188,8.13,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,189,8.22,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,190,8.9,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,192,8.38,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,193,8.18,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,194,8.71,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,195,8.22,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,196,8.05,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,197,8.47,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,198,8.71,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,199,8.54,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,200,8.35,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,201,7.45,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,202,8.31,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
5,373,7.38,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,203,7.49,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,204,7.91,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,205,7.91,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,206,7.96,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,207,8.04,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,208,7.25,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,209,7.5,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,210,7.82,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,211,8.36,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,212,8.26,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,213,8.14,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,214,7.65,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,215,7.78,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,216,7.76,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,222,7.72,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,223,8.13,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,230,8.09,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,245,7.53,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,246,7.52,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,247,8.08,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,248,7.52,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,249,8.01,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,250,7.56,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,251,7.67,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,252,8.14,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,253,8.73,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,254,8.31,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,255,7.53,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,256,7.54,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,257,7.55,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,258,7.6,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,259,7.7,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,260,7.95,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,261,8.01,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,262,7.81,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,263,7.75,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,264,7.39,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,265,8.05,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,266,7.87,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,267,8.09,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,268,7.44,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,269,7.99,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,270,7.81,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,271,7.95,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,272,8.07,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,379,7.75,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
6,380,8.39,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,287,7.87,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,288,8.31,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,289,7.73,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,290,7.9,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,291,7.7,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,292,8.2,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,293,7.98,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,294,8.29,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,295,9.21,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,296,8.36,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,297,7.71,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,298,8.09,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,299,8.28,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,300,7.86,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,301,8.49,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,302,7.76,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,303,7.76,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,304,8.33,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,305,8.48,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,306,8.61,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,307,7.91,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,308,7.71,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,309,7.69,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,310,7.93,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,311,7.9,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,328,8.55,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,329,8.76,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,330,8.71,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,331,8.37,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,332,8.51,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,333,9.09,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,334,8.19,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,335,8.7,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,336,8.69,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,337,8.27,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,338,8.28,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,339,8.24,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,340,8.04,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,341,8.48,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,342,8.06,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,343,7.82,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,344,8.78,10,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,345,8.46,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,346,8.22,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,347,8.11,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
7,348,8.26,9,"calibrated to 23 t/ha/yr, not an agronomic estimate"
