# SYNTHETIC. Daily attendance per crew. EPMS has t_attendance; the EC export carries none. Calibrated so the division-month rate reproduces ec_labour.csv exactly, including the Lebaran dip; Sundays and heavy-rain days sit below the month, weekdays above it.
crew_code,crew_type,division_code,date,on_roll,present,absent,absent_reason
G1-02,harvest,1,2025-01-02,26,23,3,leave
G1-03,harvest,1,2025-01-02,25,25,0,
G1-04,harvest,1,2025-01-02,26,22,4,no show
G2-01,harvest,2,2025-01-02,24,22,2,sick
G2-02,harvest,2,2025-01-02,20,17,3,sick
G2-03,harvest,2,2025-01-02,24,21,3,sick
G2-04,harvest,2,2025-01-02,25,24,1,sick
G3-01,harvest,3,2025-01-02,27,24,3,sick
G3-02,harvest,3,2025-01-02,24,24,0,
G3-03,harvest,3,2025-01-02,25,25,0,
G3-04,harvest,3,2025-01-02,24,24,0,
G4-01,harvest,4,2025-01-02,26,26,0,
G4-02,harvest,4,2025-01-02,25,25,0,
G4-03,harvest,4,2025-01-02,24,24,0,
G4-04,harvest,4,2025-01-02,20,20,0,
G5-01,harvest,5,2025-01-02,23,22,1,leave
G5-02,harvest,5,2025-01-02,27,27,0,
G5-03,harvest,5,2025-01-02,19,17,2,sick
G6-01,harvest,6,2025-01-02,24,24,0,
G6-02,harvest,6,2025-01-02,18,18,0,
G6-03,harvest,6,2025-01-02,24,21,3,no show
G6-04,harvest,6,2025-01-02,24,23,1,no show
G6-05,harvest,6,2025-01-02,21,19,2,no show
G7-01,harvest,7,2025-01-02,27,27,0,
G7-02,harvest,7,2025-01-02,21,19,2,sick
G7-03,harvest,7,2025-01-02,20,20,0,
G7-04,harvest,7,2025-01-02,27,27,0,
P1-01,pest,1,2025-01-02,11,10,1,sick
P2-01,pest,2,2025-01-02,10,8,2,sick
P3-01,pest,3,2025-01-02,11,10,1,leave
P4-01,pest,4,2025-01-02,10,9,1,sick
P5-01,pest,5,2025-01-02,10,8,2,sick
P6-01,pest,6,2025-01-02,13,11,2,leave
P7-01,pest,7,2025-01-02,13,10,3,leave
S1-01,spray,1,2025-01-02,15,14,1,sick
S2-01,spray,2,2025-01-02,14,13,1,sick
S3-01,spray,3,2025-01-02,17,14,3,no show
S4-01,spray,4,2025-01-02,16,15,1,sick
S5-01,spray,5,2025-01-02,13,13,0,
S6-01,spray,6,2025-01-02,18,14,4,no show
S7-01,spray,7,2025-01-02,17,13,4,sick
U1-01,upkeep,1,2025-01-02,19,14,5,sick
U1-02,upkeep,1,2025-01-02,19,15,4,leave
U1-03,upkeep,1,2025-01-02,19,17,2,no show
U2-01,upkeep,2,2025-01-02,18,15,3,sick
U2-02,upkeep,2,2025-01-02,18,14,4,leave
U2-03,upkeep,2,2025-01-02,18,15,3,leave
U3-01,upkeep,3,2025-01-02,16,12,4,sick
U3-02,upkeep,3,2025-01-02,16,16,0,
U3-03,upkeep,3,2025-01-02,16,13,3,sick
U3-04,upkeep,3,2025-01-02,16,13,3,leave
U4-01,upkeep,4,2025-01-02,15,15,0,
U4-02,upkeep,4,2025-01-02,15,14,1,sick
U4-03,upkeep,4,2025-01-02,15,15,0,
U4-04,upkeep,4,2025-01-02,15,15,0,
U5-01,upkeep,5,2025-01-02,16,15,1,leave
U5-02,upkeep,5,2025-01-02,16,16,0,
U5-03,upkeep,5,2025-01-02,16,15,1,no show
U6-01,upkeep,6,2025-01-02,17,14,3,sick
U6-02,upkeep,6,2025-01-02,17,17,0,
U6-03,upkeep,6,2025-01-02,17,16,1,leave
U6-04,upkeep,6,2025-01-02,17,15,2,leave
U7-01,upkeep,7,2025-01-02,15,13,2,sick
U7-02,upkeep,7,2025-01-02,15,10,5,leave
U7-03,upkeep,7,2025-01-02,15,13,2,sick
U7-04,upkeep,7,2025-01-02,15,12,3,sick
G1-01,harvest,1,2025-01-03,28,28,0,
G1-02,harvest,1,2025-01-03,26,23,3,sick
G1-03,harvest,1,2025-01-03,25,25,0,
G1-04,harvest,1,2025-01-03,26,26,0,
G2-01,harvest,2,2025-01-03,24,24,0,
G2-02,harvest,2,2025-01-03,20,20,0,
G2-03,harvest,2,2025-01-03,24,23,1,sick
G2-04,harvest,2,2025-01-03,25,23,2,no show
G3-01,harvest,3,2025-01-03,27,27,0,
G3-02,harvest,3,2025-01-03,24,24,0,
G3-03,harvest,3,2025-01-03,25,25,0,
G3-04,harvest,3,2025-01-03,24,22,2,sick
G4-01,harvest,4,2025-01-03,26,26,0,
G4-02,harvest,4,2025-01-03,25,23,2,sick
G4-03,harvest,4,2025-01-03,24,24,0,
G4-04,harvest,4,2025-01-03,20,18,2,sick
G5-01,harvest,5,2025-01-03,23,22,1,no show
G5-02,harvest,5,2025-01-03,27,25,2,sick
G5-03,harvest,5,2025-01-03,19,17,2,no show
G6-01,harvest,6,2025-01-03,24,21,3,sick
G6-02,harvest,6,2025-01-03,18,15,3,sick
G6-03,harvest,6,2025-01-03,24,24,0,
G6-04,harvest,6,2025-01-03,24,21,3,sick
G6-05,harvest,6,2025-01-03,21,18,3,sick
G7-01,harvest,7,2025-01-03,27,24,3,leave
G7-02,harvest,7,2025-01-03,21,18,3,no show
G7-03,harvest,7,2025-01-03,20,20,0,
G7-04,harvest,7,2025-01-03,27,22,5,sick
P1-01,pest,1,2025-01-03,11,7,4,sick
P2-01,pest,2,2025-01-03,10,9,1,sick
P3-01,pest,3,2025-01-03,11,10,1,leave
P4-01,pest,4,2025-01-03,10,9,1,leave
P5-01,pest,5,2025-01-03,10,10,0,
P6-01,pest,6,2025-01-03,13,8,5,sick
P7-01,pest,7,2025-01-03,13,12,1,sick
S1-01,spray,1,2025-01-03,15,12,3,leave
S2-01,spray,2,2025-01-03,14,11,3,leave
S3-01,spray,3,2025-01-03,17,16,1,leave
S4-01,spray,4,2025-01-03,16,15,1,leave
S5-01,spray,5,2025-01-03,13,12,1,sick
S6-01,spray,6,2025-01-03,18,16,2,sick
S7-01,spray,7,2025-01-03,17,13,4,no show
U1-01,upkeep,1,2025-01-03,19,14,5,sick
U1-02,upkeep,1,2025-01-03,19,17,2,no show
U1-03,upkeep,1,2025-01-03,19,14,5,leave
U2-01,upkeep,2,2025-01-03,18,17,1,sick
U2-02,upkeep,2,2025-01-03,18,17,1,leave
U2-03,upkeep,2,2025-01-03,18,16,2,sick
U3-01,upkeep,3,2025-01-03,16,13,3,leave
U3-02,upkeep,3,2025-01-03,16,15,1,sick
U3-03,upkeep,3,2025-01-03,16,14,2,sick
U3-04,upkeep,3,2025-01-03,16,14,2,sick
U4-01,upkeep,4,2025-01-03,15,15,0,
U4-02,upkeep,4,2025-01-03,15,15,0,
U4-03,upkeep,4,2025-01-03,15,15,0,
U4-04,upkeep,4,2025-01-03,15,15,0,
U5-01,upkeep,5,2025-01-03,16,15,1,no show
U5-02,upkeep,5,2025-01-03,16,15,1,leave
U5-03,upkeep,5,2025-01-03,16,15,1,leave
U6-01,upkeep,6,2025-01-03,17,16,1,no show
U6-02,upkeep,6,2025-01-03,17,16,1,no show
U6-03,upkeep,6,2025-01-03,17,12,5,leave
U6-04,upkeep,6,2025-01-03,17,15,2,no show
U7-01,upkeep,7,2025-01-03,15,11,4,leave
U7-02,upkeep,7,2025-01-03,15,12,3,leave
U7-03,upkeep,7,2025-01-03,15,12,3,sick
U7-04,upkeep,7,2025-01-03,15,11,4,sick
G1-01,harvest,1,2025-01-04,28,21,7,leave
G1-02,harvest,1,2025-01-04,26,26,0,
G1-03,harvest,1,2025-01-04,25,25,0,
G1-04,harvest,1,2025-01-04,26,21,5,no show
G2-01,harvest,2,2025-01-04,24,23,1,sick
G2-02,harvest,2,2025-01-04,20,20,0,
G2-03,harvest,2,2025-01-04,24,23,1,no show
G2-04,harvest,2,2025-01-04,25,23,2,leave
G3-01,harvest,3,2025-01-04,27,22,5,sick
G3-02,harvest,3,2025-01-04,24,22,2,sick
G3-03,harvest,3,2025-01-04,25,22,3,leave
G3-04,harvest,3,2025-01-04,24,24,0,
G4-01,harvest,4,2025-01-04,26,25,1,leave
G4-02,harvest,4,2025-01-04,25,25,0,
G4-03,harvest,4,2025-01-04,24,24,0,
G4-04,harvest,4,2025-01-04,20,19,1,no show
G5-01,harvest,5,2025-01-04,23,23,0,
G5-02,harvest,5,2025-01-04,27,24,3,leave
G5-03,harvest,5,2025-01-04,19,19,0,
G6-01,harvest,6,2025-01-04,24,19,5,no show
G6-02,harvest,6,2025-01-04,18,17,1,sick
G6-03,harvest,6,2025-01-04,24,21,3,sick
G6-04,harvest,6,2025-01-04,24,21,3,leave
G6-05,harvest,6,2025-01-04,21,20,1,sick
G7-01,harvest,7,2025-01-04,27,27,0,
G7-02,harvest,7,2025-01-04,21,16,5,leave
G7-03,harvest,7,2025-01-04,20,14,6,no show
G7-04,harvest,7,2025-01-04,27,25,2,no show
P1-01,pest,1,2025-01-04,11,10,1,leave
P2-01,pest,2,2025-01-04,10,8,2,leave
P3-01,pest,3,2025-01-04,11,9,2,no show
P4-01,pest,4,2025-01-04,10,10,0,
P5-01,pest,5,2025-01-04,10,9,1,sick
P6-01,pest,6,2025-01-04,13,11,2,sick
P7-01,pest,7,2025-01-04,13,10,3,sick
S1-01,spray,1,2025-01-04,15,11,4,sick
S2-01,spray,2,2025-01-04,14,12,2,leave
S3-01,spray,3,2025-01-04,17,14,3,sick
S4-01,spray,4,2025-01-04,16,16,0,
S5-01,spray,5,2025-01-04,13,12,1,leave
S6-01,spray,6,2025-01-04,18,14,4,no show
S7-01,spray,7,2025-01-04,17,16,1,sick
U1-01,upkeep,1,2025-01-04,19,15,4,sick
U1-02,upkeep,1,2025-01-04,19,17,2,leave
U1-03,upkeep,1,2025-01-04,19,16,3,sick
U2-01,upkeep,2,2025-01-04,18,14,4,leave
U2-02,upkeep,2,2025-01-04,18,17,1,sick
U2-03,upkeep,2,2025-01-04,18,14,4,sick
U3-01,upkeep,3,2025-01-04,16,12,4,no show
U3-02,upkeep,3,2025-01-04,16,14,2,sick
U3-03,upkeep,3,2025-01-04,16,12,4,leave
U3-04,upkeep,3,2025-01-04,16,13,3,sick
U4-01,upkeep,4,2025-01-04,15,15,0,
U4-02,upkeep,4,2025-01-04,15,14,1,leave
U4-03,upkeep,4,2025-01-04,15,14,1,leave
U4-04,upkeep,4,2025-01-04,15,14,1,no show
U5-01,upkeep,5,2025-01-04,16,15,1,sick
U5-02,upkeep,5,2025-01-04,16,16,0,
U5-03,upkeep,5,2025-01-04,16,14,2,sick
U6-01,upkeep,6,2025-01-04,17,16,1,sick
U6-02,upkeep,6,2025-01-04,17,15,2,leave
U6-03,upkeep,6,2025-01-04,17,15,2,sick
U6-04,upkeep,6,2025-01-04,17,14,3,no show
U7-01,upkeep,7,2025-01-04,15,14,1,sick
U7-02,upkeep,7,2025-01-04,15,11,4,sick
U7-03,upkeep,7,2025-01-04,15,12,3,sick
U7-04,upkeep,7,2025-01-04,15,11,4,no show
G1-01,harvest,1,2025-01-05,28,14,14,rest day
G1-02,harvest,1,2025-01-05,26,13,13,rest day
G1-03,harvest,1,2025-01-05,25,11,14,rest day
G1-04,harvest,1,2025-01-05,26,14,12,rest day
G2-01,harvest,2,2025-01-05,24,12,12,rest day
G2-02,harvest,2,2025-01-05,20,11,9,rest day
G2-03,harvest,2,2025-01-05,24,13,11,rest day
G2-04,harvest,2,2025-01-05,25,15,10,rest day
G3-01,harvest,3,2025-01-05,27,14,13,rest day
G3-02,harvest,3,2025-01-05,24,18,6,rest day
G3-03,harvest,3,2025-01-05,25,17,8,rest day
G3-04,harvest,3,2025-01-05,24,13,11,rest day
G4-01,harvest,4,2025-01-05,26,16,10,rest day
G4-02,harvest,4,2025-01-05,25,25,0,
G4-03,harvest,4,2025-01-05,24,12,12,rest day
G4-04,harvest,4,2025-01-05,20,12,8,rest day
G5-01,harvest,5,2025-01-05,23,18,5,rest day
G5-02,harvest,5,2025-01-05,27,17,10,rest day
G5-03,harvest,5,2025-01-05,19,10,9,rest day
G6-01,harvest,6,2025-01-05,24,17,7,rest day
G6-02,harvest,6,2025-01-05,18,18,0,
G6-03,harvest,6,2025-01-05,24,18,6,rest day
G6-04,harvest,6,2025-01-05,24,18,6,rest day
G6-05,harvest,6,2025-01-05,21,11,10,rest day
G7-01,harvest,7,2025-01-05,27,16,11,rest day
G7-02,harvest,7,2025-01-05,21,11,10,rest day
G7-03,harvest,7,2025-01-05,20,12,8,rest day
G7-04,harvest,7,2025-01-05,27,27,0,
P1-01,pest,1,2025-01-05,11,4,7,rest day
P2-01,pest,2,2025-01-05,10,6,4,rest day
P3-01,pest,3,2025-01-05,11,5,6,rest day
P4-01,pest,4,2025-01-05,10,7,3,rest day
P5-01,pest,5,2025-01-05,10,6,4,rest day
P6-01,pest,6,2025-01-05,13,6,7,rest day
P7-01,pest,7,2025-01-05,13,7,6,rest day
S1-01,spray,1,2025-01-05,15,7,8,rest day
S2-01,spray,2,2025-01-05,14,8,6,rest day
S3-01,spray,3,2025-01-05,17,10,7,rest day
S4-01,spray,4,2025-01-05,16,10,6,rest day
S5-01,spray,5,2025-01-05,13,6,7,rest day
S6-01,spray,6,2025-01-05,18,9,9,rest day
S7-01,spray,7,2025-01-05,17,7,10,rest day
U1-01,upkeep,1,2025-01-05,19,11,8,rest day
U1-02,upkeep,1,2025-01-05,19,11,8,rest day
U1-03,upkeep,1,2025-01-05,19,10,9,rest day
U2-01,upkeep,2,2025-01-05,18,7,11,rest day
U2-02,upkeep,2,2025-01-05,18,9,9,rest day
U2-03,upkeep,2,2025-01-05,18,10,8,rest day
U3-01,upkeep,3,2025-01-05,16,9,7,rest day
U3-02,upkeep,3,2025-01-05,16,8,8,rest day
U3-03,upkeep,3,2025-01-05,16,9,7,rest day
U3-04,upkeep,3,2025-01-05,16,10,6,rest day
U4-01,upkeep,4,2025-01-05,15,9,6,rest day
U4-02,upkeep,4,2025-01-05,15,9,6,rest day
U4-03,upkeep,4,2025-01-05,15,9,6,rest day
U4-04,upkeep,4,2025-01-05,15,10,5,rest day
U5-01,upkeep,5,2025-01-05,16,9,7,rest day
U5-02,upkeep,5,2025-01-05,16,9,7,rest day
U5-03,upkeep,5,2025-01-05,16,9,7,rest day
U6-01,upkeep,6,2025-01-05,17,10,7,rest day
U6-02,upkeep,6,2025-01-05,17,9,8,rest day
U6-03,upkeep,6,2025-01-05,17,9,8,rest day
U6-04,upkeep,6,2025-01-05,17,10,7,rest day
U7-01,upkeep,7,2025-01-05,15,7,8,rest day
U7-02,upkeep,7,2025-01-05,15,5,10,rest day
U7-03,upkeep,7,2025-01-05,15,7,8,rest day
U7-04,upkeep,7,2025-01-05,15,7,8,rest day
G1-01,harvest,1,2025-01-06,28,22,6,sick
G1-02,harvest,1,2025-01-06,26,26,0,
G1-03,harvest,1,2025-01-06,25,25,0,
G1-04,harvest,1,2025-01-06,26,21,5,sick
G2-01,harvest,2,2025-01-06,24,24,0,
G2-02,harvest,2,2025-01-06,20,20,0,
G2-03,harvest,2,2025-01-06,24,22,2,leave
G2-04,harvest,2,2025-01-06,25,23,2,leave
G3-01,harvest,3,2025-01-06,27,24,3,leave
G3-02,harvest,3,2025-01-06,24,22,2,sick
G3-03,harvest,3,2025-01-06,25,25,0,
G3-04,harvest,3,2025-01-06,24,23,1,leave
G4-01,harvest,4,2025-01-06,26,25,1,leave
G4-02,harvest,4,2025-01-06,25,25,0,
G4-03,harvest,4,2025-01-06,24,22,2,sick
G4-04,harvest,4,2025-01-06,20,20,0,
G5-01,harvest,5,2025-01-06,23,23,0,
G5-02,harvest,5,2025-01-06,27,25,2,leave
G5-03,harvest,5,2025-01-06,19,19,0,
G6-01,harvest,6,2025-01-06,24,22,2,sick
G6-02,harvest,6,2025-01-06,18,15,3,leave
G6-03,harvest,6,2025-01-06,24,21,3,sick
G6-04,harvest,6,2025-01-06,24,21,3,sick
G6-05,harvest,6,2025-01-06,21,18,3,sick
G7-01,harvest,7,2025-01-06,27,24,3,leave
G7-02,harvest,7,2025-01-06,21,18,3,sick
G7-03,harvest,7,2025-01-06,20,17,3,no show
G7-04,harvest,7,2025-01-06,27,24,3,no show
P1-01,pest,1,2025-01-06,11,10,1,no show
P2-01,pest,2,2025-01-06,10,8,2,leave
P3-01,pest,3,2025-01-06,11,9,2,leave
P4-01,pest,4,2025-01-06,10,9,1,no show
P5-01,pest,5,2025-01-06,10,10,0,
P6-01,pest,6,2025-01-06,13,12,1,sick
P7-01,pest,7,2025-01-06,13,10,3,sick
S1-01,spray,1,2025-01-06,15,11,4,leave
S2-01,spray,2,2025-01-06,14,12,2,leave
S3-01,spray,3,2025-01-06,17,16,1,leave
S4-01,spray,4,2025-01-06,16,16,0,
S5-01,spray,5,2025-01-06,13,12,1,sick
S6-01,spray,6,2025-01-06,18,16,2,no show
S7-01,spray,7,2025-01-06,17,14,3,sick
U1-01,upkeep,1,2025-01-06,19,16,3,sick
U1-02,upkeep,1,2025-01-06,19,16,3,sick
U1-03,upkeep,1,2025-01-06,19,17,2,sick
U2-01,upkeep,2,2025-01-06,18,17,1,sick
U2-02,upkeep,2,2025-01-06,18,17,1,no show
U2-03,upkeep,2,2025-01-06,18,15,3,sick
U3-01,upkeep,3,2025-01-06,16,15,1,no show
U3-02,upkeep,3,2025-01-06,16,13,3,leave
U3-03,upkeep,3,2025-01-06,16,13,3,sick
U3-04,upkeep,3,2025-01-06,16,14,2,leave
U4-01,upkeep,4,2025-01-06,15,14,1,sick
U4-02,upkeep,4,2025-01-06,15,15,0,
U4-03,upkeep,4,2025-01-06,15,14,1,leave
U4-04,upkeep,4,2025-01-06,15,12,3,leave
U5-01,upkeep,5,2025-01-06,16,15,1,leave
U5-02,upkeep,5,2025-01-06,16,14,2,leave
U5-03,upkeep,5,2025-01-06,16,16,0,
U6-01,upkeep,6,2025-01-06,17,16,1,sick
U6-02,upkeep,6,2025-01-06,17,16,1,sick
U6-03,upkeep,6,2025-01-06,17,16,1,leave
U6-04,upkeep,6,2025-01-06,17,12,5,no show
U7-01,upkeep,7,2025-01-06,15,14,1,sick
U7-02,upkeep,7,2025-01-06,15,11,4,sick
U7-03,upkeep,7,2025-01-06,15,13,2,leave
U7-04,upkeep,7,2025-01-06,15,11,4,leave
G1-01,harvest,1,2025-01-07,28,28,0,
G1-02,harvest,1,2025-01-07,26,22,4,sick
G1-03,harvest,1,2025-01-07,25,22,3,sick
G1-04,harvest,1,2025-01-07,26,22,4,sick
G2-01,harvest,2,2025-01-07,24,21,3,sick
G2-02,harvest,2,2025-01-07,20,18,2,leave
G2-03,harvest,2,2025-01-07,24,24,0,
G2-04,harvest,2,2025-01-07,25,22,3,leave
G3-01,harvest,3,2025-01-07,27,27,0,
G3-02,harvest,3,2025-01-07,24,24,0,
G3-03,harvest,3,2025-01-07,25,20,5,sick
G3-04,harvest,3,2025-01-07,24,23,1,sick
G4-01,harvest,4,2025-01-07,26,26,0,
G4-02,harvest,4,2025-01-07,25,23,2,no show
G4-03,harvest,4,2025-01-07,24,24,0,
G4-04,harvest,4,2025-01-07,20,19,1,leave
G5-01,harvest,5,2025-01-07,23,23,0,
G5-02,harvest,5,2025-01-07,27,26,1,no show
G5-03,harvest,5,2025-01-07,19,17,2,leave
G6-01,harvest,6,2025-01-07,24,22,2,no show
G6-02,harvest,6,2025-01-07,18,18,0,
G6-03,harvest,6,2025-01-07,24,20,4,sick
G6-04,harvest,6,2025-01-07,24,21,3,leave
G6-05,harvest,6,2025-01-07,21,18,3,no show
G7-01,harvest,7,2025-01-07,27,23,4,sick
G7-02,harvest,7,2025-01-07,21,21,0,
G7-03,harvest,7,2025-01-07,20,20,0,
G7-04,harvest,7,2025-01-07,27,21,6,no show
P1-01,pest,1,2025-01-07,11,8,3,sick
P2-01,pest,2,2025-01-07,10,7,3,sick
P3-01,pest,3,2025-01-07,11,9,2,sick
P4-01,pest,4,2025-01-07,10,10,0,
P5-01,pest,5,2025-01-07,10,9,1,no show
P6-01,pest,6,2025-01-07,13,10,3,leave
P7-01,pest,7,2025-01-07,13,10,3,sick
S1-01,spray,1,2025-01-07,15,13,2,sick
S2-01,spray,2,2025-01-07,14,12,2,no show
S3-01,spray,3,2025-01-07,17,13,4,sick
S4-01,spray,4,2025-01-07,16,15,1,sick
S5-01,spray,5,2025-01-07,13,11,2,sick
S6-01,spray,6,2025-01-07,18,15,3,sick
S7-01,spray,7,2025-01-07,17,15,2,sick
U1-01,upkeep,1,2025-01-07,19,17,2,sick
U1-02,upkeep,1,2025-01-07,19,16,3,no show
U1-03,upkeep,1,2025-01-07,19,18,1,no show
U2-01,upkeep,2,2025-01-07,18,17,1,no show
U2-02,upkeep,2,2025-01-07,18,17,1,no show
U2-03,upkeep,2,2025-01-07,18,15,3,sick
U3-01,upkeep,3,2025-01-07,16,15,1,no show
U3-02,upkeep,3,2025-01-07,16,13,3,no show
U3-03,upkeep,3,2025-01-07,16,14,2,sick
U3-04,upkeep,3,2025-01-07,16,15,1,no show
U4-01,upkeep,4,2025-01-07,15,14,1,leave
U4-02,upkeep,4,2025-01-07,15,15,0,
U4-03,upkeep,4,2025-01-07,15,15,0,
U4-04,upkeep,4,2025-01-07,15,14,1,no show
U5-01,upkeep,5,2025-01-07,16,14,2,leave
U5-02,upkeep,5,2025-01-07,16,15,1,leave
U5-03,upkeep,5,2025-01-07,16,15,1,leave
U6-01,upkeep,6,2025-01-07,17,15,2,sick
U6-02,upkeep,6,2025-01-07,17,17,0,
U6-03,upkeep,6,2025-01-07,17,13,4,sick
U6-04,upkeep,6,2025-01-07,17,13,4,sick
U7-01,upkeep,7,2025-01-07,15,15,0,
U7-02,upkeep,7,2025-01-07,15,14,1,leave
U7-03,upkeep,7,2025-01-07,15,13,2,no show
U7-04,upkeep,7,2025-01-07,15,14,1,no show
G1-01,harvest,1,2025-01-08,28,25,3,rain
G1-02,harvest,1,2025-01-08,26,22,4,rain
G1-03,harvest,1,2025-01-08,25,25,0,
G1-04,harvest,1,2025-01-08,26,20,6,rain
G2-01,harvest,2,2025-01-08,24,24,0,
G2-02,harvest,2,2025-01-08,20,17,3,rain
G2-03,harvest,2,2025-01-08,24,17,7,rain
G2-04,harvest,2,2025-01-08,25,24,1,rain
G3-01,harvest,3,2025-01-08,27,23,4,rain
G3-02,harvest,3,2025-01-08,24,19,5,rain
G3-03,harvest,3,2025-01-08,25,25,0,
G3-04,harvest,3,2025-01-08,24,19,5,rain
G4-01,harvest,4,2025-01-08,26,22,4,rain
G4-02,harvest,4,2025-01-08,25,25,0,
G4-03,harvest,4,2025-01-08,24,24,0,
G4-04,harvest,4,2025-01-08,20,16,4,rain
G5-01,harvest,5,2025-01-08,23,21,2,rain
G5-02,harvest,5,2025-01-08,27,22,5,rain
G5-03,harvest,5,2025-01-08,19,17,2,rain
G6-01,harvest,6,2025-01-08,24,24,0,
G6-02,harvest,6,2025-01-08,18,18,0,
G6-03,harvest,6,2025-01-08,24,18,6,rain
G6-04,harvest,6,2025-01-08,24,20,4,rain
G6-05,harvest,6,2025-01-08,21,21,0,
G7-01,harvest,7,2025-01-08,27,27,0,
G7-02,harvest,7,2025-01-08,21,17,4,rain
G7-03,harvest,7,2025-01-08,20,14,6,rain
G7-04,harvest,7,2025-01-08,27,27,0,
P1-01,pest,1,2025-01-08,11,8,3,rain
P2-01,pest,2,2025-01-08,10,9,1,rain
P3-01,pest,3,2025-01-08,11,7,4,rain
P4-01,pest,4,2025-01-08,10,9,1,rain
P5-01,pest,5,2025-01-08,10,9,1,rain
P6-01,pest,6,2025-01-08,13,10,3,rain
P7-01,pest,7,2025-01-08,13,10,3,rain
S1-01,spray,1,2025-01-08,15,13,2,rain
S2-01,spray,2,2025-01-08,14,10,4,rain
S3-01,spray,3,2025-01-08,17,13,4,rain
S4-01,spray,4,2025-01-08,16,14,2,rain
S5-01,spray,5,2025-01-08,13,11,2,rain
S6-01,spray,6,2025-01-08,18,14,4,rain
S7-01,spray,7,2025-01-08,17,12,5,rain
