# SYNTHETIC. Estate road segments with condition and grading history. SAP PM holds the work orders; the export carries none. Segment geometry follows the longest edge of each real block polygon.
segment_id,division_code,block_code,lon_a,lat_a,lon_b,lat_b,length_km,condition,condition_score,last_graded,days_since_graded,culvert_repairs_12m
RS-0042,2,42,140.867684,-7.043081,140.869146,-7.043105,0.163,fair,0.418,2024-09-07,258,0
RS-0043,2,43,140.869146,-7.043105,140.867684,-7.043081,0.163,good,0.221,2024-10-21,214,0
RS-0044,2,44,140.867974,-7.045888,140.866752,-7.045881,0.136,fair,0.322,2025-03-15,69,0
RS-0045,2,45,140.862283,-7.049578,140.862276,-7.050957,0.153,poor,0.511,2024-10-13,222,3
RS-0046,2,46,140.863669,-7.054191,140.864973,-7.054225,0.145,good,0.212,2024-09-19,246,0
RS-0047,2,47,140.864973,-7.054225,140.863669,-7.054191,0.145,fair,0.406,2024-10-20,215,0
RS-0048,2,49,140.87332,-7.037433,140.872069,-7.037418,0.139,fair,0.263,2024-10-17,218,0
RS-0049,2,50,140.875743,-7.043266,140.874478,-7.043242,0.141,fair,0.416,2024-10-29,206,0
RS-0050,2,51,140.880247,-7.045837,140.879109,-7.045836,0.127,fair,0.444,2025-04-04,49,0
RS-0051,2,52,140.874985,-7.048597,140.873907,-7.048597,0.12,fair,0.35,2024-05-05,383,0
RS-0052,2,53,140.880489,-7.052909,140.88049,-7.051846,0.118,fair,0.456,2024-11-13,191,0
RS-0053,2,54,140.874961,-7.057143,140.87624,-7.057126,0.142,fair,0.47,2024-02-15,463,0
RS-0054,2,55,140.87624,-7.057126,140.874961,-7.057143,0.142,fair,0.289,2025-01-20,123,0
RS-0055,2,56,140.880469,-7.060874,140.880456,-7.059906,0.108,fair,0.28,2024-06-03,354,0
RS-0056,2,57,140.877505,-7.065535,140.87906,-7.065535,0.173,fair,0.262,2025-03-28,56,0
RS-0057,2,58,140.87906,-7.065535,140.877505,-7.065535,0.173,fair,0.347,2025-05-12,11,0
RS-0058,2,59,140.878016,-7.071342,140.879444,-7.071371,0.159,good,0.238,2025-05-18,5,0
RS-0059,2,60,140.871247,-7.071368,140.871238,-7.073441,0.231,good,0.212,2024-08-17,279,0
RS-0060,2,62,140.885689,-7.040369,140.887005,-7.040383,0.147,poor,0.642,2024-08-05,291,1
RS-0061,2,63,140.887005,-7.040383,140.885689,-7.040369,0.147,fair,0.44,2024-10-16,219,0
RS-0062,2,64,140.887193,-7.045786,140.888346,-7.045786,0.128,fair,0.355,2024-11-02,202,0
RS-0063,2,65,140.888346,-7.045786,140.887193,-7.045786,0.128,fair,0.457,2024-12-04,170,0
RS-0064,2,66,140.883759,-7.04863,140.882675,-7.048629,0.121,fair,0.378,2024-02-02,476,0
RS-0065,2,67,140.88049,-7.051846,140.880489,-7.052909,0.118,fair,0.388,2024-12-19,155,0
RS-0066,2,68,140.88235,-7.057085,140.88368,-7.057096,0.148,good,0.22,2024-12-01,173,0
RS-0067,2,69,140.88368,-7.057096,140.88235,-7.057085,0.148,fair,0.321,2025-01-26,117,0
RS-0068,2,70,140.8877,-7.059908,140.886536,-7.059912,0.13,fair,0.471,2024-09-28,237,0
RS-0069,2,71,140.881923,-7.065535,140.883414,-7.065526,0.166,fair,0.314,2025-02-27,85,0
RS-0070,2,72,140.883414,-7.065526,140.881923,-7.065535,0.166,poor,0.527,2024-12-11,163,0
RS-0071,2,73,140.885473,-7.071327,140.888212,-7.071306,0.305,fair,0.437,2024-12-18,156,0
RS-0072,2,74,140.888212,-7.071306,140.885473,-7.071327,0.305,fair,0.31,2024-04-14,404,0
RS-0073,2,382,140.880515,-7.042676,140.88054,-7.041387,0.144,fair,0.359,2025-01-07,136,0
RS-0074,3,75,140.825104,-7.012168,140.825092,-7.013817,0.184,fair,0.373,2024-04-17,401,0
RS-0075,3,76,140.829079,-7.017708,140.830642,-7.017767,0.174,good,0.136,2024-09-15,250,0
RS-0076,3,77,140.830642,-7.017767,140.829079,-7.017708,0.174,fair,0.343,2025-01-29,114,0
RS-0077,3,78,140.830133,-7.020544,140.828734,-7.020532,0.156,poor,0.562,2024-09-12,253,0
RS-0078,3,79,140.832113,-7.026595,140.833074,-7.026596,0.107,fair,0.302,2024-10-25,210,0
RS-0079,3,80,140.83418,-7.028315,140.834106,-7.02726,0.118,fair,0.338,2024-01-13,496,0
RS-0080,3,81,140.832691,-7.029232,140.832081,-7.029255,0.068,poor,0.549,2024-06-01,356,0
RS-0081,3,82,140.834406,-7.034593,140.834392,-7.033813,0.087,fair,0.44,2024-12-13,161,0
RS-0082,3,83,140.837241,-7.015445,140.838463,-7.015467,0.136,fair,0.404,2024-12-11,163,0
RS-0083,3,84,140.843812,-7.016885,140.843842,-7.015422,0.163,good,0.188,2025-02-01,111,0
RS-0084,3,85,140.841416,-7.020706,140.842681,-7.020725,0.141,fair,0.484,2024-05-29,359,0
RS-0085,3,86,140.842681,-7.020725,140.841416,-7.020706,0.141,good,0.209,2025-02-11,101,0
RS-0086,3,87,140.843616,-7.025409,140.843616,-7.024601,0.09,poor,0.568,2024-12-06,168,0
RS-0087,3,88,140.834106,-7.02726,140.83418,-7.028315,0.118,fair,0.309,2025-04-01,52,0
RS-0088,3,89,140.840163,-7.03204,140.841294,-7.03204,0.126,fair,0.452,2024-11-10,194,0
RS-0089,3,90,140.841294,-7.03204,140.840163,-7.03204,0.126,good,0.182,2025-01-31,112,0
RS-0090,3,91,140.839492,-7.034852,140.838826,-7.034826,0.074,good,0.149,2025-02-24,88,0
RS-0091,3,92,140.848161,-7.015237,140.849449,-7.015153,0.144,poor,0.563,2024-11-15,189,2
RS-0092,3,93,140.845235,-7.018575,140.847281,-7.018575,0.228,fair,0.446,2024-09-07,258,0
RS-0093,3,94,140.847281,-7.018575,140.845235,-7.018575,0.228,fair,0.4,2024-08-02,294,0
RS-0094,3,95,140.848607,-7.020831,140.847751,-7.020777,0.095,fair,0.392,2024-06-18,339,0
RS-0095,3,96,140.852831,-7.025741,140.852914,-7.024798,0.105,fair,0.323,2024-10-09,226,0
RS-0096,3,97,140.849579,-7.026776,140.848636,-7.026794,0.105,poor,0.577,2025-01-15,128,2
RS-0097,3,98,140.852792,-7.030843,140.852793,-7.02969,0.128,fair,0.436,2023-10-09,592,0
RS-0098,3,99,140.847908,-7.031884,140.847247,-7.031855,0.074,fair,0.362,2024-11-03,201,0
RS-0099,3,100,140.862672,-7.013309,140.86271,-7.012341,0.108,fair,0.442,2025-04-02,51,0
RS-0100,3,101,140.855567,-7.018638,140.856724,-7.018638,0.129,poor,0.517,2024-05-30,358,3
RS-0101,3,102,140.855208,-7.020964,140.856875,-7.020965,0.186,fair,0.427,2025-03-18,66,0
RS-0102,3,103,140.856875,-7.020965,140.855208,-7.020964,0.186,fair,0.471,2024-10-23,212,0
RS-0103,3,104,140.859886,-7.026794,140.86131,-7.026748,0.159,poor,0.521,2024-12-06,168,3
RS-0104,3,105,140.86131,-7.026748,140.859886,-7.026794,0.159,poor,0.5,2024-08-09,287,1
RS-0105,3,106,140.852793,-7.02969,140.852792,-7.030843,0.128,fair,0.452,2024-08-26,270,0
RS-0106,3,107,140.86271,-7.012341,140.862672,-7.013309,0.108,poor,0.501,2023-09-11,620,0
RS-0107,3,108,140.872105,-7.016655,140.872191,-7.015346,0.146,fair,0.426,2024-03-29,420,0
RS-0108,3,109,140.865298,-7.018573,140.86408,-7.018533,0.136,poor,0.539,2024-09-26,239,0
RS-0109,3,110,140.864872,-7.023461,140.866132,-7.023414,0.14,poor,0.57,2024-05-24,364,0
RS-0110,3,111,140.866132,-7.023414,140.864872,-7.023461,0.14,poor,0.555,2024-10-09,226,0
RS-0111,3,112,140.867232,-7.029254,140.868134,-7.029305,0.101,fair,0.482,2025-01-30,113,0
RS-0112,3,113,140.868134,-7.029305,140.867232,-7.029254,0.101,poor,0.524,2024-08-24,272,0
RS-0113,3,114,140.874815,-7.011952,140.873704,-7.011933,0.124,fair,0.413,2024-12-23,151,0
RS-0114,3,115,140.872191,-7.015346,140.872105,-7.016655,0.146,fair,0.296,2025-03-05,79,0
RS-0115,3,116,140.874052,-7.018512,140.873225,-7.018541,0.092,poor,0.722,2025-02-24,88,3
RS-0116,3,117,140.87255,-7.023524,140.873103,-7.023498,0.062,poor,0.597,2024-07-23,304,3
RS-0117,3,118,140.871783,-7.023525,140.87176,-7.024204,0.076,fair,0.491,2024-06-13,344,0
RS-0118,3,119,140.873925,-7.029433,140.87445,-7.029466,0.059,fair,0.438,2024-04-30,388,0
RS-0119,3,120,140.871896,-7.029781,140.871907,-7.030678,0.1,poor,0.735,2024-07-23,304,2
RS-0120,3,121,140.872966,-7.032256,140.872285,-7.03216,0.077,poor,0.511,2024-08-10,286,2
RS-0121,3,369,140.825092,-7.013817,140.825104,-7.012168,0.184,poor,0.532,2024-12-15,159,2
RS-0122,3,370,140.853809,-7.031713,140.853277,-7.031752,0.059,fair,0.383,2025-03-19,65,0
RS-0123,4,122,140.825552,-6.996576,140.825551,-6.994855,0.192,poor,0.563,2024-12-20,154,1
RS-0124,4,123,140.823898,-7.000329,140.824602,-7.00033,0.078,fair,0.294,2024-07-26,301,0
RS-0125,4,124,140.824191,-7.003337,140.825319,-7.003337,0.126,fair,0.403,2024-07-08,319,0
RS-0126,4,125,140.825319,-7.003337,140.824191,-7.003337,0.126,good,0.203,2025-04-11,42,0
RS-0127,4,126,140.825249,-7.007375,140.825262,-7.006652,0.081,fair,0.294,2025-01-01,142,0
RS-0128,4,127,140.82513,-7.010795,140.825164,-7.010077,0.08,fair,0.282,2024-03-17,432,0
RS-0129,4,128,140.825551,-6.994855,140.825552,-6.996576,0.192,fair,0.372,2025-02-19,93,0
RS-0130,4,129,140.828724,-6.998009,140.827559,-6.998027,0.13,fair,0.357,2024-12-09,165,0
RS-0131,4,130,140.828591,-7.003382,140.82998,-7.003383,0.155,fair,0.467,2025-01-12,131,0
RS-0132,4,131,140.82998,-7.003383,140.828591,-7.003382,0.155,fair,0.447,2024-12-07,167,0
RS-0133,4,132,140.828752,-7.009476,140.829912,-7.009519,0.129,fair,0.339,2024-09-27,238,0
RS-0134,4,133,140.829912,-7.009519,140.828752,-7.009476,0.129,good,0.049,2024-07-07,320,0
RS-0135,4,134,140.839224,-6.998107,140.840819,-6.998108,0.178,good,0.249,2025-02-06,106,0
RS-0136,4,135,140.840819,-6.998108,140.839224,-6.998107,0.178,fair,0.343,2025-04-17,36,0
RS-0137,4,136,140.838129,-7.003413,140.839134,-7.00343,0.112,fair,0.424,2024-10-20,215,0
RS-0138,4,137,140.836971,-7.006278,140.838696,-7.006228,0.192,fair,0.47,2025-02-28,84,0
RS-0139,4,138,140.838696,-7.006228,140.836971,-7.006278,0.192,fair,0.486,2024-09-25,240,0
RS-0140,4,139,140.837894,-7.009722,140.836374,-7.009697,0.169,fair,0.346,2024-06-14,343,0
RS-0141,4,140,140.851214,-6.992483,140.849629,-6.992482,0.176,fair,0.377,2024-08-09,287,0
RS-0142,4,141,140.844254,-6.998176,140.846935,-6.998186,0.298,fair,0.355,2025-04-18,35,0
RS-0143,4,142,140.846935,-6.998186,140.844254,-6.998176,0.298,fair,0.301,2025-05-18,5,0
RS-0144,4,143,140.853208,-7.003505,140.853208,-7.0025,0.112,fair,0.385,2024-10-29,206,0
RS-0145,4,144,140.850035,-7.006196,140.851154,-7.006203,0.125,fair,0.362,2024-07-09,318,0
RS-0146,4,145,140.851154,-7.006203,140.850035,-7.006196,0.125,fair,0.417,2024-11-29,175,0
RS-0147,4,146,140.843821,-7.010926,140.843821,-7.011747,0.091,fair,0.317,2024-07-16,311,0
RS-0148,4,147,140.855275,-6.992483,140.853448,-6.992483,0.203,fair,0.392,2025-01-31,112,0
RS-0149,4,148,140.862775,-6.99819,140.862776,-6.996627,0.174,fair,0.426,2025-04-10,43,0
RS-0150,4,149,140.857622,-7.000713,140.858952,-7.000713,0.148,poor,0.539,2025-01-01,142,2
RS-0151,4,150,140.858156,-7.003578,140.859695,-7.003599,0.171,fair,0.347,2025-01-07,136,0
RS-0152,4,151,140.859724,-7.00646,140.861982,-7.006527,0.251,poor,0.559,2024-08-18,278,3
RS-0153,4,152,140.861982,-7.006527,140.859724,-7.00646,0.251,good,0.085,2025-01-05,138,0
RS-0154,4,153,140.859632,-7.009109,140.857943,-7.009166,0.188,fair,0.363,2025-05-12,11,0
RS-0155,4,154,140.863609,-6.992586,140.862836,-6.992559,0.086,poor,0.527,2024-10-24,211,3
RS-0156,4,155,140.862776,-6.996627,140.862775,-6.99819,0.174,fair,0.375,2024-09-01,264,0
RS-0157,4,156,140.871887,-6.999066,140.869962,-6.999065,0.214,fair,0.273,2025-02-08,104,0
RS-0158,4,157,140.863363,-7.003614,140.864996,-7.003642,0.182,fair,0.356,2024-11-14,190,0
RS-0159,4,158,140.870169,-7.006734,140.871846,-7.006655,0.187,poor,0.516,2024-05-09,379,2
RS-0160,4,159,140.868194,-7.008949,140.869919,-7.009021,0.192,good,0.239,2024-12-29,145,0
RS-0161,4,160,140.869919,-7.009021,140.868194,-7.008949,0.192,fair,0.372,2025-03-30,54,0
RS-0162,4,163,140.874434,-7.000694,140.872392,-7.000645,0.227,fair,0.427,2024-12-01,173,0
RS-0163,4,164,140.876384,-7.003749,140.875088,-7.003748,0.144,poor,0.635,2024-07-04,323,2
RS-0164,4,165,140.874815,-7.006465,140.873892,-7.006517,0.103,fair,0.488,2024-10-06,229,0
RS-0165,4,166,140.873704,-7.011933,140.874815,-7.011952,0.124,poor,0.58,2024-12-17,157,3
RS-0166,5,168,140.820529,-6.975297,140.818864,-6.975245,0.185,fair,0.43,2024-09-17,248,0
RS-0167,5,169,140.817384,-6.981201,140.819336,-6.98119,0.217,fair,0.427,2024-11-20,184,0
RS-0168,5,170,140.819336,-6.98119,140.817384,-6.981201,0.217,poor,0.617,2025-01-25,118,1
RS-0169,5,171,140.820762,-6.986249,140.821499,-6.98627,0.082,fair,0.361,2024-11-02,202,0
RS-0170,5,172,140.825531,-6.988818,140.825532,-6.987432,0.154,fair,0.366,2025-03-15,69,0
RS-0171,5,173,140.821766,-6.992509,140.824915,-6.992498,0.35,fair,0.432,2024-08-13,283,0
RS-0172,5,174,140.824915,-6.992498,140.821766,-6.992509,0.35,fair,0.257,2024-11-16,188,0
RS-0173,5,176,140.825509,-6.977139,140.825509,-6.978066,0.103,fair,0.476,2024-11-16,188,0
RS-0174,5,177,140.833063,-6.98106,140.833813,-6.981068,0.084,fair,0.418,2025-05-18,5,0
RS-0175,5,178,140.827551,-6.983918,140.828962,-6.983907,0.157,fair,0.404,2024-10-02,233,0
RS-0176,5,179,140.828962,-6.983907,140.827551,-6.983918,0.157,fair,0.387,2025-01-08,135,0
RS-0177,5,180,140.825532,-6.987432,140.825531,-6.988818,0.154,fair,0.428,2025-01-13,130,0
RS-0178,5,181,140.829582,-6.989303,140.828228,-6.989292,0.151,fair,0.49,2024-12-04,170,0
RS-0179,5,182,140.83431,-6.993915,140.834377,-6.99254,0.153,good,0.194,2024-04-03,415,0
RS-0180,5,184,140.841744,-6.975884,140.837371,-6.975852,0.487,poor,0.552,2024-07-01,326,1
RS-0181,5,185,140.835389,-6.97835,140.834414,-6.978334,0.109,fair,0.459,2025-01-31,112,0
RS-0182,5,186,140.838554,-6.983726,140.839753,-6.983729,0.134,fair,0.331,2024-10-04,231,0
RS-0183,5,187,140.838158,-6.986475,140.839624,-6.986494,0.163,poor,0.505,2024-12-30,144,1
RS-0184,5,188,140.839624,-6.986494,140.838158,-6.986475,0.163,fair,0.483,2025-02-18,94,0
RS-0185,5,189,140.839321,-6.992545,140.840755,-6.992545,0.16,fair,0.34,2024-01-21,488,0
RS-0186,5,190,140.840755,-6.992545,140.839321,-6.992545,0.16,fair,0.432,2025-03-02,82,0
RS-0187,5,192,140.844185,-6.977572,140.844185,-6.978175,0.067,fair,0.48,2023-09-08,623,0
RS-0188,5,193,140.845018,-6.981163,140.846169,-6.981163,0.128,poor,0.527,2024-06-11,346,2
RS-0189,5,194,140.846169,-6.981163,140.845018,-6.981163,0.128,fair,0.384,2025-02-03,109,0
RS-0190,5,195,140.848665,-6.986571,140.850171,-6.986571,0.168,fair,0.288,2024-11-06,198,0
RS-0191,5,196,140.850171,-6.986571,140.848665,-6.986571,0.168,fair,0.274,2024-10-10,225,0
RS-0192,5,197,140.849629,-6.992482,140.851214,-6.992483,0.176,good,0.228,2024-08-15,281,0
RS-0193,5,198,140.854012,-6.981232,140.855437,-6.981232,0.159,fair,0.41,2024-08-21,275,0
RS-0194,5,199,140.855437,-6.981232,140.854012,-6.981232,0.159,fair,0.436,2025-02-28,84,0
RS-0195,5,200,140.85351,-6.985305,140.853518,-6.986527,0.136,fair,0.356,2024-07-28,299,0
RS-0196,5,201,140.859692,-6.989776,140.861492,-6.989798,0.2,poor,0.537,2024-08-07,289,0
RS-0197,5,202,140.853448,-6.992483,140.855275,-6.992483,0.203,good,0.204,2025-04-20,33,0
RS-0198,5,373,140.862876,-6.990446,140.862863,-6.991523,0.12,poor,0.555,2024-09-08,257,2
RS-0199,6,203,140.889963,-6.995453,140.889964,-6.994587,0.096,poor,0.502,2024-05-30,358,1
RS-0200,6,204,140.889966,-6.997025,140.889961,-6.99619,0.093,fair,0.347,2024-09-05,260,0
RS-0201,6,205,140.889927,-7.00049,140.88993,-6.999668,0.092,good,0.116,2025-04-15,38,0
RS-0202,6,206,140.889918,-7.001787,140.88993,-7.00086,0.103,fair,0.428,2024-12-23,151,0
RS-0203,6,207,140.889895,-7.005554,140.889905,-7.004529,0.114,fair,0.305,2024-09-25,240,0
RS-0204,6,208,140.889824,-7.009011,140.889862,-7.008091,0.103,poor,0.567,2024-11-04,200,2
RS-0205,6,209,140.889823,-7.010987,140.88983,-7.009913,0.12,fair,0.47,2024-12-11,163,0
RS-0206,6,210,140.889964,-6.994587,140.889963,-6.995453,0.096,fair,0.462,2024-07-19,308,0
RS-0207,6,211,140.889961,-6.99619,140.889966,-6.997025,0.093,poor,0.504,2025-03-24,60,3
RS-0208,6,212,140.88993,-6.999668,140.889927,-7.00049,0.092,good,0.215,2024-10-14,221,0
RS-0209,6,213,140.88993,-7.00086,140.889918,-7.001787,0.103,poor,0.559,2024-09-21,244,2
RS-0210,6,214,140.889905,-7.004529,140.889895,-7.005554,0.114,fair,0.449,2025-05-18,5,0
RS-0211,6,215,140.898043,-7.006584,140.89706,-7.006581,0.109,fair,0.496,2024-04-15,403,0
RS-0212,6,216,140.88983,-7.009913,140.889823,-7.010987,0.12,fair,0.45,2024-11-06,198,0
RS-0213,6,222,140.905534,-7.006691,140.904436,-7.006689,0.122,poor,0.535,2024-02-08,470,3
RS-0214,6,223,140.906499,-7.009535,140.905665,-7.009523,0.093,poor,0.526,2025-05-03,20,0
RS-0215,6,230,140.911419,-7.012349,140.912857,-7.012403,0.16,fair,0.379,2024-06-15,342,0
RS-0216,6,245,140.889579,-7.012105,140.888528,-7.012093,0.117,fair,0.456,2025-01-25,118,0
RS-0217,6,246,140.882886,-7.01687,140.88372,-7.016886,0.093,fair,0.377,2025-01-19,124,0
RS-0218,6,247,140.889791,-7.018726,140.8898,-7.017597,0.126,poor,0.713,2024-08-13,283,1
RS-0219,6,248,140.889776,-7.021266,140.889801,-7.019804,0.163,poor,0.653,2024-08-05,291,2
RS-0220,6,249,140.885887,-7.024014,140.88708,-7.024046,0.133,fair,0.257,2024-12-03,171,0
RS-0221,6,250,140.889738,-7.026478,140.889739,-7.025269,0.135,poor,0.649,2024-09-11,254,3
RS-0222,6,251,140.881566,-7.026795,140.880654,-7.026776,0.102,poor,0.566,2024-08-22,274,3
RS-0223,6,252,140.889789,-7.013706,140.889786,-7.014677,0.108,fair,0.337,2024-11-11,193,0
RS-0224,6,253,140.898012,-7.015049,140.897326,-7.015035,0.076,good,0.23,2024-08-08,288,0
RS-0225,6,254,140.8898,-7.017597,140.889791,-7.018726,0.126,fair,0.407,2024-08-30,266,0
RS-0226,6,255,140.889801,-7.019804,140.889776,-7.021266,0.163,poor,0.695,2024-05-11,377,1
RS-0227,6,256,140.889755,-7.022233,140.889766,-7.023338,0.123,poor,0.727,2024-05-18,370,3
RS-0228,6,257,140.889739,-7.025269,140.889738,-7.026478,0.135,fair,0.309,2024-09-02,263,0
RS-0229,6,258,140.896981,-7.029946,140.898353,-7.029987,0.153,poor,0.682,2024-12-06,168,1
RS-0230,6,259,140.898947,-7.015052,140.899773,-7.015067,0.092,poor,0.538,2024-02-15,463,2
RS-0231,6,260,140.899773,-7.015067,140.898947,-7.015052,0.092,good,0.133,2024-07-11,316,0
RS-0232,6,261,140.901341,-7.016987,140.900718,-7.016994,0.069,fair,0.264,2024-06-22,335,0
RS-0233,6,262,140.904956,-7.021647,140.905716,-7.021649,0.085,poor,0.616,2025-01-15,128,0
RS-0234,6,263,140.902661,-7.024336,140.903611,-7.024364,0.106,fair,0.468,2025-03-24,60,0
RS-0235,6,264,140.89968,-7.027101,140.907728,-7.027103,0.896,poor,0.512,2025-01-07,136,1
RS-0236,6,265,140.907728,-7.027103,140.89968,-7.027101,0.896,fair,0.457,2025-01-15,128,0
RS-0237,6,266,140.912857,-7.012403,140.911419,-7.012349,0.16,fair,0.482,2024-09-06,259,0
RS-0238,6,267,140.913116,-7.015252,140.912345,-7.015239,0.086,fair,0.438,2024-09-13,252,0
RS-0239,6,268,140.908461,-7.019026,140.909183,-7.019031,0.08,fair,0.49,2024-10-14,221,0
RS-0240,6,269,140.913146,-7.021751,140.916844,-7.021776,0.412,fair,0.344,2025-05-18,5,0
RS-0241,6,270,140.916844,-7.021776,140.913146,-7.021751,0.412,poor,0.566,2024-06-29,328,2
RS-0242,6,271,140.912988,-7.024571,140.91063,-7.024521,0.263,fair,0.467,2024-10-02,233,0
RS-0243,6,272,140.90779,-7.029366,140.9078,-7.030174,0.09,poor,0.731,2024-08-04,292,3
RS-0244,6,379,140.886043,-6.98959,140.885078,-6.989595,0.107,fair,0.442,2024-12-28,146,0
RS-0245,6,380,140.894395,-6.989581,140.893423,-6.989579,0.108,good,0.239,2024-07-13,314,0
RS-0246,7,287,140.888239,-7.032359,140.88967,-7.032323,0.159,poor,0.53,2024-10-11,224,2
RS-0247,7,288,140.88967,-7.032323,140.888239,-7.032359,0.159,fair,0.301,2024-07-22,305,0
RS-0248,7,289,140.88967,-7.032323,140.891312,-7.032428,0.183,poor,0.742,2024-07-08,319,0
RS-0249,7,290,140.891312,-7.032428,140.88967,-7.032323,0.183,poor,0.579,2024-12-30,144,1
RS-0250,7,291,140.893254,-7.035154,140.892055,-7.035138,0.134,poor,0.607,2024-11-20,184,3
RS-0251,7,292,140.890225,-7.040179,140.893087,-7.040179,0.319,fair,0.385,2024-01-14,495,0
RS-0252,7,293,140.890712,-7.043545,140.89443,-7.043546,0.414,fair,0.385,2024-11-27,177,0
RS-0253,7,294,140.892752,-7.045779,140.89893,-7.045849,0.688,good,0.249,2024-12-16,158,0
RS-0254,7,295,140.89893,-7.045849,140.892752,-7.045779,0.688,fair,0.341,2025-04-29,24,0
