# SYNTHETIC. Upkeep rotation state as at 2025-05-23, READ BACK from the work order ledger (ec_upkeep_orders.csv) so state and events agree. This is 'days overdue against the standard rotation', NOT block condition - EPMS records that an activity happened, never what the block looks like.
division_code,block_code,activity,last_done,interval_days,days_since,days_overdue
2,46,path_upkeep,2025-04-12,110,41,0
2,46,spraying,2025-01-27,100,116,16
2,47,pruning,2024-11-21,240,183,0
2,47,circle_weeding,2025-04-21,75,32,0
2,47,path_upkeep,2025-04-04,110,49,0
2,47,spraying,2025-05-13,100,10,0
2,49,pruning,2024-11-17,240,187,0
2,49,circle_weeding,2025-05-19,75,4,0
2,49,path_upkeep,2025-02-25,110,87,0
2,49,spraying,2025-02-10,100,102,2
2,50,pruning,2024-12-30,240,144,0
2,50,circle_weeding,2025-03-26,75,58,0
2,50,path_upkeep,2025-03-03,110,81,0
2,50,spraying,2025-05-14,100,9,0
2,51,pruning,2024-12-08,240,166,0
2,51,circle_weeding,2025-04-10,75,43,0
2,51,path_upkeep,2025-02-22,110,90,0
2,51,spraying,2025-03-20,100,64,0
2,52,pruning,2025-01-20,240,123,0
2,52,circle_weeding,2025-03-29,75,55,0
2,52,path_upkeep,2025-03-05,110,79,0
2,52,spraying,2025-04-18,100,35,0
2,53,pruning,2024-10-25,240,210,0
2,53,circle_weeding,2025-04-07,75,46,0
2,53,path_upkeep,2025-03-15,110,69,0
2,53,spraying,2025-01-20,100,123,23
2,54,pruning,2024-11-29,240,175,0
2,54,circle_weeding,2025-02-28,75,84,9
2,54,path_upkeep,2025-03-22,110,62,0
2,54,spraying,2025-04-29,100,24,0
2,55,pruning,2025-03-10,240,74,0
2,55,circle_weeding,2025-05-12,75,11,0
2,55,path_upkeep,2025-03-26,110,58,0
2,55,spraying,2025-05-16,100,7,0
2,56,pruning,2025-05-06,240,17,0
2,56,circle_weeding,2025-03-19,75,65,0
2,56,path_upkeep,2025-02-10,110,102,0
2,56,spraying,2025-02-07,100,105,5
2,57,pruning,2025-04-26,240,27,0
2,57,circle_weeding,2025-05-09,75,14,0
2,57,path_upkeep,2025-01-25,110,118,8
2,57,spraying,2025-05-23,100,0,0
2,58,pruning,2025-05-17,240,6,0
2,58,circle_weeding,2025-02-25,75,87,12
2,58,path_upkeep,2025-04-15,110,38,0
2,58,spraying,2025-02-01,100,111,11
2,59,pruning,2025-02-03,240,109,0
2,59,circle_weeding,2025-04-11,75,42,0
2,59,path_upkeep,2025-01-23,110,120,10
2,59,spraying,2025-01-25,100,118,18
2,60,pruning,2025-01-16,240,127,0
2,60,circle_weeding,2025-04-18,75,35,0
2,60,path_upkeep,2025-04-29,110,24,0
2,60,spraying,2025-01-22,100,121,21
2,62,pruning,2024-12-10,240,164,0
2,62,circle_weeding,2025-05-20,75,3,0
2,62,path_upkeep,2025-05-22,110,1,0
2,62,spraying,2025-04-26,100,27,0
2,63,pruning,2025-02-20,240,92,0
2,63,circle_weeding,2025-03-13,75,71,0
2,63,path_upkeep,2025-01-21,110,122,12
2,63,spraying,2025-02-04,100,108,8
2,64,pruning,2024-11-10,240,194,0
2,64,circle_weeding,2025-04-02,75,51,0
2,64,path_upkeep,2025-02-05,110,107,0
2,64,spraying,2025-03-07,100,77,0
2,65,pruning,2025-01-07,240,136,0
2,65,circle_weeding,2025-03-29,75,55,0
2,65,path_upkeep,2025-05-07,110,16,0
2,65,spraying,2025-02-08,100,104,4
2,66,pruning,2025-01-20,240,123,0
2,66,circle_weeding,2025-03-10,75,74,0
2,66,path_upkeep,2025-04-04,110,49,0
2,66,spraying,2025-03-28,100,56,0
2,67,pruning,2024-11-17,240,187,0
2,67,circle_weeding,2025-04-24,75,29,0
2,67,path_upkeep,2025-04-17,110,36,0
2,67,spraying,2025-02-05,100,107,7
2,68,pruning,2025-01-28,240,115,0
2,68,circle_weeding,2025-04-11,75,42,0
2,68,path_upkeep,2025-03-21,110,63,0
2,68,spraying,2025-02-18,100,94,0
2,69,pruning,2025-01-14,240,129,0
2,69,circle_weeding,2025-05-15,75,8,0
2,69,path_upkeep,2025-04-15,110,38,0
2,69,spraying,2025-05-08,100,15,0
2,70,pruning,2024-10-25,240,210,0
2,70,circle_weeding,2025-04-28,75,25,0
2,70,path_upkeep,2025-02-27,110,85,0
2,70,spraying,2025-01-10,100,133,33
2,71,pruning,2024-12-12,240,162,0
2,71,circle_weeding,2025-04-21,75,32,0
2,71,path_upkeep,2025-02-18,110,94,0
2,71,spraying,2025-03-03,100,81,0
2,72,pruning,2024-10-15,240,220,0
2,72,circle_weeding,2025-03-27,75,57,0
2,72,path_upkeep,2025-02-21,110,91,0
2,72,spraying,2025-01-13,100,130,30
2,73,pruning,2025-03-19,240,65,0
2,73,circle_weeding,2025-05-02,75,21,0
2,73,path_upkeep,2025-04-01,110,52,0
2,73,spraying,2025-02-26,100,86,0
2,74,pruning,2025-05-12,240,11,0
2,74,circle_weeding,2025-05-19,75,4,0
2,74,path_upkeep,2025-04-08,110,45,0
2,74,spraying,2025-05-19,100,4,0
2,382,pruning,2024-12-23,240,151,0
2,382,circle_weeding,2025-05-21,75,2,0
2,382,path_upkeep,2025-04-30,110,23,0
2,382,spraying,2025-02-14,100,98,0
3,75,pruning,2025-03-05,240,79,0
3,75,circle_weeding,2025-05-19,75,4,0
3,75,path_upkeep,2025-05-01,110,22,0
3,75,spraying,2025-04-15,100,38,0
3,76,pruning,2024-11-28,240,176,0
3,76,circle_weeding,2025-03-08,75,76,1
3,76,path_upkeep,2025-05-21,110,2,0
3,76,spraying,2025-05-02,100,21,0
3,77,pruning,2024-11-17,240,187,0
3,77,circle_weeding,2025-02-04,75,108,33
3,77,path_upkeep,2025-05-14,110,9,0
3,77,spraying,2025-03-24,100,60,0
3,78,pruning,2024-10-29,240,206,0
3,78,circle_weeding,2025-03-12,75,72,0
3,78,path_upkeep,2025-02-06,110,106,0
3,78,spraying,2025-03-04,100,80,0
3,79,pruning,2024-11-23,240,181,0
3,79,circle_weeding,2025-02-20,75,92,17
3,79,path_upkeep,2025-03-28,110,56,0
3,79,spraying,2025-05-19,100,4,0
3,80,pruning,2024-11-24,240,180,0
3,80,circle_weeding,2025-02-18,75,94,19
3,80,path_upkeep,2025-01-06,110,137,27
3,80,spraying,2025-02-04,100,108,8
3,81,pruning,2024-11-05,240,199,0
3,81,circle_weeding,2025-02-21,75,91,16
3,81,path_upkeep,2025-01-04,110,139,29
3,81,spraying,2025-01-22,100,121,21
3,82,pruning,2025-04-28,240,25,0
3,82,circle_weeding,2025-03-19,75,65,0
3,82,path_upkeep,2025-05-02,110,21,0
3,82,spraying,2025-03-27,100,57,0
3,83,pruning,2025-05-12,240,11,0
3,83,circle_weeding,2025-03-18,75,66,0
3,83,path_upkeep,2025-01-20,110,123,13
3,83,spraying,2025-02-11,100,101,1
3,84,pruning,2025-04-26,240,27,0
3,84,circle_weeding,2025-04-05,75,48,0
3,84,path_upkeep,2025-01-23,110,120,10
3,84,spraying,2025-02-07,100,105,5
3,85,pruning,2025-02-15,240,97,0
3,85,circle_weeding,2025-02-08,75,104,29
3,85,path_upkeep,2025-05-23,110,0,0
3,85,spraying,2025-02-03,100,109,9
3,86,pruning,2024-11-10,240,194,0
3,86,circle_weeding,2025-03-26,75,58,0
3,86,path_upkeep,2025-01-03,110,140,30
3,86,spraying,2025-01-09,100,134,34
3,87,pruning,2025-01-16,240,127,0
3,87,circle_weeding,2025-04-12,75,41,0
3,87,path_upkeep,2025-01-27,110,116,6
3,87,spraying,2025-05-23,100,0,0
3,88,pruning,2024-10-12,240,223,0
3,88,circle_weeding,2025-03-22,75,62,0
3,88,path_upkeep,2025-02-15,110,97,0
3,88,spraying,2025-02-05,100,107,7
3,89,pruning,2024-12-27,240,147,0
3,89,circle_weeding,2025-03-19,75,65,0
3,89,path_upkeep,2025-05-03,110,20,0
3,89,spraying,2025-05-15,100,8,0
3,90,pruning,2025-04-23,240,30,0
3,90,circle_weeding,2025-03-15,75,69,0
3,90,path_upkeep,2025-02-05,110,107,0
3,90,spraying,2025-02-10,100,102,2
3,91,pruning,2025-05-16,240,7,0
3,91,circle_weeding,2025-02-07,75,105,30
3,91,path_upkeep,2025-04-12,110,41,0
3,91,spraying,2025-03-07,100,77,0
3,92,pruning,2025-01-16,240,127,0
3,92,circle_weeding,2025-02-19,75,93,18
3,92,path_upkeep,2025-04-30,110,23,0
3,92,spraying,2025-03-06,100,78,0
3,93,pruning,2024-11-28,240,176,0
3,93,circle_weeding,2025-02-28,75,84,9
3,93,path_upkeep,2025-05-23,110,0,0
3,93,spraying,2025-04-18,100,35,0
3,94,pruning,2024-11-13,240,191,0
3,94,circle_weeding,2025-05-12,75,11,0
3,94,path_upkeep,2025-05-01,110,22,0
3,94,spraying,2025-04-26,100,27,0
3,95,pruning,2024-08-29,240,267,27
3,95,circle_weeding,2025-05-20,75,3,0
3,95,path_upkeep,2025-04-26,110,27,0
3,95,spraying,2025-01-17,100,126,26
3,96,pruning,2025-03-12,240,72,0
3,96,circle_weeding,2025-05-07,75,16,0
3,96,path_upkeep,2024-12-30,110,144,34
3,96,spraying,2025-01-18,100,125,25
3,97,pruning,2024-10-10,240,225,0
3,97,circle_weeding,2025-05-09,75,14,0
3,97,path_upkeep,2025-02-21,110,91,0
3,97,spraying,2025-05-16,100,7,0
3,98,pruning,2024-09-10,240,255,15
3,98,circle_weeding,2025-02-11,75,101,26
3,98,path_upkeep,2025-02-13,110,99,0
3,98,spraying,2025-01-03,100,140,40
3,99,pruning,2024-12-22,240,152,0
3,99,circle_weeding,2025-04-10,75,43,0
3,99,path_upkeep,2025-01-25,110,118,8
3,99,spraying,2025-03-29,100,55,0
3,100,pruning,2025-04-05,240,48,0
3,100,circle_weeding,2025-02-24,75,88,13
3,100,path_upkeep,2025-02-03,110,109,0
3,100,spraying,2025-02-15,100,97,0
3,101,pruning,2025-01-31,240,112,0
3,101,circle_weeding,2025-03-04,75,80,5
3,101,path_upkeep,2025-01-07,110,136,26
3,101,spraying,2025-02-01,100,111,11
3,102,pruning,2024-09-09,240,256,16
3,102,circle_weeding,2025-02-26,75,86,11
3,102,path_upkeep,2025-05-01,110,22,0
3,102,spraying,2025-01-13,100,130,30
3,103,pruning,2024-12-27,240,147,0
3,103,circle_weeding,2025-03-28,75,56,0
3,103,path_upkeep,2025-05-19,110,4,0
3,103,spraying,2025-01-06,100,137,37
3,104,pruning,2024-11-06,240,198,0
3,104,circle_weeding,2025-05-22,75,1,0
3,104,path_upkeep,2025-03-11,110,73,0
3,104,spraying,2025-01-16,100,127,27
3,105,pruning,2024-11-11,240,193,0
3,105,circle_weeding,2025-02-06,75,106,31
3,105,path_upkeep,2025-04-11,110,42,0
3,105,spraying,2025-05-17,100,6,0
3,106,pruning,2024-12-18,240,156,0
3,106,circle_weeding,2025-02-17,75,95,20
3,106,path_upkeep,2025-04-17,110,36,0
3,106,spraying,2025-02-08,100,104,4
3,107,pruning,2025-05-16,240,7,0
3,107,circle_weeding,2025-03-19,75,65,0
3,107,path_upkeep,2025-05-03,110,20,0
3,107,spraying,2025-01-28,100,115,15
3,108,pruning,2024-11-27,240,177,0
3,108,circle_weeding,2025-03-24,75,60,0
3,108,path_upkeep,2025-04-04,110,49,0
3,108,spraying,2025-01-25,100,118,18
3,109,pruning,2024-09-21,240,244,4
3,109,circle_weeding,2025-02-24,75,88,13
3,109,path_upkeep,2025-04-21,110,32,0
3,109,spraying,2025-02-27,100,85,0
3,110,pruning,2024-11-09,240,195,0
3,110,circle_weeding,2025-04-16,75,37,0
3,110,path_upkeep,2025-04-29,110,24,0
3,110,spraying,2025-01-21,100,122,22
3,111,pruning,2025-02-15,240,97,0
3,111,circle_weeding,2025-03-08,75,76,1
3,111,path_upkeep,2025-05-07,110,16,0
3,111,spraying,2025-05-12,100,11,0
3,112,pruning,2024-11-21,240,183,0
3,112,circle_weeding,2025-03-14,75,70,0
3,112,path_upkeep,2025-04-09,110,44,0
3,112,spraying,2025-01-10,100,133,33
3,113,pruning,2024-11-16,240,188,0
3,113,circle_weeding,2025-02-20,75,92,17
3,113,path_upkeep,2025-04-24,110,29,0
3,113,spraying,2025-02-26,100,86,0
3,114,pruning,2024-11-16,240,188,0
3,114,circle_weeding,2025-05-21,75,2,0
3,114,path_upkeep,2025-04-01,110,52,0
3,114,spraying,2025-03-11,100,73,0
3,115,pruning,2024-12-05,240,169,0
3,115,circle_weeding,2025-04-07,75,46,0
3,115,path_upkeep,2025-03-24,110,60,0
3,115,spraying,2025-01-01,100,142,42
3,116,pruning,2025-01-13,240,130,0
3,116,circle_weeding,2025-03-27,75,57,0
3,116,path_upkeep,2025-04-17,110,36,0
3,116,spraying,2025-03-12,100,72,0
3,117,pruning,2025-01-07,240,136,0
3,117,circle_weeding,2025-05-23,75,0,0
3,117,path_upkeep,2025-05-13,110,10,0
3,117,spraying,2025-01-29,100,114,14
3,118,pruning,2025-03-18,240,66,0
3,118,circle_weeding,2025-04-10,75,43,0
3,118,path_upkeep,2025-05-19,110,4,0
3,118,spraying,2025-04-28,100,25,0
3,119,pruning,2024-12-25,240,149,0
3,119,circle_weeding,2025-05-05,75,18,0
3,119,path_upkeep,2025-05-16,110,7,0
3,119,spraying,2025-01-30,100,113,13
3,120,pruning,2024-12-06,240,168,0
3,120,circle_weeding,2025-04-12,75,41,0
3,120,path_upkeep,2025-02-21,110,91,0
3,120,spraying,2025-04-29,100,24,0
3,121,pruning,2024-11-27,240,177,0
3,121,circle_weeding,2025-03-14,75,70,0
3,121,path_upkeep,2025-05-12,110,11,0
3,121,spraying,2025-05-13,100,10,0
3,369,pruning,2024-12-14,240,160,0
3,369,circle_weeding,2025-03-28,75,56,0
3,369,path_upkeep,2025-04-15,110,38,0
3,369,spraying,2025-03-28,100,56,0
3,370,pruning,2025-01-02,240,141,0
3,370,circle_weeding,2025-04-14,75,39,0
3,370,path_upkeep,2025-02-12,110,100,0
3,370,spraying,2025-04-19,100,34,0
4,122,pruning,2025-01-27,240,116,0
4,122,circle_weeding,2025-03-06,75,78,3
4,122,path_upkeep,2025-03-26,110,58,0
4,122,spraying,2025-02-15,100,97,0
4,123,pruning,2024-12-31,240,143,0
4,123,circle_weeding,2025-04-25,75,28,0
4,123,path_upkeep,2025-03-28,110,56,0
4,123,spraying,2025-01-07,100,136,36
4,124,pruning,2024-10-19,240,216,0
4,124,circle_weeding,2025-04-30,75,23,0
4,124,path_upkeep,2025-04-28,110,25,0
4,124,spraying,2025-02-07,100,105,5
4,125,pruning,2025-02-12,240,100,0
4,125,circle_weeding,2025-05-12,75,11,0
4,125,path_upkeep,2025-03-29,110,55,0
4,125,spraying,2025-02-03,100,109,9
4,126,pruning,2024-12-31,240,143,0
4,126,circle_weeding,2025-05-05,75,18,0
4,126,path_upkeep,2025-04-12,110,41,0
4,126,spraying,2025-03-05,100,79,0
4,127,pruning,2025-02-14,240,98,0
4,127,circle_weeding,2025-05-06,75,17,0
4,127,path_upkeep,2025-02-26,110,86,0
4,127,spraying,2025-01-17,100,126,26
4,128,pruning,2025-03-22,240,62,0
4,128,circle_weeding,2025-04-11,75,42,0
4,128,path_upkeep,2025-05-15,110,8,0
4,128,spraying,2025-05-23,100,0,0
4,129,pruning,2024-11-20,240,184,0
4,129,circle_weeding,2025-05-19,75,4,0
4,129,path_upkeep,2025-05-03,110,20,0
4,129,spraying,2025-02-06,100,106,6
4,130,pruning,2024-10-24,240,211,0
4,130,circle_weeding,2025-05-10,75,13,0
4,130,path_upkeep,2025-02-08,110,104,0
4,130,spraying,2025-02-19,100,93,0
4,131,pruning,2025-01-15,240,128,0
4,131,circle_weeding,2025-05-23,75,0,0
4,131,path_upkeep,2025-04-23,110,30,0
4,131,spraying,2025-02-22,100,90,0
4,132,pruning,2024-11-15,240,189,0
4,132,circle_weeding,2025-04-18,75,35,0
4,132,path_upkeep,2025-04-05,110,48,0
4,132,spraying,2025-01-15,100,128,28
4,133,pruning,2025-03-08,240,76,0
4,133,circle_weeding,2025-02-25,75,87,12
4,133,path_upkeep,2025-03-24,110,60,0
4,133,spraying,2025-05-16,100,7,0
4,134,pruning,2024-12-19,240,155,0
4,134,circle_weeding,2025-05-22,75,1,0
4,134,path_upkeep,2025-02-07,110,105,0
4,134,spraying,2025-01-16,100,127,27
4,135,pruning,2025-04-30,240,23,0
4,135,circle_weeding,2025-02-11,75,101,26
4,135,path_upkeep,2025-05-05,110,18,0
4,135,spraying,2025-05-17,100,6,0
4,136,pruning,2024-12-18,240,156,0
4,136,circle_weeding,2025-03-21,75,63,0
4,136,path_upkeep,2025-01-16,110,127,17
4,136,spraying,2025-04-28,100,25,0
4,137,pruning,2025-01-10,240,133,0
4,137,circle_weeding,2025-04-11,75,42,0
4,137,path_upkeep,2025-05-12,110,11,0
4,137,spraying,2025-02-13,100,99,0
4,138,pruning,2025-02-19,240,93,0
4,138,circle_weeding,2025-03-29,75,55,0
4,138,path_upkeep,2025-05-08,110,15,0
4,138,spraying,2025-01-20,100,123,23
4,139,pruning,2024-12-16,240,158,0
4,139,circle_weeding,2025-02-28,75,84,9
4,139,path_upkeep,2025-01-18,110,125,15
4,139,spraying,2025-01-28,100,115,15
4,140,pruning,2025-02-01,240,111,0
4,140,circle_weeding,2025-04-04,75,49,0
4,140,path_upkeep,2025-05-16,110,7,0
4,140,spraying,2025-05-19,100,4,0
4,141,pruning,2025-01-25,240,118,0
4,141,circle_weeding,2025-04-19,75,34,0
4,141,path_upkeep,2025-05-02,110,21,0
4,141,spraying,2025-05-02,100,21,0
4,142,pruning,2024-08-29,240,267,27
4,142,circle_weeding,2025-04-16,75,37,0
4,142,path_upkeep,2025-05-19,110,4,0
4,142,spraying,2025-02-10,100,102,2
4,143,pruning,2025-03-17,240,67,0
4,143,circle_weeding,2025-02-22,75,90,15
4,143,path_upkeep,2025-05-14,110,9,0
4,143,spraying,2025-01-22,100,121,21
4,144,pruning,2024-12-19,240,155,0
4,144,circle_weeding,2025-04-01,75,52,0
4,144,path_upkeep,2025-01-31,110,112,2
4,144,spraying,2025-02-26,100,86,0
4,145,pruning,2025-04-23,240,30,0
4,145,circle_weeding,2025-03-26,75,58,0
4,145,path_upkeep,2025-01-29,110,114,4
4,145,spraying,2025-04-10,100,43,0
4,146,pruning,2024-12-22,240,152,0
4,146,circle_weeding,2025-05-13,75,10,0
4,146,path_upkeep,2025-01-23,110,120,10
4,146,spraying,2025-02-05,100,107,7
4,147,pruning,2024-11-02,240,202,0
4,147,circle_weeding,2025-03-12,75,72,0
4,147,path_upkeep,2025-02-04,110,108,0
4,147,spraying,2025-04-15,100,38,0
4,148,pruning,2024-10-10,240,225,0
4,148,circle_weeding,2025-05-03,75,20,0
4,148,path_upkeep,2025-05-06,110,17,0
4,148,spraying,2025-03-04,100,80,0
4,149,pruning,2024-10-28,240,207,0
4,149,circle_weeding,2025-03-20,75,64,0
4,149,path_upkeep,2025-04-26,110,27,0
4,149,spraying,2025-03-28,100,56,0
4,150,pruning,2025-05-22,240,1,0
4,150,circle_weeding,2025-02-21,75,91,16
4,150,path_upkeep,2025-04-29,110,24,0
4,150,spraying,2025-03-24,100,60,0
4,151,pruning,2025-01-20,240,123,0
4,151,circle_weeding,2025-03-08,75,76,1
4,151,path_upkeep,2025-02-07,110,105,0
4,151,spraying,2025-04-18,100,35,0
4,152,pruning,2025-03-03,240,81,0
4,152,circle_weeding,2025-04-07,75,46,0
