# SYNTHETIC. Every crew on the estate: harvest gangs carried through from ec_gangs.csv under the same code, plus upkeep crews, spray teams and P&D teams sized from the programme. EPMS has m_gang_employee for harvest gangs only; the EC export carries none of it.
crew_code,crew_type,name,division_code,establishment,harvesters,mandor,kerani,skill,blocks,home_block,home_lon,home_lat
G7-03,harvest,Gang 7-03,7,20,14,1,1,1.111,12,40-54,140.913048,-7.050001
G7-04,harvest,Gang 7-04,7,27,15,1,1,0.987,10,39-57,140.903133,-7.058296
U1-01,upkeep,Upkeep 1-01,1,19,,1,0,1.075,13,32-51,140.839842,-7.04206
U1-02,upkeep,Upkeep 1-02,1,19,,1,0,1.123,13,33-57,140.84728,-7.05828
U1-03,upkeep,Upkeep 1-03,1,19,,1,0,0.953,13,34-56,140.85702,-7.055562
S1-01,spray,Spray team 1,1,15,,1,0,0.961,39,32-51,140.839842,-7.04206
P1-01,pest,P&D team 1,1,11,,1,0,0.867,39,32-51,140.839842,-7.04206
U2-01,upkeep,Upkeep 2-01,2,18,,1,0,1.078,12,35-49,140.865791,-7.035183
U2-02,upkeep,Upkeep 2-02,2,18,,1,0,1.091,12,36-55,140.876266,-7.052783
U2-03,upkeep,Upkeep 2-03,2,18,,1,0,1.025,10,37-54,140.885135,-7.050441
S2-01,spray,Spray team 2,2,14,,1,0,1.021,34,35-49,140.865791,-7.035183
P2-01,pest,P&D team 2,2,10,,1,0,1.096,34,35-49,140.865791,-7.035183
U3-01,upkeep,Upkeep 3-01,3,16,,1,0,0.98,13,31-41,140.830525,-7.013453
U3-02,upkeep,Upkeep 3-02,3,16,,1,0,0.991,13,32-46,140.839364,-7.027679
U3-03,upkeep,Upkeep 3-03,3,16,,1,0,1.06,13,34-42,140.856632,-7.016345
U3-04,upkeep,Upkeep 3-04,3,16,,1,0,1.024,10,36-41,140.875871,-7.013447
S3-01,spray,Spray team 3,3,17,,1,0,0.965,49,31-41,140.830525,-7.013453
P3-01,pest,P&D team 3,3,11,,1,0,0.989,49,31-41,140.830525,-7.013453
U4-01,upkeep,Upkeep 4-01,4,15,,1,0,0.8,11,30-35,140.822371,-6.995695
U4-02,upkeep,Upkeep 4-02,4,15,,1,0,1.096,11,31-40,140.830184,-7.010859
U4-03,upkeep,Upkeep 4-03,4,15,,1,0,0.976,11,33-38,140.848407,-7.004502
U4-04,upkeep,Upkeep 4-04,4,15,,1,0,0.94,10,35-35,140.866536,-6.997267
S4-01,spray,Spray team 4,4,16,,1,0,0.988,43,30-35,140.822371,-6.995695
P4-01,pest,P&D team 4,4,10,,1,0,1.037,43,30-35,140.822371,-6.995695
U5-01,upkeep,Upkeep 5-01,5,16,,1,0,1.085,11,30-28,140.819039,-6.97666
U5-02,upkeep,Upkeep 5-02,5,16,,1,0,1.132,11,31-32,140.830392,-6.987494
U5-03,upkeep,Upkeep 5-03,5,16,,1,0,1.2,11,33-29,140.848301,-6.979345
S5-01,spray,Spray team 5,5,13,,1,0,0.889,33,30-28,140.819039,-6.97666
P5-01,pest,P&D team 5,5,10,,1,0,0.824,33,30-28,140.819039,-6.97666
U6-01,upkeep,Upkeep 6-01,6,17,,1,0,1.0,12,37-33,140.881992,-6.993957
U6-02,upkeep,Upkeep 6-02,6,17,,1,0,1.051,12,38-38,140.894819,-7.00794
U6-03,upkeep,Upkeep 6-03,6,17,,1,0,1.105,12,38-40,140.894661,-7.013598
U6-04,upkeep,Upkeep 6-04,6,17,,1,0,1.062,11,39-45,140.903055,-7.025329
S6-01,spray,Spray team 6,6,18,,1,0,1.046,47,37-33,140.881992,-6.993957
P6-01,pest,P&D team 6,6,13,,1,0,1.011,47,37-33,140.881992,-6.993957
U7-01,upkeep,Upkeep 7-01,7,15,,1,0,0.904,12,37-47,140.883512,-7.030737
U7-02,upkeep,Upkeep 7-02,7,15,,1,0,0.975,12,39-50,140.903073,-7.039477
U7-03,upkeep,Upkeep 7-03,7,15,,1,0,0.991,12,40-54,140.913048,-7.050001
U7-04,upkeep,Upkeep 7-04,7,15,,1,0,1.126,10,39-57,140.903133,-7.058296
S7-01,spray,Spray team 7,7,17,,1,0,0.954,46,37-47,140.883512,-7.030737
P7-01,pest,P&D team 7,7,13,,1,0,1.041,46,37-47,140.883512,-7.030737
