# SYNTHETIC. Purchase order lines: EKKO, EKPO, EKET. bsart RUSH is a local buy made because the store could not meet an issue. delay_cause is the generator's ANSWER KEY - a real extract has no such column, and no model may read it.
ebeln,ebelp,bedat,bsart,lifnr,matnr,werks,menge,meins,netpr,eindt,status,delay_cause
4500000022,00010,2023-07-19,NB,V301,FU-001,EC,8000,L,13851,2023-07-24,closed,
4500000023,00010,2023-07-22,NB,V402,SP-008,EC,4,EA,2818300,2023-08-12,closed,
4500000024,00010,2023-07-25,NB,V201,AC-001,EC,2900,L,68344,2023-08-15,closed,
4500000025,00010,2023-07-25,NB,V301,FU-001,EC,8000,L,13261,2023-07-30,closed,
4500000026,00010,2023-07-25,NB,V402,SP-002,EC,5,EA,9125869,2023-08-15,closed,
4500000027,00010,2023-07-27,NB,V401,SP-001,EC,4,EA,3395887,2023-08-06,closed,
4500000028,00010,2023-07-27,NB,V402,SP-004,EC,4,EA,631803,2023-08-17,closed,
4500000029,00010,2023-07-28,NB,V401,SP-007,EC,4,EA,809875,2023-08-07,closed,
4500000030,00010,2023-07-30,NB,V301,FU-001,EC,8000,L,13426,2023-08-04,closed,
4500000031,00010,2023-08-02,NB,V401,SP-005,EC,4,EA,447452,2023-08-12,closed,
4500000032,00010,2023-08-04,NB,V201,AC-002,EC,42,KG,611730,2023-08-25,closed,
4500000033,00010,2023-08-05,NB,V301,FU-001,EC,8000,L,13792,2023-08-10,closed,
4500000034,00010,2023-08-10,NB,V301,FU-001,EC,8000,L,13402,2023-08-15,closed,
4500000035,00010,2023-08-11,NB,V401,SP-003,EC,5,EA,4048565,2023-08-21,closed,
4500000036,00010,2023-08-12,NB,V201,AC-003,EC,100,L,91923,2023-09-02,closed,
4500000037,00010,2023-08-13,NB,V102,FE-004,EC,12650,KG,22634,2023-09-17,closed,
4500000038,00010,2023-08-16,RUSH,V900,AC-001,EC,200,L,89899,2023-08-18,closed,
4500000039,00010,2023-08-16,NB,V102,FE-004,EC,12650,KG,21767,2023-09-20,closed,
4500000040,00010,2023-08-16,NB,V301,FU-001,EC,8000,L,13637,2023-08-21,closed,
4500000041,00010,2023-08-16,NB,V402,SP-008,EC,4,EA,2833726,2023-09-06,closed,
4500000042,00010,2023-08-17,RUSH,V900,AC-001,EC,200,L,86100,2023-08-19,closed,
4500000043,00010,2023-08-18,NB,V101,FE-001,EC,234800,KG,8749,2023-09-17,closed,
4500000044,00010,2023-08-18,NB,V101,FE-002,EC,89950,KG,7724,2023-09-17,closed,
4500000045,00010,2023-08-19,NB,V102,FE-004,EC,12650,KG,22392,2023-09-23,closed,
4500000046,00010,2023-08-19,NB,V402,SP-004,EC,4,EA,646232,2023-09-09,closed,
4500000047,00010,2023-08-20,NB,V103,FE-003,EC,86700,KG,4518,2023-09-17,closed,
4500000048,00010,2023-08-21,RUSH,V900,AC-001,EC,200,L,88031,2023-08-23,closed,
4500000049,00010,2023-08-21,NB,V101,FE-001,EC,234800,KG,8566,2023-09-20,closed,
4500000050,00010,2023-08-21,NB,V101,FE-002,EC,89950,KG,7431,2023-09-20,closed,
4500000051,00010,2023-08-22,RUSH,V900,AC-002,EC,5,KG,769013,2023-08-24,closed,
4500000052,00010,2023-08-22,NB,V201,AC-004,EC,5,KG,45941,2023-09-12,closed,
4500000053,00010,2023-08-22,NB,V102,FE-004,EC,12650,KG,22106,2023-09-26,closed,
4500000054,00010,2023-08-22,NB,V301,FU-001,EC,8000,L,13709,2023-08-27,closed,
4500000055,00010,2023-08-22,RUSH,V900,SP-004,EC,1,EA,926615,2023-08-24,closed,
4500000056,00010,2023-08-23,NB,V103,FE-003,EC,86700,KG,4496,2023-09-20,closed,
4500000057,00010,2023-08-23,RUSH,V900,SP-004,EC,1,EA,906366,2023-08-25,closed,
4500000058,00010,2023-08-24,NB,V101,FE-001,EC,234800,KG,8298,2023-09-23,closed,
4500000059,00010,2023-08-24,NB,V101,FE-002,EC,89950,KG,7356,2023-09-23,closed,
4500000060,00010,2023-08-25,NB,V102,FE-004,EC,12650,KG,21481,2023-09-29,closed,
4500000061,00010,2023-08-26,NB,V103,FE-003,EC,86700,KG,4368,2023-09-23,closed,
4500000062,00010,2023-08-27,NB,V101,FE-001,EC,234800,KG,8329,2023-09-26,closed,
4500000063,00010,2023-08-27,NB,V101,FE-002,EC,89950,KG,7523,2023-09-26,closed,
4500000064,00010,2023-08-28,NB,V201,AC-001,EC,2900,L,68418,2023-09-18,closed,
4500000065,00010,2023-08-28,NB,V102,FE-004,EC,12650,KG,22428,2023-10-02,closed,
4500000066,00010,2023-08-28,NB,V301,FU-001,EC,8000,L,13671,2023-09-02,closed,
4500000067,00010,2023-08-29,NB,V103,FE-003,EC,86700,KG,4390,2023-09-26,closed,
4500000068,00010,2023-08-29,NB,V401,SP-001,EC,4,EA,3414677,2023-09-08,closed,
4500000069,00010,2023-08-30,NB,V101,FE-001,EC,234800,KG,8681,2023-09-29,closed,vessel_missed
4500000070,00010,2023-08-30,NB,V101,FE-002,EC,89950,KG,7548,2023-09-29,closed,
4500000071,00010,2023-08-31,NB,V402,SP-002,EC,5,EA,9130741,2023-09-21,closed,
4500000072,00010,2023-09-01,NB,V103,FE-003,EC,86700,KG,4412,2023-09-29,closed,
4500000073,00010,2023-09-02,NB,V201,AC-002,EC,42,KG,611827,2023-09-23,closed,
4500000074,00010,2023-09-02,NB,V101,FE-001,EC,234800,KG,8674,2023-10-02,closed,
4500000075,00010,2023-09-02,NB,V101,FE-002,EC,89950,KG,7291,2023-10-02,closed,
4500000076,00010,2023-09-02,NB,V301,FU-001,EC,8000,L,13585,2023-09-07,closed,
4500000077,00010,2023-09-04,NB,V103,FE-003,EC,86700,KG,4496,2023-10-02,closed,
4500000078,00010,2023-09-04,NB,V401,SP-003,EC,5,EA,4043266,2023-09-14,closed,
4500000079,00010,2023-09-04,NB,V401,SP-007,EC,4,EA,820064,2023-09-14,closed,
4500000080,00010,2023-09-05,NB,V101,FE-001,EC,234800,KG,8603,2023-10-05,closed,
4500000081,00010,2023-09-05,NB,V101,FE-002,EC,89950,KG,7672,2023-10-05,closed,
4500000082,00010,2023-09-07,NB,V103,FE-003,EC,86700,KG,4504,2023-10-05,closed,
4500000083,00010,2023-09-08,NB,V101,FE-001,EC,234800,KG,8643,2023-10-08,closed,vessel_missed
4500000084,00010,2023-09-08,NB,V101,FE-002,EC,89950,KG,7637,2023-10-08,closed,
4500000085,00010,2023-09-08,NB,V301,FU-001,EC,8000,L,13688,2023-09-13,closed,
4500000086,00010,2023-09-11,NB,V101,FE-001,EC,234800,KG,8523,2023-10-11,closed,vessel_missed
4500000087,00010,2023-09-11,NB,V101,FE-002,EC,89950,KG,7441,2023-10-11,closed,
4500000088,00010,2023-09-13,NB,V401,SP-001,EC,4,EA,3522455,2023-09-23,closed,
4500000089,00010,2023-09-14,NB,V101,FE-001,EC,234800,KG,8446,2023-10-14,closed,
4500000090,00010,2023-09-14,NB,V301,FU-001,EC,8000,L,13153,2023-09-19,closed,
4500000091,00010,2023-09-16,NB,V401,SP-005,EC,4,EA,445870,2023-09-26,closed,
4500000092,00010,2023-09-17,NB,V101,FE-001,EC,234800,KG,8699,2023-10-17,closed,
4500000093,00010,2023-09-19,NB,V402,SP-008,EC,4,EA,2846689,2023-10-10,closed,
4500000094,00010,2023-09-20,NB,V101,FE-001,EC,234800,KG,8458,2023-10-20,closed,
4500000095,00010,2023-09-20,NB,V301,FU-001,EC,8000,L,13552,2023-09-25,closed,
4500000096,00010,2023-09-21,NB,V402,SP-004,EC,4,EA,632734,2023-10-12,closed,
4500000097,00010,2023-09-23,NB,V101,FE-001,EC,234800,KG,8357,2023-10-23,closed,vessel_missed
4500000098,00010,2023-09-26,NB,V101,FE-001,EC,234800,KG,8716,2023-10-26,closed,
4500000099,00010,2023-09-26,NB,V301,FU-001,EC,8000,L,13660,2023-10-01,closed,
4500000100,00010,2023-09-30,NB,V201,AC-001,EC,2900,L,71032,2023-10-21,closed,
4500000101,00010,2023-10-02,NB,V301,FU-001,EC,8000,L,13412,2023-10-07,closed,
4500000102,00010,2023-10-03,NB,V401,SP-003,EC,5,EA,3972688,2023-10-13,closed,
4500000103,00010,2023-10-04,NB,V402,SP-004,EC,4,EA,656435,2023-10-25,closed,
4500000104,00010,2023-10-04,NB,V401,SP-007,EC,4,EA,781221,2023-10-14,closed,
4500000105,00010,2023-10-05,NB,V402,SP-006,EC,4,EA,1215051,2023-10-26,closed,
4500000106,00010,2023-10-07,NB,V201,AC-003,EC,100,L,91473,2023-10-28,closed,
4500000107,00010,2023-10-07,NB,V301,FU-001,EC,8000,L,13689,2023-10-12,closed,
4500000108,00010,2023-10-09,NB,V402,SP-002,EC,5,EA,8956466,2023-10-30,closed,
4500000109,00010,2023-10-13,NB,V301,FU-001,EC,8000,L,13896,2023-10-18,closed,
4500000110,00010,2023-10-14,NB,V401,SP-007,EC,4,EA,799396,2023-10-24,closed,
4500000111,00010,2023-10-15,RUSH,V900,SP-004,EC,1,EA,898213,2023-10-17,closed,
4500000112,00010,2023-10-15,RUSH,V900,SP-007,EC,1,EA,1113139,2023-10-17,closed,
4500000113,00010,2023-10-19,NB,V301,FU-001,EC,8000,L,13680,2023-10-24,closed,
4500000114,00010,2023-10-24,RUSH,V900,SP-002,EC,1,EA,12753843,2023-10-26,closed,
4500000115,00010,2023-10-25,NB,V301,FU-001,EC,8000,L,13490,2023-10-30,closed,
4500000116,00010,2023-10-25,NB,V402,SP-002,EC,5,EA,9262567,2023-11-15,closed,
4500000117,00010,2023-10-26,NB,V401,SP-001,EC,4,EA,3570535,2023-11-05,closed,
4500000118,00010,2023-10-27,NB,V201,AC-002,EC,42,KG,613270,2023-11-17,closed,
4500000119,00010,2023-10-27,RUSH,V900,SP-002,EC,1,EA,12318506,2023-10-29,closed,
4500000120,00010,2023-10-28,NB,V401,SP-005,EC,4,EA,446130,2023-11-07,closed,
4500000121,00010,2023-10-31,NB,V301,FU-001,EC,8000,L,13116,2023-11-05,closed,
4500000122,00010,2023-11-02,NB,V201,AC-001,EC,2900,L,71490,2023-11-23,closed,
4500000123,00010,2023-11-04,NB,V401,SP-003,EC,5,EA,4068014,2023-11-14,closed,
4500000124,00010,2023-11-04,NB,V402,SP-004,EC,4,EA,649779,2023-11-25,closed,
4500000125,00010,2023-11-06,NB,V301,FU-001,EC,8000,L,13886,2023-11-11,closed,
4500000126,00010,2023-11-08,RUSH,V900,AC-002,EC,5,KG,739704,2023-11-10,closed,
4500000127,00010,2023-11-11,NB,V301,FU-001,EC,8000,L,13124,2023-11-16,closed,
4500000128,00010,2023-11-12,RUSH,V900,AC-002,EC,5,KG,740670,2023-11-14,closed,
4500000129,00010,2023-11-13,NB,V402,SP-008,EC,4,EA,2765619,2023-12-04,closed,wet_season
4500000130,00010,2023-11-14,NB,V401,SP-005,EC,4,EA,450579,2023-11-24,closed,
4500000131,00010,2023-11-15,RUSH,V900,AC-002,EC,5,KG,759691,2023-11-17,closed,
4500000132,00010,2023-11-17,NB,V201,AC-003,EC,100,L,89846,2023-12-08,closed,wet_season
4500000133,00010,2023-11-18,NB,V301,FU-001,EC,8000,L,13879,2023-11-23,closed,
4500000134,00010,2023-11-20,RUSH,V900,AC-002,EC,5,KG,756023,2023-11-22,closed,
4500000135,00010,2023-11-21,NB,V401,SP-007,EC,4,EA,800286,2023-12-01,closed,wet_season
4500000136,00010,2023-11-22,NB,V402,SP-006,EC,4,EA,1233966,2023-12-13,closed,wet_season
4500000137,00010,2023-11-23,NB,V401,SP-005,EC,4,EA,450535,2023-12-03,closed,wet_season
4500000138,00010,2023-11-24,NB,V301,FU-001,EC,8000,L,13202,2023-11-29,closed,
4500000139,00010,2023-11-24,NB,V402,SP-002,EC,5,EA,9168388,2023-12-15,closed,wet_season
4500000140,00010,2023-11-28,RUSH,V900,AC-001,EC,200,L,84898,2023-11-30,closed,
4500000141,00010,2023-11-28,RUSH,V900,AC-002,EC,5,KG,738020,2023-11-30,closed,
4500000142,00010,2023-11-29,RUSH,V900,AC-001,EC,200,L,87205,2023-12-01,closed,
4500000143,00010,2023-11-29,NB,V401,SP-001,EC,4,EA,3581070,2023-12-09,closed,wet_season
4500000144,00010,2023-11-29,NB,V401,SP-003,EC,5,EA,4032381,2023-12-09,closed,wet_season
4500000145,00010,2023-11-29,NB,V402,SP-004,EC,4,EA,641390,2023-12-20,closed,wet_season
4500000146,00010,2023-11-30,NB,V301,FU-001,EC,8000,L,13339,2023-12-05,closed,wet_season
4500000147,00010,2023-12-04,RUSH,V900,AC-001,EC,200,L,85190,2023-12-06,closed,
4500000148,00010,2023-12-06,NB,V301,FU-001,EC,8000,L,13197,2023-12-11,closed,wet_season
4500000149,00010,2023-12-10,RUSH,V900,SP-003,EC,1,EA,5467722,2023-12-12,closed,
4500000150,00010,2023-12-12,NB,V201,AC-001,EC,2900,L,69429,2024-01-02,closed,wet_season
4500000151,00010,2023-12-12,NB,V301,FU-001,EC,8000,L,13388,2023-12-17,closed,wet_season
4500000152,00010,2023-12-13,RUSH,V900,AC-003,EC,20,L,111804,2023-12-15,closed,
4500000153,00010,2023-12-13,NB,V401,SP-003,EC,5,EA,4025551,2023-12-23,closed,wet_season
4500000154,00010,2023-12-13,NB,V402,SP-008,EC,4,EA,2762366,2024-01-03,closed,wet_season
4500000155,00010,2023-12-16,NB,V401,SP-007,EC,4,EA,820463,2023-12-26,closed,wet_season
4500000156,00010,2023-12-18,NB,V301,FU-001,EC,8000,L,13445,2023-12-23,closed,wet_season
4500000157,00010,2023-12-20,RUSH,V900,SP-006,EC,1,EA,1630881,2023-12-22,closed,
4500000158,00010,2023-12-21,NB,V402,SP-006,EC,4,EA,1224634,2024-01-11,closed,wet_season
4500000159,00010,2023-12-24,NB,V301,FU-001,EC,8000,L,13523,2023-12-29,closed,wet_season
4500000160,00010,2023-12-25,RUSH,V900,SP-006,EC,1,EA,1689919,2023-12-27,closed,
4500000161,00010,2023-12-30,NB,V301,FU-001,EC,8000,L,13602,2024-01-04,closed,wet_season
4500000162,00010,2024-01-03,NB,V201,AC-002,EC,42,KG,583213,2024-01-24,closed,wet_season
4500000163,00010,2024-01-04,NB,V402,SP-004,EC,4,EA,658256,2024-01-25,closed,wet_season
4500000164,00010,2024-01-04,NB,V401,SP-005,EC,4,EA,442179,2024-01-14,closed,wet_season
4500000165,00010,2024-01-04,NB,V402,SP-006,EC,4,EA,1179934,2024-01-25,closed,wet_season
4500000166,00010,2024-01-05,NB,V201,AC-004,EC,5,KG,44950,2024-01-26,closed,wet_season
4500000167,00010,2024-01-05,NB,V301,FU-001,EC,8000,L,13217,2024-01-10,closed,wet_season
4500000168,00010,2024-01-08,NB,V201,AC-003,EC,100,L,92394,2024-01-29,closed,wet_season
4500000169,00010,2024-01-11,NB,V301,FU-001,EC,8000,L,13419,2024-01-16,closed,wet_season
4500000170,00010,2024-01-12,NB,V102,FE-004,EC,13375,KG,22545,2024-02-16,closed,wet_season
4500000171,00010,2024-01-12,NB,V401,SP-007,EC,4,EA,781042,2024-01-22,closed,wet_season
4500000172,00010,2024-01-15,NB,V102,FE-004,EC,13375,KG,22110,2024-02-19,closed,wet_season
4500000173,00010,2024-01-16,NB,V402,SP-002,EC,5,EA,8925116,2024-02-06,closed,wet_season
4500000174,00010,2024-01-16,NB,V402,SP-004,EC,4,EA,648318,2024-02-06,closed,wet_season
4500000175,00010,2024-01-17,NB,V101,FE-001,EC,238150,KG,8583,2024-02-16,closed,wet_season
4500000176,00010,2024-01-17,NB,V101,FE-002,EC,90000,KG,7513,2024-02-16,closed,wet_season
4500000177,00010,2024-01-17,NB,V301,FU-001,EC,8000,L,13265,2024-01-22,closed,wet_season
4500000178,00010,2024-01-18,NB,V102,FE-004,EC,13375,KG,21442,2024-02-22,closed,wet_season
4500000179,00010,2024-01-19,NB,V103,FE-003,EC,86800,KG,4408,2024-02-16,closed,wet_season
4500000180,00010,2024-01-19,NB,V401,SP-005,EC,4,EA,459284,2024-01-29,closed,wet_season
4500000181,00010,2024-01-20,NB,V101,FE-001,EC,238150,KG,8693,2024-02-19,closed,wet_season
4500000182,00010,2024-01-20,NB,V101,FE-002,EC,90000,KG,7293,2024-02-19,closed,vessel_missed
4500000183,00010,2024-01-21,NB,V102,FE-004,EC,13375,KG,22483,2024-02-25,closed,wet_season
4500000184,00010,2024-01-22,NB,V103,FE-003,EC,86800,KG,4430,2024-02-19,closed,wet_season
4500000185,00010,2024-01-23,NB,V101,FE-001,EC,238150,KG,8502,2024-02-22,closed,vessel_missed
4500000186,00010,2024-01-23,NB,V101,FE-002,EC,90000,KG,7461,2024-02-22,closed,wet_season
4500000187,00010,2024-01-23,NB,V301,FU-001,EC,8000,L,13704,2024-01-28,closed,wet_season
4500000188,00010,2024-01-24,NB,V102,FE-004,EC,13375,KG,21992,2024-02-28,closed,wet_season
4500000189,00010,2024-01-24,NB,V402,SP-008,EC,4,EA,2744289,2024-02-14,closed,wet_season
4500000190,00010,2024-01-25,NB,V103,FE-003,EC,86800,KG,4410,2024-02-22,closed,wet_season
4500000191,00010,2024-01-26,NB,V101,FE-001,EC,238150,KG,8632,2024-02-25,closed,vessel_missed
4500000192,00010,2024-01-26,NB,V101,FE-002,EC,90000,KG,7348,2024-02-25,closed,wet_season
4500000193,00010,2024-01-27,NB,V201,AC-001,EC,2900,L,69216,2024-02-17,closed,wet_season
4500000194,00010,2024-01-28,NB,V103,FE-003,EC,86800,KG,4609,2024-02-25,closed,wet_season
4500000195,00010,2024-01-29,NB,V101,FE-001,EC,238150,KG,8559,2024-02-28,closed,wet_season
4500000196,00010,2024-01-29,NB,V101,FE-002,EC,90000,KG,7625,2024-02-28,closed,vessel_missed
4500000197,00010,2024-01-30,NB,V301,FU-001,EC,8000,L,13132,2024-02-04,closed,wet_season
4500000198,00010,2024-01-30,RUSH,V900,SP-006,EC,1,EA,1728886,2024-02-01,closed,
4500000199,00010,2024-01-31,NB,V103,FE-003,EC,86800,KG,4551,2024-02-28,closed,wet_season
4500000200,00010,2024-02-01,NB,V101,FE-001,EC,238150,KG,8582,2024-03-02,closed,wet_season
4500000201,00010,2024-02-01,NB,V101,FE-002,EC,90000,KG,7400,2024-03-02,closed,wet_season
4500000202,00010,2024-02-03,NB,V103,FE-003,EC,86800,KG,4498,2024-03-02,closed,wet_season
4500000203,00010,2024-02-04,NB,V101,FE-001,EC,238150,KG,8660,2024-03-05,closed,wet_season
4500000204,00010,2024-02-04,NB,V101,FE-002,EC,90000,KG,7683,2024-03-05,closed,wet_season
4500000205,00010,2024-02-04,NB,V301,FU-001,EC,8000,L,13433,2024-02-09,closed,wet_season
4500000206,00010,2024-02-06,RUSH,V900,SP-004,EC,1,EA,907799,2024-02-08,closed,
4500000207,00010,2024-02-07,NB,V101,FE-001,EC,238150,KG,8539,2024-03-08,closed,wet_season
4500000208,00010,2024-02-07,NB,V101,FE-002,EC,90000,KG,7278,2024-03-08,closed,wet_season
4500000209,00010,2024-02-08,NB,V401,SP-003,EC,5,EA,3928773,2024-02-18,closed,wet_season
4500000210,00010,2024-02-09,NB,V401,SP-001,EC,4,EA,3556533,2024-02-19,closed,wet_season
4500000211,00010,2024-02-10,NB,V101,FE-001,EC,238150,KG,8267,2024-03-11,closed,wet_season
4500000212,00010,2024-02-10,NB,V301,FU-001,EC,8000,L,13187,2024-02-15,closed,wet_season
4500000213,00010,2024-02-13,NB,V101,FE-001,EC,238150,KG,8344,2024-03-14,closed,wet_season
4500000214,00010,2024-02-16,NB,V101,FE-001,EC,238150,KG,8345,2024-03-17,closed,wet_season
4500000215,00010,2024-02-16,NB,V301,FU-001,EC,8000,L,13626,2024-02-21,closed,wet_season
4500000216,00010,2024-02-17,NB,V402,SP-008,EC,4,EA,2783034,2024-03-09,closed,wet_season
4500000217,00010,2024-02-19,NB,V101,FE-001,EC,238150,KG,8642,2024-03-20,closed,wet_season
4500000218,00010,2024-02-21,NB,V301,FU-001,EC,8000,L,13258,2024-02-26,closed,wet_season
4500000219,00010,2024-02-24,NB,V201,AC-002,EC,42,KG,590692,2024-03-16,closed,wet_season
4500000220,00010,2024-02-27,NB,V301,FU-001,EC,8000,L,13431,2024-03-03,closed,wet_season
4500000221,00010,2024-02-29,NB,V402,SP-006,EC,4,EA,1168169,2024-03-21,closed,wet_season
4500000222,00010,2024-03-01,NB,V401,SP-003,EC,5,EA,3975969,2024-03-11,closed,wet_season
4500000223,00010,2024-03-04,NB,V301,FU-001,EC,8000,L,13577,2024-03-09,closed,wet_season
4500000224,00010,2024-03-05,NB,V201,AC-001,EC,2900,L,71463,2024-03-26,closed,wet_season
4500000225,00010,2024-03-06,NB,V201,AC-003,EC,100,L,90191,2024-03-27,closed,wet_season
4500000226,00010,2024-03-07,NB,V402,SP-008,EC,4,EA,2860475,2024-03-28,closed,wet_season
4500000227,00010,2024-03-09,NB,V301,FU-001,EC,8000,L,13866,2024-03-14,closed,wet_season
4500000228,00010,2024-03-09,NB,V401,SP-005,EC,4,EA,450516,2024-03-19,closed,wet_season
4500000229,00010,2024-03-11,NB,V401,SP-007,EC,4,EA,795543,2024-03-21,closed,wet_season
4500000230,00010,2024-03-13,NB,V402,SP-004,EC,4,EA,660565,2024-04-03,closed,
4500000231,00010,2024-03-14,RUSH,V900,FE-001,EC,10000,KG,11140,2024-03-16,closed,
4500000232,00010,2024-03-15,RUSH,V900,FE-001,EC,10000,KG,10785,2024-03-17,closed,
4500000233,00010,2024-03-15,RUSH,V900,FE-001,EC,10000,KG,10744,2024-03-17,closed,
4500000234,00010,2024-03-15,RUSH,V900,FE-001,EC,20000,KG,11325,2024-03-17,closed,
4500000235,00010,2024-03-15,RUSH,V900,FE-001,EC,10000,KG,11349,2024-03-17,closed,
4500000236,00010,2024-03-15,RUSH,V900,FE-001,EC,10000,KG,10933,2024-03-17,closed,
4500000237,00010,2024-03-15,NB,V301,FU-001,EC,8000,L,13446,2024-03-20,closed,wet_season
4500000238,00010,2024-03-16,RUSH,V900,FE-001,EC,20000,KG,10976,2024-03-18,closed,
4500000239,00010,2024-03-16,RUSH,V900,FE-001,EC,10000,KG,11207,2024-03-18,closed,
4500000240,00010,2024-03-18,NB,V401,SP-001,EC,4,EA,3589228,2024-03-28,closed,wet_season
4500000241,00010,2024-03-19,RUSH,V900,AC-002,EC,10,KG,768371,2024-03-21,closed,
4500000242,00010,2024-03-20,NB,V401,SP-003,EC,5,EA,4068404,2024-03-30,closed,wet_season
4500000243,00010,2024-03-21,NB,V301,FU-001,EC,8000,L,13133,2024-03-26,closed,wet_season
4500000244,00010,2024-03-24,RUSH,V900,SP-008,EC,1,EA,3880180,2024-03-26,closed,
4500000245,00010,2024-03-26,NB,V402,SP-002,EC,5,EA,9194712,2024-04-16,closed,
4500000246,00010,2024-03-28,NB,V301,FU-001,EC,8000,L,13895,2024-04-02,closed,
4500000247,00010,2024-03-29,RUSH,V900,AC-003,EC,20,L,113687,2024-03-31,closed,
4500000248,00010,2024-04-03,NB,V301,FU-001,EC,8000,L,13148,2024-04-08,closed,
4500000249,00010,2024-04-04,NB,V402,SP-004,EC,4,EA,639290,2024-04-25,closed,
4500000250,00010,2024-04-09,NB,V301,FU-001,EC,8000,L,13370,2024-04-14,closed,
4500000251,00010,2024-04-12,NB,V401,SP-003,EC,5,EA,4098702,2024-04-22,closed,
4500000252,00010,2024-04-15,NB,V301,FU-001,EC,8000,L,13138,2024-04-20,closed,
4500000253,00010,2024-04-18,NB,V402,SP-006,EC,4,EA,1170260,2024-05-09,closed,
4500000254,00010,2024-04-21,NB,V301,FU-001,EC,8000,L,13693,2024-04-26,closed,
4500000255,00010,2024-04-23,NB,V401,SP-005,EC,4,EA,446469,2024-05-03,closed,
4500000256,00010,2024-04-23,NB,V402,SP-008,EC,4,EA,2721600,2024-05-14,closed,
4500000257,00010,2024-04-26,NB,V201,AC-003,EC,100,L,92375,2024-05-17,closed,
4500000258,00010,2024-04-26,NB,V301,FU-001,EC,8000,L,13901,2024-05-01,closed,
4500000259,00010,2024-04-27,NB,V401,SP-001,EC,4,EA,3560123,2024-05-07,closed,
4500000260,00010,2024-05-02,NB,V301,FU-001,EC,8000,L,13498,2024-05-07,closed,
4500000261,00010,2024-05-04,NB,V201,AC-001,EC,2900,L,68314,2024-05-25,closed,
4500000262,00010,2024-05-04,NB,V401,SP-003,EC,5,EA,3968838,2024-05-14,closed,
4500000263,00010,2024-05-09,NB,V301,FU-001,EC,8000,L,13727,2024-05-14,closed,
4500000264,00010,2024-05-09,NB,V402,SP-002,EC,5,EA,8831656,2024-05-30,closed,
4500000265,00010,2024-05-13,NB,V401,SP-001,EC,4,EA,3534240,2024-05-23,closed,
4500000266,00010,2024-05-15,NB,V301,FU-001,EC,8000,L,13873,2024-05-20,closed,
4500000267,00010,2024-05-16,NB,V201,AC-002,EC,42,KG,586501,2024-06-06,closed,
4500000268,00010,2024-05-17,NB,V402,SP-006,EC,4,EA,1223849,2024-06-07,closed,
4500000269,00010,2024-05-17,NB,V401,SP-007,EC,4,EA,782039,2024-05-27,closed,
4500000270,00010,2024-05-20,NB,V301,FU-001,EC,8000,L,13872,2024-05-25,closed,
4500000271,00010,2024-05-23,NB,V402,SP-008,EC,4,EA,2767602,2024-06-13,closed,
4500000272,00010,2024-05-24,NB,V402,SP-004,EC,4,EA,638307,2024-06-14,closed,
4500000273,00010,2024-05-27,NB,V301,FU-001,EC,8000,L,13486,2024-06-01,closed,
