# SYNTHETIC. Palm census. NO table in the 138-table EPMS schema can hold an infected palm, and the only proxy in the export - grading deductions - is degenerate at 0.25% mean. This entire domain is invented. Ganoderma is generated as decaying foci rather than scattered at random, because that is how basal stem rot actually spreads and a random map would be obviously false.
round,census_date,division_code,block_code,palms_planted,palms_inspected,coverage_pct,ganoderma_confirmed,ganoderma_suspect,beetle_damaged,rat_damaged,palms_felled
R3,2025-05-15,1,29,3981,3492,87.7,110,199,68,21,34
R1,2024-11-15,1,30,3792,3588,94.6,98,181,29,21,41
R2,2025-02-15,1,30,3792,2646,69.8,82,164,25,15,5
R3,2025-05-15,1,30,3792,3513,92.7,123,178,37,20,5
R1,2024-11-15,1,31,3897,3444,88.4,45,85,56,35,12
R2,2025-02-15,1,31,3897,2968,76.2,44,69,55,30,8
R3,2025-05-15,1,31,3897,3232,83.0,54,90,67,33,4
R1,2024-11-15,1,32,3819,2651,69.4,19,40,38,9,8
R2,2025-02-15,1,32,3819,3323,87.0,28,39,55,11,0
R3,2025-05-15,1,32,3819,2807,73.5,26,42,52,9,4
R1,2024-11-15,1,33,4201,3732,88.9,45,94,54,27,13
R2,2025-02-15,1,33,4201,3778,89.9,52,88,62,28,17
R3,2025-05-15,1,33,4201,3695,88.0,57,88,69,27,25
R1,2024-11-15,1,34,3881,3339,86.0,25,46,25,0,10
R2,2025-02-15,1,34,3881,3241,83.5,27,46,28,0,11
R3,2025-05-15,1,34,3881,2667,68.7,25,39,26,0,1
R1,2024-11-15,1,35,4389,3638,82.9,23,46,85,23,8
R2,2025-02-15,1,35,4389,3237,73.8,23,48,86,20,6
R3,2025-05-15,1,35,4389,3460,78.9,28,53,103,22,8
R1,2024-11-15,1,36,4013,3812,95.0,14,22,66,35,4
R2,2025-02-15,1,36,4013,2562,63.9,11,22,51,24,0
R3,2025-05-15,1,36,4013,2502,62.4,12,17,56,23,4
R1,2024-11-15,1,37,4094,2898,70.8,14,29,35,11,3
R2,2025-02-15,1,37,4094,2839,69.4,16,28,39,11,6
R3,2025-05-15,1,37,4094,2780,67.9,17,34,43,11,3
R1,2024-11-15,1,38,3951,2486,62.9,2,3,19,21,0
R2,2025-02-15,1,38,3951,2821,71.4,3,6,25,24,0
R3,2025-05-15,1,38,3951,3366,85.2,4,6,34,29,1
R1,2024-11-15,1,39,4108,2957,72.0,15,28,48,30,5
R2,2025-02-15,1,39,4108,3547,86.4,21,29,66,37,9
R3,2025-05-15,1,39,4108,3538,86.1,23,47,73,36,5
R1,2024-11-15,2,40,2419,1519,62.8,6,11,21,2,0
R2,2025-02-15,2,40,2419,1610,66.6,8,13,25,2,1
R3,2025-05-15,2,40,2419,1619,66.9,9,17,28,2,3
R1,2024-11-15,2,41,3546,3353,94.6,28,47,41,1,4
R2,2025-02-15,2,41,3546,2858,80.6,27,41,40,1,0
R3,2025-05-15,2,41,3546,3381,95.3,36,66,53,1,3
R1,2024-11-15,2,42,3937,2547,64.7,8,15,41,12,1
R2,2025-02-15,2,42,3937,3389,86.1,12,23,63,16,2
R3,2025-05-15,2,42,3937,2757,70.0,11,23,58,13,1
R1,2024-11-15,2,43,4081,2756,67.5,8,14,34,18,0
R2,2025-02-15,2,43,4081,3481,85.3,12,17,49,23,2
R3,2025-05-15,2,43,4081,2835,69.5,11,22,45,19,2
R1,2024-11-15,2,44,3707,3066,82.7,23,38,35,5,7
R2,2025-02-15,2,44,3707,2653,71.6,23,48,34,4,1
R3,2025-05-15,2,44,3707,2336,63.0,22,31,34,4,0
R1,2024-11-15,2,45,3815,2996,78.5,36,74,13,15,13
R2,2025-02-15,2,45,3815,2428,63.7,33,61,12,12,11
R3,2025-05-15,2,45,3815,2908,76.3,45,93,16,15,5
R1,2024-11-15,2,46,4059,3615,89.1,28,41,39,7,3
R2,2025-02-15,2,46,4059,3144,77.5,27,56,39,6,1
R3,2025-05-15,2,46,4059,2551,62.9,25,47,35,5,2
R1,2024-11-15,2,47,4050,2905,71.7,16,30,34,0,5
R2,2025-02-15,2,47,4050,3442,85.0,21,38,46,0,8
R3,2025-05-15,2,47,4050,3608,89.1,25,44,54,0,1
R1,2024-11-15,2,49,3490,2646,75.8,11,21,39,4,4
R2,2025-02-15,2,49,3490,2683,76.9,13,25,45,4,1
R3,2025-05-15,2,49,3490,2282,65.4,12,20,43,3,0
R1,2024-11-15,2,50,3655,3452,94.5,16,32,27,4,1
R2,2025-02-15,2,50,3655,2796,76.5,15,27,25,3,4
R3,2025-05-15,2,50,3655,2788,76.3,17,24,28,3,3
R1,2024-11-15,2,51,3946,3707,94.0,16,33,50,16,2
R2,2025-02-15,2,51,3946,3155,80.0,16,27,49,13,1
R3,2025-05-15,2,51,3946,3189,80.8,18,30,55,13,7
R1,2024-11-15,2,52,3507,3185,90.8,15,27,60,4,2
R2,2025-02-15,2,52,3507,3085,88.0,16,26,66,4,5
R3,2025-05-15,2,52,3507,3137,89.5,19,38,76,4,0
R1,2024-11-15,2,53,4005,3545,88.5,14,27,36,6,3
R2,2025-02-15,2,53,4005,3624,90.5,16,28,42,6,6
R3,2025-05-15,2,53,4005,3478,86.9,18,26,45,5,1
R1,2024-11-15,2,54,4046,2734,67.6,9,16,33,18,1
R2,2025-02-15,2,54,4046,3296,81.5,12,21,45,22,3
R3,2025-05-15,2,54,4046,3663,90.5,15,21,56,25,1
R1,2024-11-15,2,55,4121,2909,70.6,15,29,47,8,1
R2,2025-02-15,2,55,4121,3806,92.4,22,42,70,11,2
R3,2025-05-15,2,55,4121,3357,81.5,22,39,69,9,6
R1,2024-11-15,2,56,4163,2603,62.5,0,0,38,26,0
R2,2025-02-15,2,56,4163,2677,64.3,0,0,45,27,0
R3,2025-05-15,2,56,4163,3270,78.6,0,0,61,33,0
R1,2024-11-15,2,57,4103,3686,89.8,15,31,53,35,5
R2,2025-02-15,2,57,4103,3383,82.5,16,22,56,32,0
R3,2025-05-15,2,57,4103,3151,76.8,17,28,58,29,0
R1,2024-11-15,2,58,3959,3623,91.5,24,40,36,33,6
R2,2025-02-15,2,58,3959,2455,62.0,18,36,28,22,6
R3,2025-05-15,2,58,3959,3132,79.1,26,43,40,29,9
R1,2024-11-15,2,59,4392,3788,86.2,7,14,48,38,0
R2,2025-02-15,2,59,4392,3364,76.6,8,11,49,34,3
R3,2025-05-15,2,59,4392,3799,86.5,10,14,62,38,1
R1,2024-11-15,2,60,4239,3204,75.6,7,15,12,32,0
R2,2025-02-15,2,60,4239,3231,76.2,8,12,14,32,1
R3,2025-05-15,2,60,4239,3213,75.8,9,17,16,32,2
R1,2024-11-15,2,62,2642,2350,89.0,1,2,36,0,0
R2,2025-02-15,2,62,2642,1825,69.1,1,2,31,0,0
R3,2025-05-15,2,62,2642,1989,75.3,1,2,39,0,0
R1,2024-11-15,2,63,4281,3431,80.2,13,21,18,6,2
R2,2025-02-15,2,63,4281,3513,82.1,16,27,21,6,2
R3,2025-05-15,2,63,4281,3696,86.3,18,31,25,7,2
R1,2024-11-15,2,64,3244,2429,74.9,11,17,38,13,2
R2,2025-02-15,2,64,3244,2244,69.2,11,19,40,12,1
R3,2025-05-15,2,64,3244,2041,62.9,11,24,41,10,3
R1,2024-11-15,2,65,2086,1872,89.8,4,7,16,2,0
R2,2025-02-15,2,65,2086,1295,62.1,3,6,12,1,0
R3,2025-05-15,2,65,2086,1544,74.0,4,6,16,1,1
R1,2024-11-15,2,66,3884,3395,87.4,26,50,44,27,6
R2,2025-02-15,2,66,3884,3726,95.9,33,56,55,30,8
R3,2025-05-15,2,66,3884,3103,79.9,31,51,52,25,7
R1,2024-11-15,2,67,3696,3114,84.3,25,49,14,6,9
R2,2025-02-15,2,67,3696,2352,63.6,22,43,12,4,0
R3,2025-05-15,2,67,3696,2966,80.3,31,47,17,5,11
R1,2024-11-15,2,68,2653,1656,62.4,19,29,25,4,2
R2,2025-02-15,2,68,2653,1937,73.0,25,41,33,5,10
R3,2025-05-15,2,68,2653,2314,87.2,34,50,45,6,8
R1,2024-11-15,2,69,3889,2795,71.9,28,43,21,21,8
R2,2025-02-15,2,69,3889,3230,83.1,37,74,28,24,8
R3,2025-05-15,2,69,3889,2593,66.7,33,68,25,19,3
R1,2024-11-15,2,70,3917,3482,88.9,49,71,48,2,17
R2,2025-02-15,2,70,3917,3533,90.2,57,90,56,2,18
R3,2025-05-15,2,70,3917,2466,63.0,44,69,43,1,13
R1,2024-11-15,2,71,3840,2809,73.2,42,66,27,21,11
R2,2025-02-15,2,71,3840,3021,78.7,52,102,34,22,5
R3,2025-05-15,2,71,3840,3294,85.8,64,94,42,24,9
R1,2024-11-15,2,72,3858,3414,88.5,44,76,61,33,2
R2,2025-02-15,2,72,3858,3512,91.1,51,101,71,34,22
R3,2025-05-15,2,72,3858,2569,66.6,42,82,58,25,5
R1,2024-11-15,2,73,4006,2519,62.9,33,56,26,22,2
R2,2025-02-15,2,73,4006,3656,91.3,56,82,43,31,20
R3,2025-05-15,2,73,4006,2868,71.6,49,69,38,25,3
R1,2024-11-15,2,74,3947,3562,90.2,28,54,49,30,5
R2,2025-02-15,2,74,3947,3407,86.3,31,55,54,28,3
R3,2025-05-15,2,74,3947,3013,76.4,30,58,53,25,10
R1,2024-11-15,2,382,3895,2562,65.8,0,0,24,1,0
R2,2025-02-15,2,382,3895,2942,75.6,0,0,31,1,0
R3,2025-05-15,2,382,3895,2561,65.8,0,0,31,1,0
R1,2024-11-15,3,75,4982,3876,77.8,184,295,57,41,62
R2,2025-02-15,3,75,4982,3508,70.4,189,290,59,37,38
R3,2025-05-15,3,75,4982,3541,71.1,215,362,67,38,46
R1,2024-11-15,3,76,3976,3696,93.0,160,227,65,15,3
R2,2025-02-15,3,76,3976,3239,81.5,160,234,64,13,44
R3,2025-05-15,3,76,3976,3758,94.5,209,431,84,15,65
R1,2024-11-15,3,77,4004,2551,63.7,114,189,28,18,28
R2,2025-02-15,3,77,4004,3492,87.2,177,270,43,24,6
R3,2025-05-15,3,77,4004,3256,81.3,186,277,45,23,12
R1,2024-11-15,3,78,3962,3683,93.0,190,372,45,27,23
R2,2025-02-15,3,78,3962,2539,64.1,149,313,35,19,28
R3,2025-05-15,3,78,3962,3128,79.0,207,378,49,23,17
R1,2024-11-15,3,79,2545,2367,93.0,104,166,27,29,33
R2,2025-02-15,3,79,2545,1756,69.0,88,141,23,21,2
R3,2025-05-15,3,79,2545,2241,88.1,127,216,33,27,56
R1,2024-11-15,3,80,1673,1040,62.2,43,76,10,8,7
R2,2025-02-15,3,80,1673,1048,62.7,49,78,11,9,15
R3,2025-05-15,3,80,1673,1276,76.3,68,106,16,11,13
R1,2024-11-15,3,81,1024,678,66.3,24,49,15,3,8
R2,2025-02-15,3,81,1024,919,89.8,38,58,23,4,2
R3,2025-05-15,3,81,1024,907,88.7,42,69,25,4,1
R1,2024-11-15,3,82,335,257,76.8,8,11,3,1,1
R2,2025-02-15,3,82,335,278,83.2,10,15,4,1,1
R3,2025-05-15,3,82,335,274,81.8,11,22,4,1,4
R1,2024-11-15,3,83,4965,4530,91.3,256,517,77,1,16
R2,2025-02-15,3,83,4965,3218,64.8,207,290,62,0,84
R3,2025-05-15,3,83,4965,4607,92.8,333,618,100,1,108
R1,2024-11-15,3,84,4547,3243,71.3,197,288,44,0,8
R2,2025-02-15,3,84,4547,4261,93.7,295,533,67,0,53
R3,2025-05-15,3,84,4547,2872,63.2,223,412,50,0,1
R1,2024-11-15,3,85,3171,2620,82.7,156,296,34,17,55
R2,2025-02-15,3,85,3171,2703,85.3,184,272,41,17,63
R3,2025-05-15,3,85,3171,2302,72.6,176,304,39,14,51
R1,2024-11-15,3,86,5011,3999,79.8,257,368,91,15,109
R2,2025-02-15,3,86,5011,3290,65.7,241,388,86,12,37
R3,2025-05-15,3,86,5011,4318,86.2,356,736,126,16,41
R1,2024-11-15,3,87,4214,3680,87.3,195,314,40,7,49
R2,2025-02-15,3,87,4214,3692,87.6,223,335,45,7,73
R3,2025-05-15,3,87,4214,3057,72.6,207,347,42,6,59
R1,2024-11-15,3,88,3650,3013,82.6,151,224,35,10,53
R2,2025-02-15,3,88,3650,3299,90.4,188,270,43,11,1
R3,2025-05-15,3,88,3650,2269,62.2,145,214,33,8,28
R1,2024-11-15,3,89,4020,3674,91.4,159,300,55,24,21
R2,2025-02-15,3,89,4020,2528,62.9,125,175,43,16,8
R3,2025-05-15,3,89,4020,3078,76.6,170,252,59,20,45
R1,2024-11-15,3,90,3666,3208,87.5,104,185,21,0,46
R2,2025-02-15,3,90,3666,2811,76.7,104,216,21,0,30
R3,2025-05-15,3,90,3666,3085,84.2,129,198,26,0,44
R1,2024-11-15,3,91,2256,1426,63.2,45,75,17,0,15
R2,2025-02-15,3,91,2256,1680,74.5,60,86,23,0,24
R3,2025-05-15,3,91,2256,2099,93.1,85,176,32,0,26
R1,2024-11-15,3,92,4234,2911,68.8,124,201,29,21,8
R2,2025-02-15,3,92,4234,3535,83.5,171,242,40,26,43
R3,2025-05-15,3,92,4234,3004,71.0,164,330,38,22,71
R1,2024-11-15,3,93,5196,3418,65.8,138,276,31,0,0
R2,2025-02-15,3,93,5196,3904,75.1,180,372,41,0,11
R3,2025-05-15,3,93,5196,4066,78.3,211,353,47,0,17
R1,2024-11-15,3,94,2746,1863,67.9,87,167,26,1,9
R2,2025-02-15,3,94,2746,2596,94.6,138,253,41,1,35
R3,2025-05-15,3,94,2746,2592,94.4,155,248,46,1,11
R1,2024-11-15,3,95,4193,3584,85.5,164,234,52,0,42
R2,2025-02-15,3,95,4193,3802,90.7,199,339,63,0,58
R3,2025-05-15,3,95,4193,3165,75.5,186,270,59,0,11
R1,2024-11-15,3,96,4885,4381,89.7,175,247,66,14,54
R2,2025-02-15,3,96,4885,3224,66.0,146,225,56,10,63
R3,2025-05-15,3,96,4885,4556,93.3,233,412,89,15,77
R1,2024-11-15,3,97,3018,2373,78.6,86,122,32,0,3
R2,2025-02-15,3,97,3018,2234,74.0,92,178,35,0,20
R3,2025-05-15,3,97,3018,2578,85.4,119,250,45,0,21
R1,2024-11-15,3,98,4250,3428,80.7,126,206,37,13,30
R2,2025-02-15,3,98,4250,3656,86.0,153,276,45,14,18
R3,2025-05-15,3,98,4250,3461,81.4,163,316,47,13,15
R1,2024-11-15,3,99,1952,1391,71.3,38,68,13,0,2
R2,2025-02-15,3,99,1952,1542,79.0,48,87,17,0,5
R3,2025-05-15,3,99,1952,1703,87.3,60,106,21,0,9
R1,2024-11-15,3,100,3620,2467,68.2,45,87,34,0,4
R2,2025-02-15,3,100,3620,2478,68.5,52,76,39,0,4
R3,2025-05-15,3,100,3620,2773,76.6,65,103,49,0,6
R1,2024-11-15,3,101,5863,4206,71.7,92,128,64,5,1
R2,2025-02-15,3,101,5863,4760,81.2,119,223,82,6,26
R3,2025-05-15,3,101,5863,4889,83.4,137,262,95,6,53
R1,2024-11-15,3,102,3496,2301,65.8,53,94,48,0,7
R2,2025-02-15,3,102,3496,2803,80.2,74,139,67,0,5
R3,2025-05-15,3,102,3496,2450,70.1,72,146,66,0,3
R1,2024-11-15,3,103,3488,3172,91.0,64,116,51,2,18
R2,2025-02-15,3,103,3488,2620,75.1,60,96,48,2,11
R3,2025-05-15,3,103,3488,2970,85.1,77,140,62,2,15
R1,2024-11-15,3,104,4334,4081,94.2,74,129,77,0,3
R2,2025-02-15,3,104,4334,3799,87.7,79,130,82,0,21
R3,2025-05-15,3,104,4334,3745,86.4,87,154,90,0,16
R1,2024-11-15,3,105,2491,1990,79.9,34,67,31,4,3
R2,2025-02-15,3,105,2491,2111,84.8,41,85,38,4,7
R3,2025-05-15,3,105,2491,2145,86.1,47,96,44,4,1
R1,2024-11-15,3,106,1299,1188,91.5,21,39,11,0,4
R2,2025-02-15,3,106,1299,1025,79.0,21,33,11,0,5
R3,2025-05-15,3,106,1299,983,75.7,22,34,12,0,6
R1,2024-11-15,3,107,4267,3851,90.3,14,29,43,8,3
R2,2025-02-15,3,107,4267,3590,84.1,15,24,46,8,4
R3,2025-05-15,3,107,4267,3976,93.2,19,30,57,9,2
R1,2024-11-15,3,108,5309,4523,85.2,26,40,86,14,4
R2,2025-02-15,3,108,5309,4620,87.0,31,47,100,14,4
R3,2025-05-15,3,108,5309,5074,95.6,38,75,123,16,12
R1,2024-11-15,3,109,3437,2592,75.4,1,1,20,0,0
R2,2025-02-15,3,109,3437,2840,82.7,2,3,25,0,0
R3,2025-05-15,3,109,3437,3164,92.1,2,3,32,0,0
R1,2024-11-15,3,110,3372,2245,66.6,11,21,32,0,3
R2,2025-02-15,3,110,3372,2224,66.0,12,19,36,0,3
R3,2025-05-15,3,110,3372,3217,95.4,20,30,58,0,8
R1,2024-11-15,3,111,5351,4715,88.1,6,9,58,17,2
R2,2025-02-15,3,111,5351,4688,87.6,6,13,66,17,1
R3,2025-05-15,3,111,5351,3794,70.9,6,12,59,14,0
R1,2024-11-15,3,112,3064,2919,95.3,18,28,56,3,7
R2,2025-02-15,3,112,3064,2674,87.3,19,35,58,3,2
R3,2025-05-15,3,112,3064,2524,82.4,20,32,62,3,6
R1,2024-11-15,3,113,3712,2592,69.9,4,7,48,0,1
R2,2025-02-15,3,113,3712,3071,82.7,5,9,65,0,0
R3,2025-05-15,3,113,3712,3035,81.8,6,9,72,0,2
R1,2024-11-15,3,114,2427,1697,69.9,3,6,19,2,0
R2,2025-02-15,3,114,2427,2146,88.4,5,8,28,2,1
R3,2025-05-15,3,114,2427,1596,65.8,4,7,23,2,1
R1,2024-11-15,3,115,2889,2603,90.1,6,10,23,10,1
R2,2025-02-15,3,115,2889,2420,83.8,7,10,24,10,2
R3,2025-05-15,3,115,2889,2441,84.5,8,13,27,10,2
R1,2024-11-15,3,116,1650,1341,81.3,3,6,15,2,0
R2,2025-02-15,3,116,1650,1387,84.1,4,7,18,2,0
R3,2025-05-15,3,116,1650,1577,95.6,5,10,23,3,1
R1,2024-11-15,3,117,1358,928,68.4,1,2,8,0,0
R2,2025-02-15,3,117,1358,1219,89.8,1,1,11,0,0
R3,2025-05-15,3,117,1358,960,70.7,1,1,10,0,0
R1,2024-11-15,3,118,1427,960,67.3,0,0,12,0,0
R2,2025-02-15,3,118,1427,1302,91.2,0,0,19,0,0
R3,2025-05-15,3,118,1427,908,63.7,0,0,15,0,0
R1,2024-11-15,3,119,502,328,65.5,0,0,3,0,0
R2,2025-02-15,3,119,502,333,66.5,0,0,4,0,0
R3,2025-05-15,3,119,502,377,75.2,0,0,5,0,0
R1,2024-11-15,3,120,1680,1559,92.8,9,19,19,1,3
R2,2025-02-15,3,120,1680,1244,74.1,8,13,17,1,2
R3,2025-05-15,3,120,1680,1522,90.6,12,25,24,1,2
R1,2024-11-15,3,121,622,406,65.4,0,0,5,0,0
R2,2025-02-15,3,121,622,553,89.1,0,0,8,0,0
R3,2025-05-15,3,121,622,519,83.6,0,0,8,0,0
R1,2024-11-15,3,369,391,268,68.7,7,12,2,2,1
R2,2025-02-15,3,369,391,361,92.4,11,17,4,2,0
R3,2025-05-15,3,369,391,323,82.6,11,18,4,2,1
R1,2024-11-15,3,370,292,249,85.4,4,8,3,0,0
R2,2025-02-15,3,370,292,274,93.9,5,9,4,0,2
R3,2025-05-15,3,370,292,231,79.2,5,9,4,0,0
R1,2024-11-15,4,122,1842,1424,77.4,90,153,26,18,26
R2,2025-02-15,4,122,1842,1611,87.5,116,197,33,20,10
R3,2025-05-15,4,122,1842,1291,70.1,104,169,30,16,5
R1,2024-11-15,4,123,1518,1239,81.6,70,125,14,14,19
R2,2025-02-15,4,123,1518,1325,87.3,85,166,18,15,38
R3,2025-05-15,4,123,1518,1205,79.4,87,180,18,14,7
R1,2024-11-15,4,124,1503,1288,85.7,53,85,21,11,21
R2,2025-02-15,4,124,1503,1295,86.2,61,90,24,11,8
R3,2025-05-15,4,124,1503,1040,69.2,55,107,21,9,7
R1,2024-11-15,4,125,943,690,73.3,19,31,5,3,5
R2,2025-02-15,4,125,943,785,83.3,25,41,7,4,6
R3,2025-05-15,4,125,943,595,63.2,21,39,6,3,6
R1,2024-11-15,4,126,869,578,66.6,11,22,7,4,0
R2,2025-02-15,4,126,869,752,86.6,16,25,10,6,0
R3,2025-05-15,4,126,869,721,83.0,17,36,11,5,1
R1,2024-11-15,4,127,417,392,94.2,6,8,6,1,1
R2,2025-02-15,4,127,417,336,80.8,6,11,6,1,2
R3,2025-05-15,4,127,417,333,79.9,7,14,7,1,2
R1,2024-11-15,4,128,4246,2959,69.7,187,367,21,17,64
R2,2025-02-15,4,128,4246,3398,80.0,245,476,27,20,18
R3,2025-05-15,4,128,4246,2791,65.7,226,436,25,16,17
R1,2024-11-15,4,129,3176,2688,84.6,142,265,6,13,46
R2,2025-02-15,4,129,3176,2388,75.2,144,215,6,11,17
R3,2025-05-15,4,129,3176,2764,87.0,187,315,8,13,5
R1,2024-11-15,4,130,4465,3847,86.2,174,323,46,10,33
R2,2025-02-15,4,130,4465,2805,62.8,145,303,38,7,54
R3,2025-05-15,4,130,4465,3218,72.1,187,315,49,8,19
R1,2024-11-15,4,131,4497,2983,66.3,98,151,15,18,4
R2,2025-02-15,4,131,4497,4062,90.3,153,295,24,24,64
R3,2025-05-15,4,131,4497,3756,83.5,158,298,25,23,6
R1,2024-11-15,4,132,4827,4162,86.2,124,194,67,31,54
R2,2025-02-15,4,132,4827,4015,83.2,137,247,74,30,54
R3,2025-05-15,4,132,4827,4146,85.9,159,232,85,31,61
R1,2024-11-15,4,133,3830,2780,72.6,81,150,24,38,16
R2,2025-02-15,4,133,3830,3575,93.4,120,193,35,49,24
