# SYNTHETIC. Material documents: MATDOC. 101 goods receipt, 201 issue to cost centre, 261 issue to a PM order, 551 scrapped at a count, 701/702 count differences. From 2025-01-01 every issue carries the work order, trip day or PM order it came from; earlier issues were generated from the same drivers and carry none.
mblnr,zeile,budat,bwart,matnr,werks,lgort,menge,meins,shkzg,kostl,aufnr,block_code,rsnum,ebeln,ebelp
4900000031,0001,2023-06-03,201,FU-001,EC,CS01,592.7,L,H,EC-GEN,,,,,
4900000032,0001,2023-06-03,201,SP-005,EC,CS01,1,EA,H,EC-WS,,,,,
4900000033,0001,2023-06-04,201,FU-001,EC,CS01,689.0,L,H,EC-GEN,,,,,
4900000034,0001,2023-06-05,201,AC-001,EC,CS01,79.7,L,H,EC-D3,,,,,
4900000035,0001,2023-06-05,201,AC-003,EC,CS01,2.81,L,H,EC-D3,,,,,
4900000036,0001,2023-06-05,201,FU-001,EC,CS01,117.0,L,H,EC-D1,,,,,
4900000037,0001,2023-06-05,201,FU-001,EC,CS01,101.6,L,H,EC-D2,,,,,
4900000038,0001,2023-06-05,201,FU-001,EC,CS01,154.4,L,H,EC-D3,,,,,
4900000039,0001,2023-06-05,201,FU-001,EC,CS01,141.7,L,H,EC-D4,,,,,
4900000040,0001,2023-06-05,201,FU-001,EC,CS01,108.5,L,H,EC-D5,,,,,
4900000041,0001,2023-06-05,201,FU-001,EC,CS01,145.6,L,H,EC-D6,,,,,
4900000042,0001,2023-06-05,201,FU-001,EC,CS01,106.6,L,H,EC-D7,,,,,
4900000043,0001,2023-06-05,201,FU-001,EC,CS01,596.2,L,H,EC-GEN,,,,,
4900000044,0001,2023-06-06,201,AC-001,EC,CS01,106.8,L,H,EC-D2,,,,,
4900000045,0001,2023-06-06,201,AC-002,EC,CS01,4.84,KG,H,EC-D2,,,,,
4900000046,0001,2023-06-06,201,FU-001,EC,CS01,93.1,L,H,EC-D1,,,,,
4900000047,0001,2023-06-06,201,FU-001,EC,CS01,89.4,L,H,EC-D2,,,,,
4900000048,0001,2023-06-06,201,FU-001,EC,CS01,123.7,L,H,EC-D3,,,,,
4900000049,0001,2023-06-06,201,FU-001,EC,CS01,160.0,L,H,EC-D4,,,,,
4900000050,0001,2023-06-06,201,FU-001,EC,CS01,106.0,L,H,EC-D5,,,,,
4900000051,0001,2023-06-06,201,FU-001,EC,CS01,157.6,L,H,EC-D6,,,,,
4900000052,0001,2023-06-06,201,FU-001,EC,CS01,133.5,L,H,EC-D7,,,,,
4900000053,0001,2023-06-06,201,FU-001,EC,CS01,649.5,L,H,EC-GEN,,,,,
4900000054,0001,2023-06-06,201,SP-002,EC,CS01,1,EA,H,EC-WS,,,,,
4900000055,0001,2023-06-06,201,SP-005,EC,CS01,1,EA,H,EC-WS,,,,,
4900000056,0001,2023-06-07,201,AC-001,EC,CS01,109.6,L,H,EC-D3,,,,,
4900000057,0001,2023-06-07,101,FU-001,EC,CS01,8000,L,S,,,,,4500000001,00010
4900000058,0001,2023-06-07,201,FU-001,EC,CS01,146.3,L,H,EC-D1,,,,,
4900000059,0001,2023-06-07,201,FU-001,EC,CS01,109.7,L,H,EC-D2,,,,,
4900000060,0001,2023-06-07,201,FU-001,EC,CS01,112.7,L,H,EC-D3,,,,,
4900000061,0001,2023-06-07,201,FU-001,EC,CS01,185.5,L,H,EC-D4,,,,,
4900000062,0001,2023-06-07,201,FU-001,EC,CS01,99.2,L,H,EC-D5,,,,,
4900000063,0001,2023-06-07,201,FU-001,EC,CS01,113.8,L,H,EC-D6,,,,,
4900000064,0001,2023-06-07,201,FU-001,EC,CS01,136.0,L,H,EC-D7,,,,,
4900000065,0001,2023-06-07,201,FU-001,EC,CS01,723.3,L,H,EC-GEN,,,,,
4900000066,0001,2023-06-07,201,SP-003,EC,CS01,1,EA,H,EC-WS,,,,,
4900000067,0001,2023-06-08,201,AC-003,EC,CS01,2.16,L,H,EC-D4,,,,,
4900000068,0001,2023-06-08,201,FU-001,EC,CS01,100.4,L,H,EC-D1,,,,,
4900000069,0001,2023-06-08,201,FU-001,EC,CS01,99.2,L,H,EC-D2,,,,,
4900000070,0001,2023-06-08,201,FU-001,EC,CS01,163.3,L,H,EC-D3,,,,,
4900000071,0001,2023-06-08,201,FU-001,EC,CS01,142.8,L,H,EC-D4,,,,,
4900000072,0001,2023-06-08,201,FU-001,EC,CS01,97.2,L,H,EC-D5,,,,,
4900000073,0001,2023-06-08,201,FU-001,EC,CS01,140.3,L,H,EC-D6,,,,,
4900000074,0001,2023-06-08,201,FU-001,EC,CS01,124.8,L,H,EC-D7,,,,,
4900000075,0001,2023-06-08,201,FU-001,EC,CS01,726.9,L,H,EC-GEN,,,,,
4900000076,0001,2023-06-08,201,SP-002,EC,CS01,1,EA,H,EC-WS,,,,,
4900000077,0001,2023-06-08,201,SP-003,EC,CS01,1,EA,H,EC-WS,,,,,
4900000078,0001,2023-06-08,201,SP-004,EC,CS01,1,EA,H,EC-WS,,,,,
4900000079,0001,2023-06-08,201,SP-005,EC,CS01,1,EA,H,EC-WS,,,,,
4900000080,0001,2023-06-08,201,SP-006,EC,CS01,1,EA,H,EC-WS,,,,,
4900000081,0001,2023-06-09,201,AC-001,EC,CS01,78.1,L,H,EC-D3,,,,,
4900000082,0001,2023-06-09,201,AC-002,EC,CS01,3.05,KG,H,EC-D3,,,,,
4900000083,0001,2023-06-09,201,AC-003,EC,CS01,0.85,L,H,EC-D1,,,,,
4900000084,0001,2023-06-09,201,FU-001,EC,CS01,107.1,L,H,EC-D1,,,,,
4900000085,0001,2023-06-09,201,FU-001,EC,CS01,75.2,L,H,EC-D2,,,,,
4900000086,0001,2023-06-09,201,FU-001,EC,CS01,166.0,L,H,EC-D3,,,,,
4900000087,0001,2023-06-09,201,FU-001,EC,CS01,169.1,L,H,EC-D4,,,,,
4900000088,0001,2023-06-09,201,FU-001,EC,CS01,110.9,L,H,EC-D5,,,,,
4900000089,0001,2023-06-09,201,FU-001,EC,CS01,141.6,L,H,EC-D6,,,,,
4900000090,0001,2023-06-09,201,FU-001,EC,CS01,111.5,L,H,EC-D7,,,,,
4900000091,0001,2023-06-09,201,FU-001,EC,CS01,704.4,L,H,EC-GEN,,,,,
4900000092,0001,2023-06-09,201,SP-003,EC,CS01,1,EA,H,EC-WS,,,,,
4900000093,0001,2023-06-10,201,AC-001,EC,CS01,139.4,L,H,EC-D7,,,,,
4900000094,0001,2023-06-10,201,AC-003,EC,CS01,2.88,L,H,EC-D7,,,,,
4900000095,0001,2023-06-10,201,FU-001,EC,CS01,103.6,L,H,EC-D1,,,,,
4900000096,0001,2023-06-10,201,FU-001,EC,CS01,124.8,L,H,EC-D2,,,,,
4900000097,0001,2023-06-10,201,FU-001,EC,CS01,179.3,L,H,EC-D3,,,,,
4900000098,0001,2023-06-10,201,FU-001,EC,CS01,139.5,L,H,EC-D4,,,,,
4900000099,0001,2023-06-10,201,FU-001,EC,CS01,96.5,L,H,EC-D5,,,,,
4900000100,0001,2023-06-10,201,FU-001,EC,CS01,120.0,L,H,EC-D6,,,,,
4900000101,0001,2023-06-10,201,FU-001,EC,CS01,130.2,L,H,EC-D7,,,,,
4900000102,0001,2023-06-10,201,FU-001,EC,CS01,651.8,L,H,EC-GEN,,,,,
4900000103,0001,2023-06-10,201,SP-008,EC,CS01,1,EA,H,EC-WS,,,,,
4900000104,0001,2023-06-11,201,FU-001,EC,CS01,602.5,L,H,EC-GEN,,,,,
4900000105,0001,2023-06-12,201,FU-001,EC,CS01,106.0,L,H,EC-D1,,,,,
4900000106,0001,2023-06-12,201,FU-001,EC,CS01,101.6,L,H,EC-D2,,,,,
4900000107,0001,2023-06-12,201,FU-001,EC,CS01,128.4,L,H,EC-D3,,,,,
4900000108,0001,2023-06-12,201,FU-001,EC,CS01,196.8,L,H,EC-D4,,,,,
4900000109,0001,2023-06-12,201,FU-001,EC,CS01,123.2,L,H,EC-D5,,,,,
4900000110,0001,2023-06-12,201,FU-001,EC,CS01,144.7,L,H,EC-D6,,,,,
4900000111,0001,2023-06-12,201,FU-001,EC,CS01,142.9,L,H,EC-D7,,,,,
4900000112,0001,2023-06-12,201,FU-001,EC,CS01,581.4,L,H,EC-GEN,,,,,
4900000113,0001,2023-06-12,201,SP-001,EC,CS01,1,EA,H,EC-WS,,,,,
4900000114,0001,2023-06-12,201,SP-002,EC,CS01,1,EA,H,EC-WS,,,,,
4900000115,0001,2023-06-12,201,SP-003,EC,CS01,1,EA,H,EC-WS,,,,,
4900000116,0001,2023-06-13,201,AC-001,EC,CS01,120.9,L,H,EC-D6,,,,,
4900000117,0001,2023-06-13,201,AC-003,EC,CS01,5.13,L,H,EC-D5,,,,,
4900000118,0001,2023-06-13,101,FU-001,EC,CS01,8000,L,S,,,,,4500000004,00010
4900000119,0001,2023-06-13,201,FU-001,EC,CS01,85.6,L,H,EC-D1,,,,,
4900000120,0001,2023-06-13,201,FU-001,EC,CS01,123.8,L,H,EC-D2,,,,,
4900000121,0001,2023-06-13,201,FU-001,EC,CS01,110.2,L,H,EC-D3,,,,,
4900000122,0001,2023-06-13,201,FU-001,EC,CS01,143.0,L,H,EC-D4,,,,,
4900000123,0001,2023-06-13,201,FU-001,EC,CS01,101.6,L,H,EC-D5,,,,,
4900000124,0001,2023-06-13,201,FU-001,EC,CS01,160.2,L,H,EC-D6,,,,,
4900000125,0001,2023-06-13,201,FU-001,EC,CS01,135.3,L,H,EC-D7,,,,,
4900000126,0001,2023-06-13,201,FU-001,EC,CS01,589.1,L,H,EC-GEN,,,,,
4900000127,0001,2023-06-14,201,AC-001,EC,CS01,78.9,L,H,EC-D6,,,,,
4900000128,0001,2023-06-14,201,AC-003,EC,CS01,2.89,L,H,EC-D6,,,,,
4900000129,0001,2023-06-14,201,FU-001,EC,CS01,96.6,L,H,EC-D1,,,,,
4900000130,0001,2023-06-14,201,FU-001,EC,CS01,93.8,L,H,EC-D2,,,,,
4900000131,0001,2023-06-14,201,FU-001,EC,CS01,113.6,L,H,EC-D3,,,,,
4900000132,0001,2023-06-14,201,FU-001,EC,CS01,162.8,L,H,EC-D4,,,,,
4900000133,0001,2023-06-14,201,FU-001,EC,CS01,108.7,L,H,EC-D5,,,,,
4900000134,0001,2023-06-14,201,FU-001,EC,CS01,118.7,L,H,EC-D6,,,,,
4900000135,0001,2023-06-14,201,FU-001,EC,CS01,101.6,L,H,EC-D7,,,,,
4900000136,0001,2023-06-14,201,FU-001,EC,CS01,622.8,L,H,EC-GEN,,,,,
4900000137,0001,2023-06-14,201,SP-002,EC,CS01,1,EA,H,EC-WS,,,,,
4900000138,0001,2023-06-14,201,SP-005,EC,CS01,1,EA,H,EC-WS,,,,,
4900000139,0001,2023-06-15,201,FU-001,EC,CS01,106.5,L,H,EC-D1,,,,,
4900000140,0001,2023-06-15,201,FU-001,EC,CS01,86.1,L,H,EC-D2,,,,,
4900000141,0001,2023-06-15,201,FU-001,EC,CS01,153.8,L,H,EC-D3,,,,,
4900000142,0001,2023-06-15,201,FU-001,EC,CS01,158.6,L,H,EC-D4,,,,,
4900000143,0001,2023-06-15,201,FU-001,EC,CS01,110.9,L,H,EC-D5,,,,,
4900000144,0001,2023-06-15,201,FU-001,EC,CS01,140.7,L,H,EC-D6,,,,,
4900000145,0001,2023-06-15,201,FU-001,EC,CS01,122.5,L,H,EC-D7,,,,,
4900000146,0001,2023-06-15,201,FU-001,EC,CS01,652.3,L,H,EC-GEN,,,,,
4900000147,0001,2023-06-15,201,SP-002,EC,CS01,1,EA,H,EC-WS,,,,,
4900000148,0001,2023-06-15,201,SP-007,EC,CS01,1,EA,H,EC-WS,,,,,
4900000149,0001,2023-06-16,201,AC-001,EC,CS01,78.9,L,H,EC-D5,,,,,
4900000150,0001,2023-06-16,201,AC-003,EC,CS01,4.24,L,H,EC-D1,,,,,
4900000151,0001,2023-06-16,201,FU-001,EC,CS01,106.9,L,H,EC-D1,,,,,
4900000152,0001,2023-06-16,201,FU-001,EC,CS01,106.4,L,H,EC-D2,,,,,
4900000153,0001,2023-06-16,201,FU-001,EC,CS01,142.6,L,H,EC-D3,,,,,
4900000154,0001,2023-06-16,201,FU-001,EC,CS01,142.6,L,H,EC-D4,,,,,
4900000155,0001,2023-06-16,201,FU-001,EC,CS01,119.1,L,H,EC-D5,,,,,
4900000156,0001,2023-06-16,201,FU-001,EC,CS01,161.2,L,H,EC-D6,,,,,
4900000157,0001,2023-06-16,201,FU-001,EC,CS01,128.3,L,H,EC-D7,,,,,
4900000158,0001,2023-06-16,201,FU-001,EC,CS01,615.9,L,H,EC-GEN,,,,,
4900000159,0001,2023-06-16,201,SP-006,EC,CS01,1,EA,H,EC-WS,,,,,
4900000160,0001,2023-06-17,201,AC-001,EC,CS01,58.7,L,H,EC-D5,,,,,
4900000161,0001,2023-06-17,201,AC-002,EC,CS01,2.57,KG,H,EC-D5,,,,,
4900000162,0001,2023-06-17,201,AC-003,EC,CS01,12.88,L,H,EC-D4,,,,,
4900000163,0001,2023-06-17,201,FU-001,EC,CS01,119.2,L,H,EC-D1,,,,,
4900000164,0001,2023-06-17,201,FU-001,EC,CS01,111.2,L,H,EC-D2,,,,,
4900000165,0001,2023-06-17,201,FU-001,EC,CS01,138.4,L,H,EC-D3,,,,,
4900000166,0001,2023-06-17,201,FU-001,EC,CS01,159.3,L,H,EC-D4,,,,,
4900000167,0001,2023-06-17,201,FU-001,EC,CS01,90.0,L,H,EC-D5,,,,,
4900000168,0001,2023-06-17,201,FU-001,EC,CS01,131.6,L,H,EC-D6,,,,,
4900000169,0001,2023-06-17,201,FU-001,EC,CS01,145.7,L,H,EC-D7,,,,,
4900000170,0001,2023-06-17,201,FU-001,EC,CS01,619.1,L,H,EC-GEN,,,,,
4900000171,0001,2023-06-17,101,SP-005,EC,CS01,4,EA,S,,,,,4500000002,00010
4900000172,0001,2023-06-17,201,SP-007,EC,CS01,1,EA,H,EC-WS,,,,,
4900000173,0001,2023-06-18,201,FU-001,EC,CS01,687.2,L,H,EC-GEN,,,,,
4900000174,0001,2023-06-18,101,SP-003,EC,CS01,5,EA,S,,,,,4500000003,00010
4900000175,0001,2023-06-19,201,AC-001,EC,CS01,77.5,L,H,EC-D3,,,,,
4900000176,0001,2023-06-19,201,FU-001,EC,CS01,104.4,L,H,EC-D1,,,,,
4900000177,0001,2023-06-19,201,FU-001,EC,CS01,119.0,L,H,EC-D2,,,,,
4900000178,0001,2023-06-19,201,FU-001,EC,CS01,145.9,L,H,EC-D3,,,,,
4900000179,0001,2023-06-19,201,FU-001,EC,CS01,156.1,L,H,EC-D4,,,,,
4900000180,0001,2023-06-19,201,FU-001,EC,CS01,96.9,L,H,EC-D5,,,,,
4900000181,0001,2023-06-19,201,FU-001,EC,CS01,128.3,L,H,EC-D6,,,,,
4900000182,0001,2023-06-19,201,FU-001,EC,CS01,139.8,L,H,EC-D7,,,,,
4900000183,0001,2023-06-19,201,FU-001,EC,CS01,716.1,L,H,EC-GEN,,,,,
4900000184,0001,2023-06-20,201,AC-001,EC,CS01,107.1,L,H,EC-D6,,,,,
4900000185,0001,2023-06-20,201,AC-004,EC,CS01,2.09,KG,H,EC-D6,,,,,
4900000186,0001,2023-06-20,201,FU-001,EC,CS01,124.7,L,H,EC-D1,,,,,
4900000187,0001,2023-06-20,201,FU-001,EC,CS01,99.0,L,H,EC-D2,,,,,
4900000188,0001,2023-06-20,201,FU-001,EC,CS01,144.0,L,H,EC-D3,,,,,
4900000189,0001,2023-06-20,201,FU-001,EC,CS01,132.7,L,H,EC-D4,,,,,
4900000190,0001,2023-06-20,201,FU-001,EC,CS01,107.2,L,H,EC-D5,,,,,
4900000191,0001,2023-06-20,201,FU-001,EC,CS01,125.3,L,H,EC-D6,,,,,
4900000192,0001,2023-06-20,201,FU-001,EC,CS01,120.7,L,H,EC-D7,,,,,
4900000193,0001,2023-06-20,201,FU-001,EC,CS01,679.8,L,H,EC-GEN,,,,,
4900000194,0001,2023-06-20,201,SP-003,EC,CS01,1,EA,H,EC-WS,,,,,
4900000195,0001,2023-06-21,201,AC-001,EC,CS01,91.7,L,H,EC-D2,,,,,
4900000196,0001,2023-06-21,101,FU-001,EC,CS01,8000,L,S,,,,,4500000006,00010
4900000197,0001,2023-06-21,201,FU-001,EC,CS01,103.2,L,H,EC-D1,,,,,
4900000198,0001,2023-06-21,201,FU-001,EC,CS01,108.1,L,H,EC-D2,,,,,
4900000199,0001,2023-06-21,201,FU-001,EC,CS01,132.9,L,H,EC-D3,,,,,
4900000200,0001,2023-06-21,201,FU-001,EC,CS01,155.0,L,H,EC-D4,,,,,
4900000201,0001,2023-06-21,201,FU-001,EC,CS01,89.7,L,H,EC-D5,,,,,
4900000202,0001,2023-06-21,201,FU-001,EC,CS01,160.6,L,H,EC-D6,,,,,
4900000203,0001,2023-06-21,201,FU-001,EC,CS01,140.0,L,H,EC-D7,,,,,
4900000204,0001,2023-06-21,201,FU-001,EC,CS01,665.8,L,H,EC-GEN,,,,,
4900000205,0001,2023-06-22,201,AC-001,EC,CS01,136.7,L,H,EC-D5,,,,,
4900000206,0001,2023-06-22,201,FU-001,EC,CS01,131.9,L,H,EC-D1,,,,,
4900000207,0001,2023-06-22,201,FU-001,EC,CS01,111.3,L,H,EC-D2,,,,,
4900000208,0001,2023-06-22,201,FU-001,EC,CS01,158.9,L,H,EC-D3,,,,,
4900000209,0001,2023-06-22,201,FU-001,EC,CS01,117.1,L,H,EC-D4,,,,,
4900000210,0001,2023-06-22,201,FU-001,EC,CS01,93.2,L,H,EC-D5,,,,,
4900000211,0001,2023-06-22,201,FU-001,EC,CS01,146.7,L,H,EC-D6,,,,,
4900000212,0001,2023-06-22,201,FU-001,EC,CS01,135.8,L,H,EC-D7,,,,,
4900000213,0001,2023-06-22,201,FU-001,EC,CS01,680.5,L,H,EC-GEN,,,,,
4900000214,0001,2023-06-22,201,SP-004,EC,CS01,1,EA,H,EC-WS,,,,,
4900000215,0001,2023-06-23,201,AC-001,EC,CS01,97.3,L,H,EC-D6,,,,,
4900000216,0001,2023-06-23,201,AC-002,EC,CS01,3.69,KG,H,EC-D6,,,,,
4900000217,0001,2023-06-23,201,AC-003,EC,CS01,1.47,L,H,EC-D7,,,,,
4900000218,0001,2023-06-23,201,FU-001,EC,CS01,105.3,L,H,EC-D1,,,,,
4900000219,0001,2023-06-23,201,FU-001,EC,CS01,102.0,L,H,EC-D2,,,,,
4900000220,0001,2023-06-23,201,FU-001,EC,CS01,133.6,L,H,EC-D3,,,,,
4900000221,0001,2023-06-23,201,FU-001,EC,CS01,120.6,L,H,EC-D4,,,,,
4900000222,0001,2023-06-23,201,FU-001,EC,CS01,119.7,L,H,EC-D5,,,,,
4900000223,0001,2023-06-23,201,FU-001,EC,CS01,154.5,L,H,EC-D6,,,,,
4900000224,0001,2023-06-23,201,FU-001,EC,CS01,106.6,L,H,EC-D7,,,,,
4900000225,0001,2023-06-23,201,FU-001,EC,CS01,580.5,L,H,EC-GEN,,,,,
4900000226,0001,2023-06-23,201,SP-001,EC,CS01,1,EA,H,EC-WS,,,,,
4900000227,0001,2023-06-24,201,AC-001,EC,CS01,85.5,L,H,EC-D3,,,,,
4900000228,0001,2023-06-24,201,AC-002,EC,CS01,3.51,KG,H,EC-D3,,,,,
4900000229,0001,2023-06-24,201,FU-001,EC,CS01,117.0,L,H,EC-D1,,,,,
4900000230,0001,2023-06-24,201,FU-001,EC,CS01,98.4,L,H,EC-D2,,,,,
4900000231,0001,2023-06-24,201,FU-001,EC,CS01,135.4,L,H,EC-D3,,,,,
4900000232,0001,2023-06-24,201,FU-001,EC,CS01,182.4,L,H,EC-D4,,,,,
4900000233,0001,2023-06-24,201,FU-001,EC,CS01,98.5,L,H,EC-D5,,,,,
4900000234,0001,2023-06-24,201,FU-001,EC,CS01,119.3,L,H,EC-D6,,,,,
4900000235,0001,2023-06-24,201,FU-001,EC,CS01,142.7,L,H,EC-D7,,,,,
4900000236,0001,2023-06-24,201,FU-001,EC,CS01,689.8,L,H,EC-GEN,,,,,
4900000237,0001,2023-06-25,201,FU-001,EC,CS01,808.6,L,H,EC-GEN,,,,,
4900000238,0001,2023-06-26,201,AC-001,EC,CS01,119.9,L,H,EC-D2,,,,,
4900000239,0001,2023-06-26,201,FU-001,EC,CS01,101.4,L,H,EC-D1,,,,,
4900000240,0001,2023-06-26,201,FU-001,EC,CS01,110.4,L,H,EC-D2,,,,,
4900000241,0001,2023-06-26,201,FU-001,EC,CS01,143.0,L,H,EC-D3,,,,,
4900000242,0001,2023-06-26,201,FU-001,EC,CS01,156.7,L,H,EC-D4,,,,,
4900000243,0001,2023-06-26,201,FU-001,EC,CS01,113.9,L,H,EC-D5,,,,,
4900000244,0001,2023-06-26,201,FU-001,EC,CS01,128.1,L,H,EC-D6,,,,,
4900000245,0001,2023-06-26,201,FU-001,EC,CS01,118.4,L,H,EC-D7,,,,,
4900000246,0001,2023-06-26,201,FU-001,EC,CS01,557.0,L,H,EC-GEN,,,,,
4900000247,0001,2023-06-27,201,AC-001,EC,CS01,76.7,L,H,EC-D4,,,,,
4900000248,0001,2023-06-27,201,AC-003,EC,CS01,2.94,L,H,EC-D3,,,,,
4900000249,0001,2023-06-27,201,FU-001,EC,CS01,91.5,L,H,EC-D1,,,,,
4900000250,0001,2023-06-27,201,FU-001,EC,CS01,84.9,L,H,EC-D2,,,,,
4900000251,0001,2023-06-27,201,FU-001,EC,CS01,110.2,L,H,EC-D3,,,,,
4900000252,0001,2023-06-27,201,FU-001,EC,CS01,141.5,L,H,EC-D4,,,,,
4900000253,0001,2023-06-27,201,FU-001,EC,CS01,110.8,L,H,EC-D5,,,,,
4900000254,0001,2023-06-27,201,FU-001,EC,CS01,133.2,L,H,EC-D6,,,,,
4900000255,0001,2023-06-27,201,FU-001,EC,CS01,135.4,L,H,EC-D7,,,,,
4900000256,0001,2023-06-27,201,FU-001,EC,CS01,655.0,L,H,EC-GEN,,,,,
4900000257,0001,2023-06-28,201,AC-001,EC,CS01,138.2,L,H,EC-D3,,,,,
4900000258,0001,2023-06-28,201,AC-003,EC,CS01,12.33,L,H,EC-D5,,,,,
4900000259,0001,2023-06-28,101,FU-001,EC,CS01,8000,L,S,,,,,4500000009,00010
4900000260,0001,2023-06-28,201,FU-001,EC,CS01,124.4,L,H,EC-D1,,,,,
4900000261,0001,2023-06-28,201,FU-001,EC,CS01,128.5,L,H,EC-D2,,,,,
4900000262,0001,2023-06-28,201,FU-001,EC,CS01,107.6,L,H,EC-D3,,,,,
4900000263,0001,2023-06-28,201,FU-001,EC,CS01,156.1,L,H,EC-D4,,,,,
4900000264,0001,2023-06-28,201,FU-001,EC,CS01,113.4,L,H,EC-D5,,,,,
4900000265,0001,2023-06-28,201,FU-001,EC,CS01,120.9,L,H,EC-D6,,,,,
4900000266,0001,2023-06-28,201,FU-001,EC,CS01,134.0,L,H,EC-D7,,,,,
4900000267,0001,2023-06-28,201,FU-001,EC,CS01,657.1,L,H,EC-GEN,,,,,
4900000268,0001,2023-06-28,101,SP-007,EC,CS01,4,EA,S,,,,,4500000008,00010
4900000269,0001,2023-06-29,201,AC-001,EC,CS01,92.6,L,H,EC-D7,,,,,
4900000270,0001,2023-06-29,201,AC-002,EC,CS01,3.35,KG,H,EC-D7,,,,,
4900000271,0001,2023-06-29,201,FU-001,EC,CS01,137.2,L,H,EC-D1,,,,,
4900000272,0001,2023-06-29,201,FU-001,EC,CS01,137.3,L,H,EC-D2,,,,,
4900000273,0001,2023-06-29,201,FU-001,EC,CS01,135.3,L,H,EC-D3,,,,,
4900000274,0001,2023-06-29,201,FU-001,EC,CS01,157.4,L,H,EC-D4,,,,,
4900000275,0001,2023-06-29,201,FU-001,EC,CS01,112.4,L,H,EC-D5,,,,,
4900000276,0001,2023-06-29,201,FU-001,EC,CS01,168.0,L,H,EC-D6,,,,,
4900000277,0001,2023-06-29,201,FU-001,EC,CS01,117.3,L,H,EC-D7,,,,,
4900000278,0001,2023-06-29,201,FU-001,EC,CS01,626.1,L,H,EC-GEN,,,,,
4900000279,0001,2023-06-29,201,SP-007,EC,CS01,1,EA,H,EC-WS,,,,,
4900000280,0001,2023-06-30,201,AC-001,EC,CS01,125.6,L,H,EC-D5,,,,,
4900000281,0001,2023-06-30,701,AC-003,EC,CS01,0.11,L,S,EC-STORE,,,,,
4900000282,0001,2023-06-30,551,FE-002,EC,CS01,167.36,KG,H,EC-STORE,,,,,
4900000283,0001,2023-06-30,551,FE-003,EC,CS01,42.18,KG,H,EC-STORE,,,,,
