# SYNTHETIC. Upkeep work orders: pruning, circle weeding, path upkeep and spraying, SIMULATED crew by crew and day by day. Each crew takes its most overdue job each morning, plans the day off expected headcount, and does what attendance, real daily rainfall and road condition allowed; the remainder carries to tomorrow. Stands in for EPMS t_workplan / t_work_assignment.
order_id,date,operation,activity,division_code,block_code,crew_code,headcount_plan,headcount_actual,planned_qty,actual_qty,unit,man_days_plan,man_days_actual,status,started,finished,carried_to
WO-2025-0102-U-022,2025-01-02,prune,pruning,6,270,U6-04,14,15,818,561,palms,14.0,15.0,partial,06:58,11:30,WO-2025-0103-U-019
WO-2025-0102-U-023,2025-01-02,spray,spraying,6,210,S6-01,3,14,5.71,5.71,ha,3.0,14.0,completed,06:52,14:13,
WO-2025-0102-U-024,2025-01-02,weed,circle_weeding,7,293,U7-01,12,13,11.93,12.52,ha,12.0,13.0,partial,07:03,14:21,WO-2025-0103-U-021
WO-2025-0102-U-025,2025-01-02,weed,circle_weeding,7,304,U7-02,12,10,12.87,6.97,ha,12.0,10.0,partial,06:53,10:58,WO-2025-0103-U-022
WO-2025-0102-U-026,2025-01-02,weed,path_upkeep,7,329,U7-03,1,13,1.37,1.37,ha,1.0,13.0,completed,06:48,13:47,
WO-2025-0102-U-027,2025-01-02,spray,spraying,7,305,S7-01,1,13,1.4,1.4,ha,1.0,13.0,completed,06:59,13:55,
WO-2025-0103-U-001,2025-01-03,prune,pruning,1,17,U1-02,16,17,988,621,palms,16.0,17.0,partial,06:48,11:01,WO-2025-0104-U-001
WO-2025-0103-U-002,2025-01-03,spray,spraying,1,8,S1-01,13,12,31.62,22.24,ha,13.0,12.0,partial,06:54,11:40,WO-2025-0104-U-003
WO-2025-0103-U-003,2025-01-03,weed,circle_weeding,2,52,U2-01,15,17,17.79,14.36,ha,15.0,17.0,partial,07:09,12:33,WO-2025-0104-U-004
WO-2025-0103-U-004,2025-01-03,prune,pruning,2,65,U2-02,15,17,900,863,palms,15.0,17.0,partial,06:49,13:54,WO-2025-0104-U-005
WO-2025-0103-U-005,2025-01-03,weed,circle_weeding,2,72,U2-03,5,16,5.07,5.07,ha,5.0,16.0,completed,07:04,14:17,
WO-2025-0103-U-006,2025-01-03,spray,spraying,2,74,S2-01,11,11,28.51,28.51,ha,11.0,11.0,completed,06:45,13:40,
WO-2025-0103-U-007,2025-01-03,weed,path_upkeep,3,86,U3-01,2,13,2.55,2.55,ha,2.0,13.0,completed,06:56,13:52,
WO-2025-0103-U-008,2025-01-03,spray,spraying,3,98,S3-01,4,16,7.78,7.78,ha,4.0,16.0,completed,06:00,14:08,
WO-2025-0103-U-009,2025-01-03,prune,pruning,4,137,U4-02,14,15,844,692,palms,14.0,15.0,partial,07:03,12:37,WO-2025-0104-U-013
WO-2025-0103-U-010,2025-01-03,weed,circle_weeding,4,144,U4-03,2,15,2.1,2.1,ha,2.0,15.0,completed,07:01,13:58,
WO-2025-0103-U-011,2025-01-03,spray,spraying,4,140,S4-01,11,15,27.92,27.92,ha,11.0,15.0,completed,07:14,14:31,
WO-2025-0103-U-012,2025-01-03,prune,pruning,5,176,U5-01,15,15,895,777,palms,15.0,15.0,partial,07:10,13:10,WO-2025-0104-U-016
WO-2025-0103-U-013,2025-01-03,weed,path_upkeep,5,185,U5-02,15,15,25.47,20.61,ha,15.0,15.0,partial,07:12,12:35,WO-2025-0104-U-017
WO-2025-0103-U-014,2025-01-03,prune,pruning,5,198,U5-03,2,15,116,116,palms,2.0,15.0,completed,07:05,14:13,
WO-2025-0103-U-015,2025-01-03,spray,spraying,5,193,S5-01,3,12,5.98,5.98,ha,3.0,12.0,completed,06:51,13:34,
WO-2025-0103-U-016,2025-01-03,prune,pruning,6,209,U6-01,14,16,770,529,palms,14.0,16.0,partial,06:51,11:38,WO-2025-0104-U-020
WO-2025-0103-U-017,2025-01-03,weed,path_upkeep,6,222,U6-02,14,16,22.07,18.65,ha,14.0,16.0,partial,07:05,12:57,WO-2025-0104-U-021
WO-2025-0103-U-018,2025-01-03,weed,path_upkeep,6,256,U6-03,2,12,2.0,2.0,ha,2.0,12.0,completed,07:14,14:37,
WO-2025-0103-U-019,2025-01-03,prune,pruning,6,270,U6-04,12,15,665,665,palms,12.0,15.0,completed,07:13,14:10,
WO-2025-0103-U-020,2025-01-03,spray,spraying,6,253,S6-01,8,16,20.27,20.27,ha,8.0,16.0,completed,07:12,14:35,
WO-2025-0103-U-021,2025-01-03,weed,circle_weeding,7,293,U7-01,4,11,3.83,3.83,ha,4.0,11.0,completed,06:51,14:20,
WO-2025-0103-U-022,2025-01-03,weed,circle_weeding,7,304,U7-02,10,12,9.91,7.35,ha,10.0,12.0,partial,06:46,11:45,WO-2025-0104-U-025
WO-2025-0103-U-023,2025-01-03,prune,pruning,7,343,U7-04,12,11,743,407,palms,12.0,11.0,partial,07:10,11:11,WO-2025-0104-U-026
WO-2025-0103-U-024,2025-01-03,spray,spraying,7,328,S7-01,10,13,23.07,23.07,ha,10.0,13.0,completed,07:14,14:09,
WO-2025-0104-U-001,2025-01-04,prune,pruning,1,17,U1-02,16,17,988,885,palms,16.0,17.0,partial,07:03,13:15,WO-2025-0106-U-001
WO-2025-0104-U-002,2025-01-04,weed,path_upkeep,1,35,U1-03,16,16,22.87,20.44,ha,16.0,16.0,partial,06:57,13:23,WO-2025-0106-U-002
WO-2025-0104-U-003,2025-01-04,spray,spraying,1,8,S1-01,4,11,9.38,0.0,ha,4.0,3.3,weathered_off,06:47,08:28,WO-2025-0106-U-003
WO-2025-0104-U-004,2025-01-04,weed,circle_weeding,2,52,U2-01,10,14,11.28,11.28,ha,10.0,14.0,completed,06:58,14:12,
WO-2025-0104-U-005,2025-01-04,prune,pruning,2,65,U2-02,15,17,900,637,palms,15.0,17.0,partial,06:55,11:59,WO-2025-0106-U-005
WO-2025-0104-U-006,2025-01-04,weed,path_upkeep,2,382,U2-03,15,14,23.06,16.06,ha,15.0,14.0,partial,06:56,12:06,WO-2025-0106-U-006
WO-2025-0104-U-007,2025-01-04,spray,spraying,2,57,S2-01,12,12,29.86,0.0,ha,12.0,3.6,weathered_off,07:09,08:13,WO-2025-0106-U-007
WO-2025-0104-U-008,2025-01-04,weed,path_upkeep,3,81,U3-01,6,12,7.45,7.45,ha,6.0,12.0,completed,07:02,14:13,
WO-2025-0104-U-009,2025-01-04,weed,path_upkeep,3,101,U3-03,14,12,22.26,16.87,ha,14.0,12.0,partial,06:53,12:23,WO-2025-0106-U-010
WO-2025-0104-U-010,2025-01-04,prune,pruning,3,117,U3-04,14,13,788,440,palms,14.0,13.0,partial,07:02,11:14,WO-2025-0106-U-011
WO-2025-0104-U-011,2025-01-04,spray,spraying,3,103,S3-01,11,14,25.51,0.0,ha,11.0,4.2,weathered_off,06:56,08:19,WO-2025-0106-U-012
WO-2025-0104-U-012,2025-01-04,prune,pruning,4,131,U4-01,14,15,616,470,palms,14.0,15.0,partial,06:51,12:29,WO-2025-0106-U-013
WO-2025-0104-U-013,2025-01-04,prune,pruning,4,137,U4-02,14,14,844,654,palms,14.0,14.0,partial,06:00,12:50,WO-2025-0106-U-014
WO-2025-0104-U-014,2025-01-04,weed,circle_weeding,4,152,U4-03,14,14,15.03,8.89,ha,14.0,14.0,partial,07:11,11:04,WO-2025-0106-U-015
WO-2025-0104-U-015,2025-01-04,spray,spraying,4,128,S4-01,12,16,30.24,0.0,ha,12.0,4.8,weathered_off,07:03,09:01,WO-2025-0106-U-016
WO-2025-0104-U-016,2025-01-04,prune,pruning,5,176,U5-01,15,15,895,745,palms,15.0,15.0,partial,07:03,13:00,WO-2025-0106-U-017
WO-2025-0104-U-017,2025-01-04,weed,path_upkeep,5,185,U5-02,5,16,6.8,6.8,ha,5.0,16.0,completed,07:01,14:17,
WO-2025-0104-U-018,2025-01-04,weed,path_upkeep,5,202,U5-03,15,14,27.0,13.44,ha,15.0,14.0,partial,07:10,10:29,WO-2025-0106-U-018
WO-2025-0104-U-019,2025-01-04,spray,spraying,5,373,S5-01,2,12,3.42,0.0,ha,2.0,3.6,weathered_off,07:13,09:56,WO-2025-0106-U-019
WO-2025-0104-U-020,2025-01-04,prune,pruning,6,209,U6-01,14,16,770,632,palms,14.0,16.0,partial,07:01,12:39,WO-2025-0106-U-020
WO-2025-0104-U-021,2025-01-04,weed,path_upkeep,6,222,U6-02,6,15,9.29,9.29,ha,6.0,15.0,completed,06:45,14:07,
WO-2025-0104-U-022,2025-01-04,weed,circle_weeding,6,253,U6-03,14,15,17.02,15.24,ha,14.0,15.0,partial,06:54,13:28,WO-2025-0106-U-022
WO-2025-0104-U-023,2025-01-04,prune,pruning,6,265,U6-04,14,14,818,465,palms,14.0,14.0,partial,07:09,11:22,WO-2025-0106-U-023
WO-2025-0104-U-024,2025-01-04,spray,spraying,6,230,S6-01,11,14,27.35,0.0,ha,11.0,4.2,weathered_off,07:01,08:17,WO-2025-0106-U-024
WO-2025-0104-U-025,2025-01-04,weed,circle_weeding,7,304,U7-02,3,11,2.57,2.57,ha,3.0,11.0,completed,07:01,14:31,
WO-2025-0104-U-026,2025-01-04,prune,pruning,7,343,U7-04,12,11,743,625,palms,12.0,11.0,partial,07:12,12:49,WO-2025-0106-U-028
WO-2025-0104-U-027,2025-01-04,spray,spraying,7,345,S7-01,11,16,27.08,0.0,ha,11.0,4.8,weathered_off,06:45,08:35,WO-2025-0106-U-029
WO-2025-0106-U-001,2025-01-06,prune,pruning,1,17,U1-02,15,16,925,925,palms,15.0,16.0,completed,06:46,13:29,
WO-2025-0106-U-002,2025-01-06,weed,path_upkeep,1,35,U1-03,8,17,11.01,11.01,ha,8.0,17.0,completed,06:56,13:49,
WO-2025-0106-U-003,2025-01-06,spray,spraying,1,8,S1-01,4,11,9.38,9.38,ha,4.0,11.0,completed,07:02,14:17,
WO-2025-0106-U-004,2025-01-06,weed,path_upkeep,2,45,U2-01,15,17,24.25,28.5,ha,15.0,17.0,completed,06:48,14:13,
WO-2025-0106-U-005,2025-01-06,prune,pruning,2,65,U2-02,10,17,586,507,palms,10.0,17.0,partial,06:47,13:02,WO-2025-0107-U-005
WO-2025-0106-U-006,2025-01-06,weed,path_upkeep,2,382,U2-03,9,15,12.74,12.74,ha,9.0,15.0,completed,07:13,14:09,
WO-2025-0106-U-007,2025-01-06,spray,spraying,2,57,S2-01,12,12,29.86,23.16,ha,12.0,12.0,partial,06:59,12:28,WO-2025-0107-U-007
WO-2025-0106-U-008,2025-01-06,weed,path_upkeep,3,80,U3-01,9,15,11.89,11.89,ha,9.0,15.0,completed,06:46,14:10,
WO-2025-0106-U-009,2025-01-06,prune,pruning,3,92,U3-02,14,13,763,388,palms,14.0,13.0,partial,07:10,10:39,WO-2025-0107-U-009
WO-2025-0106-U-010,2025-01-06,weed,path_upkeep,3,101,U3-03,14,13,22.26,16.45,ha,14.0,13.0,partial,07:09,12:48,WO-2025-0107-U-010
WO-2025-0106-U-011,2025-01-06,prune,pruning,3,117,U3-04,14,14,788,702,palms,14.0,14.0,partial,07:02,13:25,WO-2025-0107-U-011
WO-2025-0106-U-012,2025-01-06,spray,spraying,3,103,S3-01,11,16,25.51,25.51,ha,11.0,16.0,completed,06:47,13:00,
WO-2025-0106-U-013,2025-01-06,prune,pruning,4,131,U4-01,14,14,616,372,palms,14.0,14.0,partial,07:06,11:31,WO-2025-0107-U-013
WO-2025-0106-U-014,2025-01-06,prune,pruning,4,137,U4-02,14,15,844,781,palms,14.0,15.0,partial,06:50,13:26,WO-2025-0107-U-014
WO-2025-0106-U-015,2025-01-06,weed,circle_weeding,4,152,U4-03,14,14,15.03,9.89,ha,14.0,14.0,partial,06:57,11:36,WO-2025-0107-U-015
WO-2025-0106-U-016,2025-01-06,spray,spraying,4,128,S4-01,12,16,30.24,30.24,ha,12.0,16.0,completed,07:13,13:58,
WO-2025-0106-U-017,2025-01-06,prune,pruning,5,176,U5-01,15,15,895,659,palms,15.0,15.0,partial,07:08,12:46,WO-2025-0107-U-018
WO-2025-0106-U-018,2025-01-06,weed,path_upkeep,5,202,U5-03,10,16,16.65,16.65,ha,10.0,16.0,completed,07:09,14:35,
WO-2025-0106-U-019,2025-01-06,spray,spraying,5,373,S5-01,2,12,3.42,3.42,ha,2.0,12.0,completed,07:07,14:04,
WO-2025-0106-U-020,2025-01-06,prune,pruning,6,209,U6-01,14,16,770,731,palms,14.0,16.0,partial,07:04,13:55,WO-2025-0107-U-021
WO-2025-0106-U-021,2025-01-06,weed,circle_weeding,6,230,U6-02,14,16,16.19,10.76,ha,14.0,16.0,partial,07:01,11:55,WO-2025-0107-U-022
WO-2025-0106-U-022,2025-01-06,weed,circle_weeding,6,253,U6-03,5,16,5.03,5.03,ha,5.0,16.0,completed,06:48,13:47,
WO-2025-0106-U-023,2025-01-06,prune,pruning,6,265,U6-04,14,12,818,476,palms,14.0,12.0,partial,06:50,10:55,WO-2025-0107-U-024
WO-2025-0106-U-024,2025-01-06,spray,spraying,6,230,S6-01,11,16,27.35,24.69,ha,11.0,16.0,partial,07:07,13:39,WO-2025-0107-U-025
WO-2025-0106-U-025,2025-01-06,weed,path_upkeep,7,293,U7-01,12,14,16.27,12.84,ha,12.0,14.0,partial,06:51,12:45,WO-2025-0107-U-026
WO-2025-0106-U-026,2025-01-06,weed,circle_weeding,7,301,U7-02,10,11,10.39,9.26,ha,10.0,11.0,partial,07:11,13:50,WO-2025-0107-U-027
WO-2025-0106-U-027,2025-01-06,weed,circle_weeding,7,330,U7-03,12,13,13.08,12.56,ha,12.0,13.0,partial,07:06,13:35,WO-2025-0107-U-028
WO-2025-0106-U-028,2025-01-06,prune,pruning,7,343,U7-04,12,11,743,444,palms,12.0,11.0,partial,06:53,11:27,WO-2025-0107-U-029
WO-2025-0106-U-029,2025-01-06,spray,spraying,7,345,S7-01,11,14,27.08,27.08,ha,11.0,14.0,completed,06:53,13:37,
WO-2025-0107-U-001,2025-01-07,weed,path_upkeep,1,10,U1-01,16,17,25.8,20.52,ha,16.0,17.0,partial,07:00,12:30,WO-2025-0108-U-001
WO-2025-0107-U-002,2025-01-07,weed,path_upkeep,1,14,U1-02,16,16,26.95,14.9,ha,16.0,16.0,partial,06:55,11:08,WO-2025-0108-U-002
WO-2025-0107-U-003,2025-01-07,spray,spraying,1,35,S1-01,13,13,31.45,22.62,ha,13.0,13.0,partial,06:45,11:58,WO-2025-0108-U-003
WO-2025-0107-U-004,2025-01-07,weed,path_upkeep,2,44,U2-01,15,17,24.25,22.68,ha,15.0,17.0,partial,06:57,13:51,WO-2025-0108-U-004
WO-2025-0107-U-005,2025-01-07,prune,pruning,2,65,U2-02,2,17,79,79,palms,2.0,17.0,completed,07:11,14:21,
WO-2025-0107-U-006,2025-01-07,prune,pruning,2,69,U2-03,15,15,846,502,palms,15.0,15.0,partial,07:01,11:31,WO-2025-0108-U-006
WO-2025-0107-U-007,2025-01-07,spray,spraying,2,57,S2-01,3,12,6.7,6.7,ha,3.0,12.0,completed,07:14,14:05,
WO-2025-0107-U-008,2025-01-07,prune,pruning,3,87,U3-01,14,15,755,671,palms,14.0,15.0,partial,07:08,13:40,WO-2025-0108-U-008
WO-2025-0107-U-009,2025-01-07,prune,pruning,3,92,U3-02,14,13,763,787,palms,14.0,13.0,partial,06:58,13:45,WO-2025-0108-U-009
WO-2025-0107-U-010,2025-01-07,weed,path_upkeep,3,101,U3-03,6,14,8.84,8.84,ha,6.0,14.0,completed,07:15,14:10,
WO-2025-0107-U-011,2025-01-07,prune,pruning,3,117,U3-04,4,15,217,217,palms,4.0,15.0,completed,07:12,14:27,
WO-2025-0107-U-012,2025-01-07,spray,spraying,3,86,S3-01,15,13,36.68,33.5,ha,15.0,13.0,partial,06:57,13:50,WO-2025-0108-U-011
WO-2025-0107-U-013,2025-01-07,prune,pruning,4,131,U4-01,14,14,616,643,palms,14.0,14.0,partial,07:03,13:51,WO-2025-0108-U-012
WO-2025-0107-U-014,2025-01-07,prune,pruning,4,137,U4-02,14,15,844,685,palms,14.0,15.0,partial,06:48,12:55,WO-2025-0108-U-013
WO-2025-0107-U-015,2025-01-07,weed,circle_weeding,4,152,U4-03,11,15,11.6,11.6,ha,11.0,15.0,completed,06:47,13:43,
WO-2025-0107-U-016,2025-01-07,weed,path_upkeep,4,164,U4-04,10,14,13.73,13.73,ha,10.0,14.0,completed,07:07,14:32,
WO-2025-0107-U-017,2025-01-07,spray,spraying,4,123,S4-01,5,15,10.58,10.58,ha,5.0,15.0,completed,06:59,14:09,
WO-2025-0107-U-018,2025-01-07,prune,pruning,5,176,U5-01,15,14,895,821,palms,15.0,14.0,partial,06:00,13:14,WO-2025-0108-U-016
WO-2025-0107-U-019,2025-01-07,weed,path_upkeep,5,195,U5-03,15,15,27.0,23.29,ha,15.0,15.0,partial,06:50,12:51,WO-2025-0108-U-017
WO-2025-0107-U-020,2025-01-07,spray,spraying,5,174,S5-01,5,11,10.64,10.64,ha,5.0,11.0,completed,06:54,14:04,
WO-2025-0107-U-021,2025-01-07,prune,pruning,6,209,U6-01,14,15,770,744,palms,14.0,15.0,partial,06:59,13:33,WO-2025-0108-U-019
WO-2025-0107-U-022,2025-01-07,weed,circle_weeding,6,230,U6-02,14,17,16.19,16.59,ha,14.0,17.0,completed,07:07,14:14,
WO-2025-0107-U-023,2025-01-07,prune,pruning,6,253,U6-03,14,13,851,673,palms,14.0,13.0,partial,06:46,12:30,WO-2025-0108-U-021
WO-2025-0107-U-024,2025-01-07,prune,pruning,6,265,U6-04,14,13,818,594,palms,14.0,13.0,partial,07:04,11:53,WO-2025-0108-U-022
WO-2025-0107-U-025,2025-01-07,spray,spraying,6,230,S6-01,1,15,2.66,2.66,ha,1.0,15.0,completed,07:04,14:29,
WO-2025-0107-U-026,2025-01-07,weed,path_upkeep,7,293,U7-01,9,15,11.33,11.33,ha,9.0,15.0,completed,07:01,14:29,
WO-2025-0107-U-027,2025-01-07,weed,circle_weeding,7,301,U7-02,2,14,1.13,1.13,ha,2.0,14.0,completed,06:55,13:43,
WO-2025-0107-U-028,2025-01-07,weed,circle_weeding,7,330,U7-03,6,13,5.88,5.88,ha,6.0,13.0,completed,07:09,14:09,
WO-2025-0107-U-029,2025-01-07,prune,pruning,7,343,U7-04,12,14,743,845,palms,12.0,14.0,partial,06:54,13:52,WO-2025-0108-U-027
WO-2025-0107-U-030,2025-01-07,spray,spraying,7,331,S7-01,9,15,21.79,17.88,ha,9.0,15.0,partial,07:09,13:01,WO-2025-0108-U-028
WO-2025-0108-U-001,2025-01-08,weed,path_upkeep,1,10,U1-01,6,16,9.19,9.19,ha,6.0,16.0,completed,07:11,14:07,
WO-2025-0108-U-002,2025-01-08,weed,path_upkeep,1,14,U1-02,12,16,19.33,19.33,ha,12.0,16.0,completed,06:58,13:50,
WO-2025-0108-U-003,2025-01-08,spray,spraying,1,35,S1-01,4,13,8.83,0.0,ha,4.0,3.9,weathered_off,07:04,09:24,WO-2025-0109-U-003
WO-2025-0108-U-004,2025-01-08,weed,path_upkeep,2,44,U2-01,3,13,4.66,4.66,ha,3.0,13.0,completed,06:47,13:43,
WO-2025-0108-U-005,2025-01-08,weed,circle_weeding,2,60,U2-02,15,14,18.0,8.72,ha,15.0,14.0,partial,06:47,10:26,WO-2025-0109-U-005
WO-2025-0108-U-006,2025-01-08,prune,pruning,2,69,U2-03,15,15,846,345,palms,15.0,15.0,partial,06:53,09:46,WO-2025-0109-U-006
WO-2025-0108-U-007,2025-01-08,spray,spraying,2,70,S2-01,11,10,28.54,0.0,ha,11.0,3.0,weathered_off,07:02,08:30,WO-2025-0109-U-007
WO-2025-0108-U-008,2025-01-08,prune,pruning,3,87,U3-01,14,13,755,259,palms,14.0,13.0,partial,07:10,09:20,WO-2025-0109-U-008
