# SYNTHETIC. Forward block forecast in bunches. The real export ends 2025-05-23; these months are generated so the time scrubber has a forward half.
division_code,block_code,month,horizon,p10,p50,p90
1,11,2025-10,5,5438,7592,9747
1,11,2025-11,6,5181,7698,10216
1,12,2025-06,1,4871,5539,6207
1,12,2025-07,2,4517,5426,6336
1,12,2025-08,3,4496,5724,6952
1,12,2025-09,4,4396,5952,7509
1,12,2025-10,5,4575,6615,8655
1,12,2025-11,6,4550,7058,9566
1,13,2025-06,1,4508,5486,6465
1,13,2025-07,2,4344,5774,7204
1,13,2025-08,3,3828,5605,7382
1,13,2025-09,4,3881,6325,8768
1,13,2025-10,5,3482,6398,9313
1,13,2025-11,6,3286,6918,10550
1,14,2025-06,1,5864,6869,7875
1,14,2025-07,2,5267,6610,7954
1,14,2025-08,3,5066,6847,8628
1,14,2025-09,4,5336,7814,10291
1,14,2025-10,5,5097,8141,11185
1,14,2025-11,6,4708,8271,11835
1,15,2025-06,1,5556,6478,7399
1,15,2025-07,2,5193,6472,7751
1,15,2025-08,3,4926,6594,8262
1,15,2025-09,4,4783,6915,9047
1,15,2025-10,5,4910,7715,10521
1,15,2025-11,6,4732,8144,11556
1,16,2025-06,1,3506,4261,5017
1,16,2025-07,2,3286,4360,5435
1,16,2025-08,3,3034,4431,5828
1,16,2025-09,4,2886,4687,6488
1,16,2025-10,5,2779,5084,7388
1,16,2025-11,6,2494,5219,7945
1,17,2025-06,1,3116,3632,4148
1,17,2025-07,2,2934,3654,4375
1,17,2025-08,3,2736,3659,4583
1,17,2025-09,4,2679,3869,5059
1,17,2025-10,5,2538,3983,5428
1,17,2025-11,6,2508,4309,6110
1,18,2025-06,1,2570,2923,3276
1,18,2025-07,2,2359,2834,3310
1,18,2025-08,3,2200,2801,3403
1,18,2025-09,4,2246,3042,3839
1,18,2025-10,5,2245,3248,4251
1,18,2025-11,6,2105,3267,4429
1,19,2025-06,1,2681,3015,3349
1,19,2025-07,2,2447,2892,3336
1,19,2025-08,3,2491,3101,3712
1,19,2025-09,4,2358,3102,3846
1,19,2025-10,5,2419,3374,4328
1,19,2025-11,6,2367,3512,4656
1,20,2025-06,1,3158,3647,4136
1,20,2025-07,2,2933,3604,4276
1,20,2025-08,3,2765,3630,4496
1,20,2025-09,4,2764,3896,5029
1,20,2025-10,5,2808,4273,5738
1,20,2025-11,6,2714,4486,6259
1,21,2025-06,1,4320,5005,5689
1,21,2025-07,2,3882,4793,5703
1,21,2025-08,3,3730,4928,6127
1,21,2025-09,4,3748,5327,6906
1,21,2025-10,5,3724,5726,7727
1,21,2025-11,6,3694,6185,8676
1,22,2025-06,1,4158,4984,5810
1,22,2025-07,2,3890,5053,6216
1,22,2025-08,3,3649,5173,6697
1,22,2025-09,4,3288,5131,6973
1,22,2025-10,5,3235,5613,7990
1,22,2025-11,6,2944,5750,8556
1,23,2025-06,1,3724,4351,4979
1,23,2025-07,2,3475,4345,5216
1,23,2025-08,3,3182,4279,5377
1,23,2025-09,4,3262,4745,6228
1,23,2025-10,5,3112,4929,6746
1,23,2025-11,6,2961,5148,7335
1,24,2025-06,1,3765,4554,5344
1,24,2025-07,2,3327,4382,5437
1,24,2025-08,3,3233,4674,6114
1,24,2025-09,4,3167,5073,6978
1,24,2025-10,5,2893,5194,7496
1,24,2025-11,6,2742,5602,8461
1,25,2025-06,1,5270,6192,7115
1,25,2025-07,2,5175,6525,7875
1,25,2025-08,3,4881,6639,8398
1,25,2025-09,4,4641,6853,9066
1,25,2025-10,5,4739,7653,10566
1,25,2025-11,6,4564,8130,11697
1,26,2025-06,1,5090,6093,7095
1,26,2025-07,2,4514,5851,7189
1,26,2025-08,3,4357,6159,7960
1,26,2025-09,4,4094,6363,8631
1,26,2025-10,5,4162,7182,10203
1,26,2025-11,6,3752,7278,10805
1,27,2025-06,1,3696,4504,5311
1,27,2025-07,2,3452,4597,5741
1,27,2025-08,3,3300,4844,6388
1,27,2025-09,4,3148,5148,7148
1,27,2025-10,5,2961,5464,7968
1,27,2025-11,6,2596,5499,8403
1,28,2025-06,1,4479,5082,5685
1,28,2025-07,2,4285,5130,5975
1,28,2025-08,3,4259,5397,6535
1,28,2025-09,4,4078,5488,6898
1,28,2025-10,5,4327,6209,8091
1,28,2025-11,6,4103,6304,8505
1,29,2025-06,1,4565,5201,5837
1,29,2025-07,2,4234,5100,5966
1,29,2025-08,3,4110,5252,6394
1,29,2025-09,4,4039,5495,6952
1,29,2025-10,5,4303,6260,8216
1,29,2025-11,6,4238,6623,9007
1,30,2025-06,1,3298,3811,4324
1,30,2025-07,2,3124,3842,4561
1,30,2025-08,3,2872,3776,4679
1,30,2025-09,4,2989,4220,5450
1,30,2025-10,5,2928,4463,5999
1,30,2025-11,6,2815,4664,6513
1,31,2025-06,1,3947,4568,5189
1,31,2025-07,2,3760,4636,5511
1,31,2025-08,3,3676,4848,6019
1,31,2025-09,4,3531,5005,6480
1,31,2025-10,5,3581,5488,7395
1,31,2025-11,6,3380,5636,7892
1,32,2025-06,1,3783,4298,4814
1,32,2025-07,2,3552,4262,4972
1,32,2025-08,3,3513,4465,5417
1,32,2025-09,4,3412,4609,5807
1,32,2025-10,5,3326,4795,6265
1,32,2025-11,6,3277,5065,6854
1,33,2025-06,1,3870,4372,4873
1,33,2025-07,2,3455,4110,4765
1,33,2025-08,3,3291,4134,4976
1,33,2025-09,4,3398,4522,5646
1,33,2025-10,5,3407,4820,6233
1,33,2025-11,6,3203,4837,6470
1,34,2025-06,1,4658,5512,6367
1,34,2025-07,2,4583,5840,7097
1,34,2025-08,3,4384,6051,7718
1,34,2025-09,4,4283,6448,8613
1,34,2025-10,5,3949,6538,9128
1,34,2025-11,6,3986,7330,10675
1,35,2025-06,1,4533,5586,6639
1,35,2025-07,2,3997,5415,6832
1,35,2025-08,3,3905,5872,7840
1,35,2025-09,4,3615,6110,8606
1,35,2025-10,5,3270,6309,9348
1,35,2025-11,6,3042,6837,10632
1,36,2025-06,1,3561,4253,4945
1,36,2025-07,2,3276,4233,5189
1,36,2025-08,3,2998,4219,5439
1,36,2025-09,4,2852,4405,5958
1,36,2025-10,5,2804,4800,6796
1,36,2025-11,6,2525,4847,7170
1,37,2025-06,1,3651,4508,5365
1,37,2025-07,2,3365,4572,5779
1,37,2025-08,3,3166,4782,6398
1,37,2025-09,4,2919,4964,7008
1,37,2025-10,5,2766,5380,7993
1,37,2025-11,6,2388,5424,8459
1,38,2025-06,1,4121,4931,5741
1,38,2025-07,2,3691,4782,5873
1,38,2025-08,3,3504,4950,6395
1,38,2025-09,4,3376,5242,7107
1,38,2025-10,5,3262,5622,7983
1,38,2025-11,6,3048,5904,8760
1,39,2025-06,1,4217,4786,5355
1,39,2025-07,2,3867,4631,5396
1,39,2025-08,3,3796,4813,5830
1,39,2025-09,4,3843,5176,6508
1,39,2025-10,5,3849,5528,7208
1,39,2025-11,6,3766,5794,7822
2,40,2025-06,1,3024,3390,3756
2,40,2025-07,2,2857,3360,3863
2,40,2025-08,3,2695,3335,3974
2,40,2025-09,4,2700,3524,4347
2,40,2025-10,5,2774,3830,4886
2,40,2025-11,6,2715,3979,5243
2,41,2025-06,1,3651,4095,4539
2,41,2025-07,2,3444,4055,4666
2,41,2025-08,3,3434,4255,5075
2,41,2025-09,4,3400,4445,5489
2,41,2025-10,5,3460,4787,6114
2,41,2025-11,6,3472,5102,6731
2,42,2025-06,1,4863,5702,6542
2,42,2025-07,2,4599,5781,6963
2,42,2025-08,3,4662,6315,7967
2,42,2025-09,4,4487,6589,8690
2,42,2025-10,5,4392,7041,9691
2,42,2025-11,6,4205,7422,10639
2,43,2025-06,1,4653,5693,6734
2,43,2025-07,2,4295,5755,7216
2,43,2025-08,3,3936,5830,7724
2,43,2025-09,4,3784,6263,8742
2,43,2025-10,5,3643,6835,10026
2,43,2025-11,6,3377,7309,11242
2,44,2025-06,1,4015,5001,5988
2,44,2025-07,2,3703,5100,6497
2,44,2025-08,3,3480,5359,7238
2,44,2025-09,4,3168,5532,7896
2,44,2025-10,5,3019,6086,9154
2,44,2025-11,6,2737,6529,10320
2,45,2025-06,1,4051,4747,5444
2,45,2025-07,2,3719,4670,5621
2,45,2025-08,3,3446,4661,5875
2,45,2025-09,4,3357,4920,6482
2,45,2025-10,5,3485,5573,7660
2,45,2025-11,6,3315,5833,8351
2,46,2025-06,1,4894,5687,6479
2,46,2025-07,2,4390,5444,6498
2,46,2025-08,3,4255,5656,7057
2,46,2025-09,4,4129,5915,7700
2,46,2025-10,5,4188,6503,8819
2,46,2025-11,6,4173,7077,9980
2,47,2025-06,1,5490,6162,6833
2,47,2025-07,2,5100,6010,6920
2,47,2025-08,3,4968,6163,7357
2,47,2025-09,4,4989,6532,8075
2,47,2025-10,5,5373,7448,9523
2,47,2025-11,6,5384,7929,10475
2,49,2025-06,1,4476,5130,5784
2,49,2025-07,2,4069,4944,5818
2,49,2025-08,3,4159,5377,6595
2,49,2025-09,4,3916,5410,6903
2,49,2025-10,5,3988,5914,7839
2,49,2025-11,6,3821,6114,8408
2,50,2025-06,1,4516,5164,5812
2,50,2025-07,2,4188,5071,5955
2,50,2025-08,3,4166,5362,6558
2,50,2025-09,4,4070,5589,7108
2,50,2025-10,5,4220,6212,8203
2,50,2025-11,6,3927,6228,8528
2,51,2025-06,1,4206,4865,5524
2,51,2025-07,2,3792,4671,5550
2,51,2025-08,3,3599,4742,5884
2,51,2025-09,4,3543,5015,6487
2,51,2025-10,5,3413,5220,7028
2,51,2025-11,6,3518,5854,8189
2,52,2025-06,1,3482,4146,4810
2,52,2025-07,2,3219,4139,5059
2,52,2025-08,3,2922,4084,5247
2,52,2025-09,4,2837,4344,5851
2,52,2025-10,5,2619,4433,6247
2,52,2025-11,6,2559,4842,7125
2,53,2025-06,1,4486,5532,6578
2,53,2025-07,2,3924,5322,6720
2,53,2025-08,3,3785,5701,7618
2,53,2025-09,4,3571,6050,8528
2,53,2025-10,5,3295,6376,9458
2,53,2025-11,6,2886,6512,10137
2,54,2025-06,1,3540,4322,5103
2,54,2025-07,2,3054,4077,5101
2,54,2025-08,3,2983,4396,5808
2,54,2025-09,4,2661,4373,6086
2,54,2025-10,5,2640,4906,7173
2,54,2025-11,6,2382,5091,7801
2,55,2025-06,1,4559,5282,6005
2,55,2025-07,2,4376,5404,6431
2,55,2025-08,3,4224,5583,6941
2,55,2025-09,4,4021,5716,7411
2,55,2025-10,5,4061,6245,8429
2,55,2025-11,6,3917,6561,9205
2,56,2025-06,1,4256,5037,5818
2,56,2025-07,2,3797,4839,5882
2,56,2025-08,3,3761,5192,6624
2,56,2025-09,4,3665,5519,7374
2,56,2025-10,5,3543,5870,8196
2,56,2025-11,6,3215,5917,8620
2,57,2025-06,1,3811,4348,4884
2,57,2025-07,2,3507,4233,4958
2,57,2025-08,3,3322,4256,5189
2,57,2025-09,4,3200,4368,5536
2,57,2025-10,5,3138,4583,6029
2,57,2025-11,6,3188,5007,6827
2,58,2025-06,1,4067,4655,5243
2,58,2025-07,2,3623,4394,5165
2,58,2025-08,3,3502,4517,5531
2,58,2025-09,4,3488,4803,6117
2,58,2025-10,5,3513,5187,6861
2,58,2025-11,6,3340,5318,7296
2,59,2025-06,1,4931,5554,6178
2,59,2025-07,2,4652,5511,6370
2,59,2025-08,3,4568,5706,6844
2,59,2025-09,4,4509,5957,7405
2,59,2025-10,5,4606,6457,8309
2,59,2025-11,6,4315,6444,8573
2,60,2025-06,1,4963,5684,6405
2,60,2025-07,2,4922,5974,7027
2,60,2025-08,3,4534,5854,7174
2,60,2025-09,4,4649,6410,8172
2,60,2025-10,5,4445,6577,8708
2,60,2025-11,6,4297,6857,9417
2,62,2025-06,1,3700,4213,4726
2,62,2025-07,2,3480,4188,4897
2,62,2025-08,3,3189,4070,4951
2,62,2025-09,4,3171,4308,5445
2,62,2025-10,5,3196,4640,6084
2,62,2025-11,6,3214,5012,6809
2,63,2025-06,1,5153,5787,6421
2,63,2025-07,2,4828,5694,6560
2,63,2025-08,3,4897,6081,7264
2,63,2025-09,4,4985,6535,8086
2,63,2025-10,5,4864,6754,8645
2,63,2025-11,6,5064,7474,9884
2,64,2025-06,1,3769,4294,4819
2,64,2025-07,2,3500,4216,4932
2,64,2025-08,3,3348,4278,5208
2,64,2025-09,4,3254,4428,5601
2,64,2025-10,5,3206,4664,6122
2,64,2025-11,6,3204,5007,6810
2,65,2025-06,1,2652,3086,3520
2,65,2025-07,2,2371,2947,3523
2,65,2025-08,3,2394,3193,3991
2,65,2025-09,4,2331,3353,4375
2,65,2025-10,5,2274,3551,4827
2,65,2025-11,6,2151,3671,5191
2,66,2025-06,1,4603,5319,6034
2,66,2025-07,2,4246,5222,6198
2,66,2025-08,3,3914,5145,6375
2,66,2025-09,4,4056,5724,7393
2,66,2025-10,5,3911,5961,8010
2,66,2025-11,6,3690,6110,8530
2,67,2025-06,1,3993,4657,5321
2,67,2025-07,2,3601,4491,5380
2,67,2025-08,3,3327,4457,5587
2,67,2025-09,4,3400,4921,6441
2,67,2025-10,5,3253,5119,6984
2,67,2025-11,6,3279,5653,8026
2,68,2025-06,1,2724,3141,3558
2,68,2025-07,2,2685,3292,3899
2,68,2025-08,3,2524,3304,4085
2,68,2025-09,4,2373,3332,4291
2,68,2025-10,5,2480,3754,5028
2,68,2025-11,6,2314,3800,5286
2,69,2025-06,1,3927,4628,5329
2,69,2025-07,2,3653,4626,5600
2,69,2025-08,3,3697,5060,6422
2,69,2025-09,4,3583,5334,7084
2,69,2025-10,5,3294,5374,7454
2,69,2025-11,6,3280,5920,8560
2,70,2025-06,1,4076,4845,5615
2,70,2025-07,2,3986,5113,6241
2,70,2025-08,3,3784,5271,6759
2,70,2025-09,4,3480,5305,7130
2,70,2025-10,5,3364,5661,7957
2,70,2025-11,6,3264,6129,8993
2,71,2025-06,1,4388,5151,5914
2,71,2025-07,2,4009,5048,6088
2,71,2025-08,3,3859,5240,6621
2,71,2025-09,4,3808,5609,7410
2,71,2025-10,5,3506,5644,7782
2,71,2025-11,6,3540,6281,9022
2,72,2025-06,1,3873,4642,5412
2,72,2025-07,2,3527,4582,5636
2,72,2025-08,3,3314,4698,6082
2,72,2025-09,4,3293,5138,6983
2,72,2025-10,5,2996,5197,7398
2,72,2025-11,6,2823,5515,8206
2,73,2025-06,1,4226,4807,5387
2,73,2025-07,2,3995,4800,5605
2,73,2025-08,3,3919,4991,6062
2,73,2025-09,4,4026,5452,6879
2,73,2025-10,5,3754,5429,7105
2,73,2025-11,6,3925,6091,8256
2,74,2025-06,1,4577,5260,5944
2,74,2025-07,2,4256,5192,6129
2,74,2025-08,3,4377,5690,7004
2,74,2025-09,4,4321,6013,7705
2,74,2025-10,5,4098,6134,8169
2,74,2025-11,6,4040,6541,9042
2,382,2025-06,1,5976,6647,7318
2,382,2025-07,2,5603,6517,7431
2,382,2025-08,3,5335,6501,7668
2,382,2025-09,4,5356,6855,8354
2,382,2025-10,5,5738,7733,9728
2,382,2025-11,6,5474,7789,10103
3,75,2025-06,1,5887,6891,7895
3,75,2025-07,2,5671,7110,8548
3,75,2025-08,3,5042,6805,8567
3,75,2025-09,4,4893,7150,9408
3,75,2025-10,5,5120,8158,11195
3,75,2025-11,6,4875,8538,12201
3,76,2025-06,1,5618,6785,7953
3,76,2025-07,2,5341,7019,8696
3,76,2025-08,3,4920,7088,9257
3,76,2025-09,4,4657,7427,10196
3,76,2025-10,5,4557,8135,11712
3,76,2025-11,6,4347,8813,13278
3,77,2025-06,1,5928,7097,8266
3,77,2025-07,2,5736,7437,9138
3,77,2025-08,3,5485,7756,10026
3,77,2025-09,4,5359,8330,11302
3,77,2025-10,5,5220,9013,12805
3,77,2025-11,6,4742,9205,13668
3,78,2025-06,1,5039,6205,7371
3,78,2025-07,2,4459,6034,7609
3,78,2025-08,3,4145,6225,8305
3,78,2025-09,4,3923,6618,9313
3,78,2025-10,5,3690,7100,10511
3,78,2025-11,6,3250,7278,11306
3,79,2025-06,1,3327,4142,4956
3,79,2025-07,2,3063,4215,5366
3,79,2025-08,3,2666,4100,5533
3,79,2025-09,4,2616,4558,6501
3,79,2025-10,5,2373,4771,7169
3,79,2025-11,6,2191,5205,8220
3,80,2025-06,1,2161,2540,2920
3,80,2025-07,2,2125,2681,3236
3,80,2025-08,3,1984,2701,3418
3,80,2025-09,4,1864,2756,3647
3,80,2025-10,5,1944,3144,4344
3,80,2025-11,6,1735,3096,4457
3,81,2025-06,1,1084,1257,1430
3,81,2025-07,2,962,1190,1417
3,81,2025-08,3,894,1184,1474
3,81,2025-09,4,865,1233,1602
3,81,2025-10,5,876,1352,1829
3,81,2025-11,6,844,1420,1996
3,82,2025-06,1,384,476,568
3,82,2025-07,2,360,493,625
3,82,2025-08,3,316,482,647
3,82,2025-09,4,302,520,738
3,82,2025-10,5,272,539,805
3,82,2025-11,6,254,590,926
3,83,2025-06,1,6437,7554,8671
3,83,2025-07,2,5789,7286,8782
3,83,2025-08,3,5471,7423,9374
3,83,2025-09,4,5457,8029,10602
3,83,2025-10,5,5357,8611,11865
3,83,2025-11,6,4921,8715,12510
3,84,2025-06,1,6664,7748,8832
3,84,2025-07,2,6150,7632,9115
3,84,2025-08,3,6229,8290,10351
3,84,2025-09,4,5921,8495,11069
3,84,2025-10,5,5710,8886,12062
3,84,2025-11,6,5561,9454,13347
3,85,2025-06,1,3928,4707,5487
3,85,2025-07,2,3598,4673,5748
3,85,2025-08,3,3557,5041,6525
3,85,2025-09,4,3244,5060,6876
3,85,2025-10,5,3146,5454,7762
3,85,2025-11,6,3099,6048,8996
3,86,2025-06,1,6102,7210,8319
3,86,2025-07,2,5852,7440,9029
3,86,2025-08,3,5317,7315,9314
3,86,2025-09,4,5227,7836,10446
3,86,2025-10,5,5079,8364,11649
3,86,2025-11,6,4862,8880,12899
3,87,2025-06,1,6361,7633,8906
3,87,2025-07,2,5803,7551,9299
3,87,2025-08,3,5359,7616,9873
3,87,2025-09,4,5255,8226,11198
3,87,2025-10,5,4787,8340,11893
3,87,2025-11,6,4555,8947,13338
3,88,2025-06,1,4706,5482,6258
3,88,2025-07,2,4461,5552,6643
3,88,2025-08,3,4180,5584,6989
3,88,2025-09,4,3966,5720,7473
3,88,2025-10,5,3919,6139,8358
3,88,2025-11,6,3831,6567,9302
3,89,2025-06,1,4863,5569,6275
3,89,2025-07,2,4197,5093,5990
3,89,2025-08,3,4335,5596,6856
3,89,2025-09,4,4231,5833,7435
3,89,2025-10,5,3950,5842,7735
3,89,2025-11,6,4069,6491,8914
3,90,2025-06,1,4719,5542,6364
3,90,2025-07,2,4301,5418,6535
3,90,2025-08,3,4117,5593,7069
3,90,2025-09,4,4251,6266,8281
3,90,2025-10,5,4070,6557,9044
3,90,2025-11,6,3823,6792,9760
3,91,2025-06,1,3221,3749,4277
3,91,2025-07,2,2957,3676,4395
3,91,2025-08,3,2936,3916,4895
3,91,2025-09,4,2924,4206,5489
3,91,2025-10,5,2910,4544,6179
3,91,2025-11,6,2858,4880,6903
3,92,2025-06,1,4862,5640,6418
3,92,2025-07,2,4678,5786,6895
3,92,2025-08,3,4299,5695,7091
3,92,2025-09,4,4183,5965,7747
3,92,2025-10,5,4156,6417,8678
3,92,2025-11,6,4042,6805,9568
3,93,2025-06,1,6558,7588,8619
3,93,2025-07,2,6167,7601,9035
3,93,2025-08,3,5858,7723,9587
3,93,2025-09,4,5552,7867,10182
3,93,2025-10,5,5453,8352,11250
3,93,2025-11,6,5455,9089,12723
3,94,2025-06,1,3577,4297,5017
3,94,2025-07,2,3179,4143,5108
3,94,2025-08,3,2975,4238,5501
3,94,2025-09,4,2932,4604,6276
3,94,2025-10,5,2751,4813,6876
3,94,2025-11,6,2621,5177,7732
3,95,2025-06,1,6648,7457,8266
3,95,2025-07,2,6568,7733,8898
3,95,2025-08,3,6114,7575,9035
3,95,2025-09,4,6330,8275,10220
3,95,2025-10,5,6705,9276,11848
3,95,2025-11,6,6188,9092,11996
3,96,2025-06,1,6778,7882,8985
3,96,2025-07,2,6182,7674,9166
3,96,2025-08,3,5825,7755,9686
3,96,2025-09,4,5714,8202,10690
3,96,2025-10,5,5587,8698,11810
3,96,2025-11,6,5545,9433,13321
3,97,2025-06,1,4028,4707,5385
3,97,2025-07,2,3946,4934,5922
3,97,2025-08,3,3723,5006,6288
3,97,2025-09,4,3514,5111,6707
3,97,2025-10,5,3534,5596,7657
3,97,2025-11,6,3299,5733,8167
3,98,2025-06,1,5429,6045,6661
3,98,2025-07,2,5260,6127,6995
3,98,2025-08,3,4982,6085,7187
3,98,2025-09,4,5114,6563,8012
3,98,2025-10,5,5344,7226,9108
3,98,2025-11,6,5276,7538,9800
3,99,2025-06,1,2754,3179,3604
3,99,2025-07,2,2578,3166,3754
3,99,2025-08,3,2385,3128,3871
3,99,2025-09,4,2449,3447,4446
3,99,2025-10,5,2365,3592,4819
3,99,2025-11,6,2433,4011,5589
3,100,2025-06,1,5678,6611,7544
3,100,2025-07,2,5149,6405,7660
3,100,2025-08,3,4932,6584,8236
3,100,2025-09,4,4828,6955,9082
3,100,2025-10,5,4990,7806,10622
3,100,2025-11,6,4820,8247,11675
3,101,2025-06,1,7550,8728,9906
3,101,2025-07,2,7045,8670,10295
3,101,2025-08,3,6770,8907,11044
3,101,2025-09,4,6688,9452,12217
3,101,2025-10,5,6336,9672,13008
3,101,2025-11,6,5983,9928,13873
3,102,2025-06,1,4559,5289,6018
3,102,2025-07,2,4260,5270,6280
3,102,2025-08,3,4249,5631,7012
3,102,2025-09,4,3958,5647,7335
3,102,2025-10,5,3968,6130,8292
3,102,2025-11,6,3776,6361,8945
3,103,2025-06,1,4126,4681,5237
3,103,2025-07,2,3757,4498,5239
3,103,2025-08,3,3832,4856,5880
3,103,2025-09,4,3735,5028,6320
3,103,2025-10,5,3487,5005,6522
3,103,2025-11,6,3400,5226,7052
3,104,2025-06,1,5616,6324,7032
3,104,2025-07,2,5142,6088,7035
3,104,2025-08,3,5007,6251,7494
3,104,2025-09,4,4973,6565,8157
3,104,2025-10,5,4827,6761,8696
3,104,2025-11,6,4750,7085,9420
3,105,2025-06,1,3524,4144,4764
3,105,2025-07,2,3073,3880,4686
3,105,2025-08,3,3028,4126,5224
3,105,2025-09,4,2953,4371,5788
3,105,2025-10,5,2961,4795,6629
3,105,2025-11,6,2801,5007,7214
3,106,2025-06,1,1862,2178,2494
3,106,2025-07,2,1824,2284,2744
3,106,2025-08,3,1737,2340,2944
3,106,2025-09,4,1640,2392,3144
3,106,2025-10,5,1623,2579,3535
3,106,2025-11,6,1550,2705,3861
3,107,2025-06,1,6239,7177,8115
3,107,2025-07,2,5633,6882,8131
3,107,2025-08,3,5513,7181,8850
3,107,2025-09,4,5407,7543,9679
3,107,2025-10,5,5468,8209,10951
3,107,2025-11,6,4888,7945,11003
3,108,2025-06,1,7057,8298,9539
3,108,2025-07,2,6340,8002,9664
3,108,2025-08,3,6160,8392,10623
3,108,2025-09,4,5890,8713,11536
3,108,2025-10,5,5893,9538,13184
3,108,2025-11,6,5656,10106,14556
3,109,2025-06,1,4688,5603,6517
3,109,2025-07,2,4207,5440,6674
3,109,2025-08,3,3942,5553,7164
3,109,2025-09,4,3923,6069,8216
3,109,2025-10,5,3792,6507,9221
3,109,2025-11,6,3382,6511,9641
3,110,2025-06,1,5210,5986,6763
3,110,2025-07,2,4868,5938,7008
3,110,2025-08,3,4654,6049,7444
3,110,2025-09,4,4675,6503,8331
3,110,2025-10,5,4498,6729,8960
3,110,2025-11,6,4438,7181,9924
3,111,2025-06,1,6767,7724,8682
3,111,2025-07,2,6017,7268,8520
3,111,2025-08,3,6174,7919,9664
3,111,2025-09,4,6137,8391,10644
3,111,2025-10,5,5700,8342,10985
3,111,2025-11,6,5501,8662,11823
3,112,2025-06,1,4443,5228,6013
3,112,2025-07,2,4253,5374,6495
3,112,2025-08,3,4052,5527,7003
3,112,2025-09,4,3963,5875,7786
3,112,2025-10,5,3864,6270,8675
3,112,2025-11,6,3604,6459,9315
3,113,2025-06,1,5026,5866,6705
3,113,2025-07,2,4440,5542,6644
3,113,2025-08,3,4404,5908,7412
3,113,2025-09,4,4306,6243,8180
3,113,2025-10,5,4005,6316,8627
3,113,2025-11,6,3895,6735,9574
3,114,2025-06,1,3342,3898,4453
3,114,2025-07,2,3186,3973,4760
3,114,2025-08,3,3048,4084,5119
3,114,2025-09,4,2836,4105,5373
3,114,2025-10,5,2758,4340,5922
3,114,2025-11,6,2588,4461,6335
3,115,2025-06,1,3446,4135,4824
3,115,2025-07,2,3139,4084,5029
3,115,2025-08,3,3096,4399,5702
3,115,2025-09,4,2757,4315,5874
3,115,2025-10,5,2761,4808,6856
3,115,2025-11,6,2460,4830,7200
3,116,2025-06,1,1643,2050,2458
3,116,2025-07,2,1437,1985,2534
3,116,2025-08,3,1256,1943,2629
3,116,2025-09,4,1173,2061,2948
3,116,2025-10,5,1078,2192,3305
3,116,2025-11,6,931,2245,3559
3,117,2025-06,1,1654,2000,2346
3,117,2025-07,2,1534,2019,2504
3,117,2025-08,3,1398,2020,2641
3,117,2025-09,4,1359,2174,2989
